nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,store,nama_kelurahan,nama_kecamatan,nama_kota,competitor_density_500m,jarak_kompetitor_meter,kompetitor_head_to_head,jarak_pasar_meter,pasar_terdekat,pelanggaran_zonasi,cluster_hdbscan_makro,cluster_hdbscan_prob,cluster_dbscan_hotspot,spatial_risk_score
indomaret,0.0,0,-6.214337,106.8312134,"wisma budi, jl. h. r. rasuna said no.3, rt.3/rw.1, karet, kota jakarta selatan",ChIJVwsQapH1aS4RRn0qO3oi72c,Indomaret,Karet,Setiabudi,Kota Jakarta Selatan,5,363.51,0,545.8231495088453,pasar mencos,0,24,0.8605486826798738,-1,0.189
indomaret dr. saharjo,4.2,16,-6.2160036,106.8440714,"jl. dr. saharjo no.109, rt.2/rw.10, manggarai sel., kota jakarta selatan",ChIJk___P4nzaS4R-mx5t36xeEE,Indomaret,Manggarai Selatan,Tebet,Kota Jakarta Selatan,10,134.85,0,1196.5472594071496,pasar jaya bukit duri,0,23,1.0,0,0.4559
indomaret soepomo,4.1,16,-6.2325019,106.8444327,"qr9v+2q4, jalan dr. soepomo, rt.1/rw.3, menteng dalam, kota jakarta selatan",ChIJw4Qe95TzaS4R4TukR0p9hZk,Indomaret,Menteng Dalam,Tebet,Kota Jakarta Selatan,2,418.57,0,1405.8497840059322,pasar pspt,0,-1,0.0,-1,0.0412
indomaret tebet,4.7,26,-6.2242003,106.8525338,"jl. kh abdullah syafei no.2, rt.12/rw.5, bukit duri, kota jakarta selatan",ChIJndinnI_zaS4RsBdPM7-_7mo,Indomaret,Bukit Duri,Tebet,Kota Jakarta Selatan,6,297.81,0,721.5063575274208,pasar jaya bukit duri,0,22,0.33980914047647914,-1,0.1575
indomaret menteng wadas,3.0,2,-6.2106207,106.8419454,"jl. menteng wadas timur no.17, rt.1/rw.7, ps. manggis, kota jakarta selatan",ChIJVxLzin71aS4R5ngDmYA-lEM,Indomaret,Pasar Manggis,Setiabudi,Kota Jakarta Selatan,10,43.61,1,1634.9602299743126,pasar jaya bukit duri,0,23,0.9750076742567914,1,0.4534
indomaret,4.4,75,-6.216285699999999,106.843786,"qrmv+fgp, rt.1/rw.7, menteng atas, kota jakarta selatan",ChIJE27Ce3X0aS4RwPqn75uJU88,Indomaret,Menteng Atas,Setiabudi,Kota Jakarta Selatan,10,113.13,0,1222.01626090514,pasar jaya bukit duri,0,23,1.0,0,0.4559
indomaret menteng wadas 2,3.8,8,-6.2113933,106.8415987,"jl. menteng wadas timur no.11, rt.8/rw.1, ps. manggis, kota jakarta selatan",ChIJt6qq6gz0aS4Rc32yPpqE5bc,Indomaret,Pasar Manggis,Setiabudi,Kota Jakarta Selatan,11,82.62,0,1627.112904901171,pasar jaya bukit duri,0,23,0.9750076742567914,1,0.474
indomaret tebet barat raya,4.4,15,-6.2383118,106.850335,"jl. tebet barat ix no.20, rt.5/rw.4, tebet bar., kota jakarta selatan",ChIJBxrDu73zaS4R_jKixhfyWEE,Indomaret,Tebet Barat,Tebet,Kota Jakarta Selatan,2,485.69,0,807.815206618151,pasar pspt,0,-1,0.0,-1,0.0412
indomaret abdullah syafei 45c,4.7,6,-6.2258963,106.8575556,"jalan kh. abdullah syafei no.45 1 2, rt.4/rw.1, manggarai sel., kota jakarta selatan",ChIJ63NDeWPzaS4RHVCnhEWtXTU,Indomaret,Manggarai Selatan,Tebet,Kota Jakarta Selatan,12,120.66,0,925.2603142228804,pasar jaya bukit duri,0,22,1.0,2,0.4971
indomaret guntur t 42,4.4,208,-6.2086144,106.8368663,"jl. guntur no.40, rt.8/rw.1, guntur, kota jakarta selatan",ChIJU8fWq6_1aS4RLiY3lLYzs2o,Indomaret,Guntur,Setiabudi,Kota Jakarta Selatan,2,390.46,0,1289.219214907251,pasar mencos,0,-1,0.0,-1,0.0412
