store,nama_tempat,latitude,longitude,competitor_density_500m,jarak_kompetitor_meter,kompetitor_head_to_head,cluster_hdbscan_prob,is_hotspot,pasar_density_500m,retail_vs_pasar_ratio,pelanggaran_zonasi,jarak_pasar_meter,pasar_terdekat,spatial_risk_score,cluster_dbscan_raw,cluster_hdbscan_makro
Indomaret,indomaret,-6.214337,106.8312134,5,363.51,0,0.8605486826798738,0,0,5.0,0,545.8231495088453,pasar mencos,0.3192,-1,24
Indomaret,indomaret dr. saharjo,-6.2160036,106.8440714,10,134.85,0,1.0,1,0,10.0,0,1196.5472594071496,pasar jaya bukit duri,0.7941,0,23
Indomaret,indomaret soepomo,-6.2325019,106.8444327,2,418.57,0,0.0,0,0,2.0,0,1405.8497840059322,pasar pspt,0.0588,-1,-1
Indomaret,indomaret tebet,-6.2242003,106.8525338,6,297.81,0,0.33980914047647914,0,0,6.0,0,721.5063575274208,pasar jaya bukit duri,0.2444,-1,22
Indomaret,indomaret menteng wadas,-6.2106207,106.8419454,10,43.61,1,0.9750076742567914,1,0,10.0,0,1634.9602299743126,pasar jaya bukit duri,0.7891,1,23
Indomaret,indomaret,-6.216285699999999,106.843786,10,113.13,0,1.0,1,0,10.0,0,1222.01626090514,pasar jaya bukit duri,0.7941,0,23
Indomaret,indomaret menteng wadas 2,-6.2113933,106.8415987,11,82.62,0,0.9750076742567914,1,0,11.0,0,1627.112904901171,pasar jaya bukit duri,0.8185,1,23
Indomaret,indomaret tebet barat raya,-6.2383118,106.850335,2,485.69,0,0.0,0,0,2.0,0,807.815206618151,pasar pspt,0.0588,-1,-1
Indomaret,indomaret abdullah syafei 45c,-6.2258963,106.8575556,12,120.66,0,1.0,1,0,12.0,0,925.2603142228804,pasar jaya bukit duri,0.8529,2,22
Indomaret,indomaret guntur t 42,-6.2086144,106.8368663,2,390.46,0,0.0,0,0,2.0,0,1289.219214907251,pasar mencos,0.0588,-1,-1
Indomaret,indomaret tebet raya,-6.230342299999999,106.8514366,4,221.0,0,0.2903475056634627,0,0,4.0,0,800.3308746455856,pasar pspt,0.1757,-1,22
Indomaret,indomaret al barkah,-6.2204901,106.8472328,6,323.75,0,0.33980914047647914,0,0,6.0,0,867.2143427804571,pasar jaya bukit duri,0.2444,-1,22
Indomaret,indomaret abdullah syafei,-6.2240566,106.8527215,6,274.94,0,0.33119319433529887,0,0,6.0,0,699.7095273767994,pasar jaya bukit duri,0.2427,-1,22
Indomaret,indomaret menteng atas,-6.214204,106.8409467,15,81.12,0,1.0,1,0,15.0,0,1579.3847217729187,pasar jaya bukit duri,0.9412,0,23
Indomaret,indomaret tebet timur dalam raya,-6.236383699999999,106.8568272,5,162.63,0,0.838824131209373,0,1,2.5,1,144.52819265526082,pasar pspt,0.3148,-1,15
Indomaret,indomaret convenience store,-6.2258324,106.858882,16,11.99,1,1.0,1,0,16.0,0,978.8201255855541,pasar jaya bukit duri,0.9706,2,22
Indomaret,indomaret plus,-6.208247399999999,106.8327765,3,681.1,0,0.0,0,0,3.0,0,927.6250596675375,pasar mencos,0.0882,-1,-1
Indomaret,indomaret minangkabau dalam,-6.215694699999999,106.8422542,11,196.53,0,1.0,1,0,11.0,0,1400.2860428433303,pasar jaya bukit duri,0.8235,0,23
Indomaret,indomaret kampung melayu besar,-6.2252467,106.8628154,11,55.61,0,0.37037418861301413,1,0,11.0,0,1093.4369633157166,pasar bengong,0.6976,3,22
Indomaret,indomaret wisma staco,-6.2246197,106.8401752,1,787.3,0,0.0,0,0,1.0,0,1762.009629356285,pasar jaya bukit duri,0.0294,-1,-1
Indomaret,indomaret permata kuningan,-6.2123971,106.8336757,4,484.87,0,0.830710389463648,0,0,4.0,0,822.4788644783212,pasar mencos,0.2838,-1,24
Indomaret,indomaret - manggarai tb98,-6.2093992,106.8477239,4,297.16,0,0.0,1,0,4.0,0,1234.7333895067998,pasar jaya bukit duri,0.4176,4,-1
Indomaret,indomaret casablanca,-6.2250076,106.8428196,4,669.13,0,0.31544001789044473,1,0,4.0,0,1522.0167168023652,pasar jaya bukit duri,0.4807,5,22
