nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,4.8,13,-6.247626299999999,106.7785018,"jl. ciputat raya, rt. 8/8 kel, rt.8/rw.8, kby. lama sel., kota jakarta selatan",ChIJMyzoc8PxaS4Rx4Pb25aRaVI,0
alfamart,4.6,56,-6.250438,106.7817332,"jl. sultan iskandar muda no.72, rt.10/rw.2, kby. lama sel., kota jakarta selatan",ChIJP3zxrTPxaS4R58_AUM2UGGA,0
alfamart,4.6,75,-6.2521128,106.783147,"jl. praja dalam k kel, rt.12/rw.2, kby. lama sel., kota jakarta selatan",ChIJFy0cH3DxaS4RqAsb1UlHVzU,0
alfamart,4.2,123,-6.2547162,106.7836782,"jl.darma putra raya rt 1/7 kel, rt.1/rw.7, kby. lama sel., kota jakarta selatan",ChIJuayCtgjxaS4RBl05CpaSF3Q,0
alfamart,4.4,217,-6.2495325,106.7836804,"jl. praja dalam k kel, rt.4/rw.12, kby. lama sel., kota jakarta selatan",ChIJd2c5ZS3xaS4R0Hfe_IqDLp0,0
alfamart,4.4,26,-6.257043599999999,106.7772368,"jl. raya ciputat no.3 b rt.003 kel, rt.3/rw.10, kby. lama sel., kota jakarta selatan",ChIJGWL41wbxaS4R-IwO3XiRIaU,0
alfamart,4,20,-6.258272300000001,106.7839248,"jl. tanah kusir ii no.65, rt.3/rw.011 kel, kby. lama sel., kota jakarta selatan",ChIJEzQd4evxaS4RbvtHCITy4Jw,0
alfamart,4.8,13,-6.247626299999999,106.7785018,"jl. ciputat raya, rt. 8/8 kel, rt.8/rw.8, kby. lama sel., kota jakarta selatan",ChIJMyzoc8PxaS4Rx4Pb25aRaVI,0
alfamart,4.6,56,-6.250438,106.7817332,"jl. sultan iskandar muda no.72, rt.10/rw.2, kby. lama sel., kota jakarta selatan",ChIJP3zxrTPxaS4R58_AUM2UGGA,0
alfamart,4.6,75,-6.2521128,106.783147,"jl. praja dalam k kel, rt.12/rw.2, kby. lama sel., kota jakarta selatan",ChIJFy0cH3DxaS4RqAsb1UlHVzU,0
alfamart,4.2,123,-6.2547162,106.7836782,"jl.darma putra raya rt 1/7 kel, rt.1/rw.7, kby. lama sel., kota jakarta selatan",ChIJuayCtgjxaS4RBl05CpaSF3Q,0
alfamart,4.4,217,-6.2495325,106.7836804,"jl. praja dalam k kel, rt.4/rw.12, kby. lama sel., kota jakarta selatan",ChIJd2c5ZS3xaS4R0Hfe_IqDLp0,0
alfamart,4.4,26,-6.257043599999999,106.7772368,"jl. raya ciputat no.3 b rt.003 kel, rt.3/rw.10, kby. lama sel., kota jakarta selatan",ChIJGWL41wbxaS4R-IwO3XiRIaU,0
alfamart,4,20,-6.258272300000001,106.7839248,"jl. tanah kusir ii no.65, rt.3/rw.011 kel, kby. lama sel., kota jakarta selatan",ChIJEzQd4evxaS4RbvtHCITy4Jw,0
