nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,4.1,101,-6.303783,106.7814079,"jl. karang tengah raya no.kel, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJQfRfkSjuaS4RAiYQMIXjONI,1796.39989526632
alfamart,4.2,58,-6.289572,106.8126228,"jl. jeruk purut kel no.9 1/3, rt.1/rw.3, cilandak tim., kota jakarta selatan",ChIJf1MDyO3xaS4ReY13GALEP7U,2636.0321321453725
alfamart,4.3,4,-6.3001102,106.8147245,"jl. raya cilandak kko kel no.9, rt.1/rw.8, ragunan, kota jakarta selatan",ChIJozpfomPvaS4RLUTcDjCMduQ,2111.3824951053653
alfamart pos fatmawati(1m1f),0.0,0,-6.2943276,106.7947017,"jl. rs. fatmawati raya no.10, rt.2/rw.4, cilandak bar., kota jakarta selatan",ChIJ07uYzrfxaS4RVVcyUC4vxQI,1506.3143788080044
alfamart cilandak kko 2,3.7,6,-6.302779399999999,106.8144748,"jl. raya cilandak kko no.1 c, rt.1/rw.8, ragunan, kota jakarta selatan",ChIJ8VidGwHuaS4RJsdTuMOoQrA,1985.5388930476956
sumber alfaria trijaya. pt (alfamart),1.0,2,-6.3065871,106.7813887,"jl. karang tengah raya no.29, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJeZ_0Qy_uaS4RxNoVOQP_Nyc,1750.3605937237455
alfamart pondok labu,4.4,83,-6.305074599999999,106.794028,"jl. pd. labu 1 no.40, rt.2/rw.7, pd. labu, kota jakarta selatan",ChIJ38bENAvvaS4R1LdbC5p-uDE,451.5708234167036
alfamart,4.3,11,-6.3101879,106.7901479,"jl. h. ipin kel no.45 - a, rt.11/rw.1, pd. labu, kota jakarta selatan",ChIJk3cbNCPuaS4RrWMFJhBGcY0,828.019251579235
alfamart,4.3,59,-6.313207200000001,106.8032178,"jl. margasatwa raya no 14a-c, kel, rt.1/rw.3, pd. labu, kota jakarta selatan",ChIJCz-ABPPvaS4RvH3YwYy3D3U,908.9256787260508
alfamart,4.6,5,-6.2962773,106.7897248,"jl. lebak bulus 1 rt 3/4 kel, rt.3/rw.4, cilandak bar., kota jakarta selatan",ChIJCx-hv97xaS4R-d86cMw_-Vs,1509.6198626112275
bright by alfamart,0.0,0,-6.3037727,106.7821517,"jl. karang tengah raya no.71, rt.7/rw.4, lb. bulus, kota jakarta selatan",ChIJx7rEgOnvaS4REZVEtk4z2X4,1716.9782706514843
alfamart,0.0,0,-6.2929597,106.803038,"sovereign plaza, gedung, jl. tb simatupang kel no.kav.36, rt.2/rw.2, west cilandak, south jakarta city",ChIJqZkyc27xaS4R5CzWGNuI-sc,1756.3520616196884
alfamart,0.0,0,-6.2904353,106.7954148,"jl. rs. fatmawati raya kel no.33, rt. 01/09, rt.1/rw.9, cilandak bar., kota jakarta selatan",ChIJTYWeG7_xaS4RP-aI5kJQ4Rw,1923.83172708367
alfamart,4.3,125,-6.2927034,106.8100407,"jl. tb simatupang kel no.31, rt.2/rw.1, cilandak tim., kota jakarta selatan",ChIJny3gdfzxaS4RUrQCDUZDSHE,2185.9042642345594
alfamart,4.2,239,-6.3083256,106.7978603,"jl. pinang raya kel no.6, rt.2/rw.2, pd. labu, kota jakarta selatan",ChIJgwgjsBnuaS4ROK7tEhrHbHM,105.7847431490944
alfamart,3.9,109,-6.312744899999999,106.7967237,"jl. margasatwa no.1, rt.1/rw.2 kel, pd. labu, kota jakarta selatan",ChIJ9-f0rBfuaS4RflvVgq5gTTo,569.2546476720739
