nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,4.1,101,-6.303783,106.7814079,"jl. karang tengah raya no.kel, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJQfRfkSjuaS4RAiYQMIXjONI,224.34378544618477
alfamart,0,0,-6.292159799999999,106.7715761,"pq5c+4jm, rt.4/rw.2, lebak bulus, south jakarta city",ChIJe_KhtJXxaS4Ro2d18maz9HI,1499.6428755374689
alfamart pos fatmawati(1m1f),0,0,-6.2943276,106.7947017,"jl. rs. fatmawati raya no.10, rt.2/rw.4, cilandak bar., kota jakarta selatan",ChIJ07uYzrfxaS4RVVcyUC4vxQI,1944.0904980306702
sumber alfaria trijaya. pt (alfamart),1,2,-6.3065871,106.7813887,"jl. karang tengah raya no.29, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJeZ_0Qy_uaS4RxNoVOQP_Nyc,439.5048085217705
alfamart pondok labu,4.4,83,-6.305074599999999,106.794028,"jl. pd. labu 1 no.40, rt.2/rw.7, pd. labu, kota jakarta selatan",ChIJ38bENAvvaS4R1LdbC5p-uDE,1621.1434481396827
alfamart,4.3,11,-6.3101879,106.7901479,"jl. h. ipin kel no.45 - a, rt.11/rw.1, pd. labu, kota jakarta selatan",ChIJk3cbNCPuaS4RrWMFJhBGcY0,1416.2017733769915
alfamart,4.6,5,-6.2962773,106.7897248,"jl. lebak bulus 1 rt 3/4 kel, rt.3/rw.4, cilandak bar., kota jakarta selatan",ChIJCx-hv97xaS4R-d86cMw_-Vs,1362.474799755029
bright by alfamart,0,0,-6.3037727,106.7821517,"jl. karang tengah raya no.71, rt.7/rw.4, lb. bulus, kota jakarta selatan",ChIJx7rEgOnvaS4REZVEtk4z2X4,302.8300859310199
alfamart batan,0,0,-6.3002921,106.776064,"jl. lb. bulus no.48, rt.3/rw.4, lb. bulus, kota jakarta selatan",ChIJbd-MJCruaS4RSb7vFayLGfQ,491.94612310667816
alfamart,0,0,-6.2904353,106.7954148,"jl. rs. fatmawati raya kel no.33, rt. 01/09, rt.1/rw.9, cilandak bar., kota jakarta selatan",ChIJTYWeG7_xaS4RP-aI5kJQ4Rw,2254.670018567891
alfamart pondok indah 1,4.3,7,-6.2874722,106.7768054,"jl. bukit hijau i no.12, rt.012/rw.13, pd. pinang, kota jakarta selatan",ChIJQUQy07XxaS4RjrvEhegdQm8,1764.2974336949294
alfamart,4.2,239,-6.3083256,106.7978603,"jl. pinang raya kel no.6, rt.2/rw.2, pd. labu, kota jakarta selatan",ChIJgwgjsBnuaS4ROK7tEhrHbHM,2111.091760216848
alfamart,3.9,109,-6.312744899999999,106.7967237,"jl. margasatwa no.1, rt.1/rw.2 kel, pd. labu, kota jakarta selatan",ChIJ9-f0rBfuaS4RflvVgq5gTTo,2184.8712609573768
alfamart,4.4,58,-6.311102099999999,106.7857304,"jl. karang tengah i kel no.2a, rt.3/rw.8, lb. bulus, kota jakarta selatan",ChIJHUbBKDvuaS4RTSYAiwoXKDw,1124.4806468618588
alfamart,0,0,-6.3105462,106.7937534,"jl. pd. labu raya no.7, rw.1, pd. labu, kota jakarta selatan",ChIJmcOA6EXvaS4RQqMPIIRVwRA,1779.655380968083
alfamart,5,1,-6.2829676,106.7717234,"jl. ciputat raya, jl. pupan kel no.1, rw.8, pd. pinang, kota jakarta selatan",ChIJUSEHg7TxaS4RsI5kfN_QGzs,2398.9755115108615
alfamart muhasyim,4.5,38,-6.287512299999999,106.7906552,"jl. kh muhasim raya no.9, rw.6, cilandak bar., kota jakarta selatan",ChIJ7TD6i8HxaS4R7XtoeIg2qwc,2128.5816657217147
alfamart,3.8,22,-6.2844107,106.7809859,"pondok pinang, south jakarta city",ChIJERDDt8jxaS4RaCqImp2dRvo,2086.0574417775633
alfamart,4.3,3,-6.288993199999999,106.7738201,"pq6f+cg4, ruko pasar jumat, jl. nasional 12, rt.10/rw.7, pd. pinang, kota jakarta selatan",ChIJQ8QJ52vxaS4R9ByNQALudjw,1690.5651327450141
