nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,0,0,-6.357054,106.8095512,"jl. srengseng sawah kel no.4, rt.9/rw.9, cipedak, kota jakarta selatan",ChIJQ72y0hzvaS4RX5dcmBsgyWU,1044.6222205837432
alfamart,1,1,-6.345517699999999,106.810441,"jl. wr. sila kel no.48, rt.11/rw.5, ciganjur, kota jakarta selatan",ChIJLccxhA3vaS4R1CueIAoDZlE,1643.660195809791
alfamart,4.4,104,-6.3492714,106.8016789,"jl. m. khafi kel no.1, rt.015/rw.1, cipedak, kota jakarta selatan",ChIJ2ZJsw-bvaS4RPE2HSgHEYvc,786.7900616806859
alfamart,4.3,85,-6.341221600000001,106.8046813,"jl. m. kahfi i no. 60, rt. 006 kel, rt.8/rw.6, ciganjur, kota jakarta selatan",ChIJ50-5vp3vaS4R4PP0-gOdOLY,1737.3588616077234
alfamart,4.2,129,-6.358035099999999,106.8116309,"jl. srengseng sawah kel no.48 rt 2/9, rt.3/rw.9, srengseng sawah, kota jakarta selatan",ChIJO-fSOk7vaS4RCj8aV46LE6Q,1286.5668615551176
alfamart srengseng sawah 4 (eh83),4.3,15,-6.357146999999999,106.8095228,"jl. srengseng sawah no.1, rt.4/rw.9, srengseng sawah, kota jakarta selatan",ChIJ88BZcpnuaS4RE8o0nNn30ow,1042.513280953978
alfamart,4.1,107,-6.3629942,106.8021022,"jl.moch kahfi i, gg. pedati selatan kel no.60, rt.6/rw.2, cipedak, kota jakarta selatan",ChIJ7ykmvmrvaS4RlZev4Fju-J8,788.1573356787824
alfamart,4.3,162,-6.3633345,106.8067338,"jl. moch. kahfi ii kel no.24, rt.7/rw.3, cipedak, kota jakarta selatan",ChIJreD62aLuaS4RmuRbWickzPw,1078.8768484042741
alfamart,3.9,13,-6.3519106,106.8104356,"jl. timbul rt 1/3 kel, jl. timbul no.38, rt.1/rw.3, cipedak, kota jakarta selatan",ChIJa5D3PpvuaS4RmD22MJHORS4,1232.888590230728
alfamart,4.3,119,-6.3447007,106.8044728,"jl. wr. sila kel no.261, rt.3/rw.4, ciganjur, kota jakarta selatan",ChIJn4GqwYjuaS4RkEZAhdWNiIU,1363.2926690132065
alfamart,4,12,-6.3431267,106.8172234,"jl.moch kahfi 2 rt 5/4 kel, jl. moch. kahfi ii no.2, rt.5/rw.4, ciganjur, kota jakarta selatan",ChIJwRkvJkbvaS4RV98hH2jg2jM,2381.418155794067
alfamart m. kafi 1,4.3,27,-6.354785,106.8104626,"jl. moch. kahfi ii no.35, rt.4/rw.3, cipedak, kota jakarta selatan",ChIJf-XTUHHuaS4R3O2aD58Jejc,1151.3066917676606
alfamart jl.aselih,4.2,52,-6.3518666,106.8010337,"jrx2+6cr, rt.7/rw.1, cipedak, south jakarta city",ChIJS129nNjvaS4RhFpkPRMENm4,489.67916776204834
alfamart,0,0,-6.352576699999999,106.8188851,"jl. srengseng sawah kel no.18, rw.7, srengseng sawah, kota jakarta selatan",ChIJLdQeZIztaS4R-teqdeGZ2Aw,2109.988367952214
alfamart,4.5,99,-6.348487899999999,106.8200177,"jl. srengseng raya kel no.87, rt.2/rw.7, srengseng sawah, kota jakarta selatan",ChIJPxyLWijsaS4Rl6Ahgql2Zkc,2357.4065584875766
alfamart,1,1,-6.3450368,106.8152846,"jl. wr. sila no.36, rt.2/rw.5, ciganjur, kota jakarta selatan",ChIJXWJrkhPvaS4Rrveg9EepZfI,2082.4410393932635
alfamart,4.4,39,-6.3360353,106.8081282,"jl. h. montong kel, rt.6/rw.2, ciganjur, kota jakarta selatan",ChIJcSF1kHzuaS4RmUi6Derkz0U,2407.6723790143838
