nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,4.3,16,-6.3389038,106.8344498,"komp. sta universitas pancasila jl. raya lt agung kel, rt.1/rw.3, srengseng sawah, kota jakarta selatan",ChIJO9SLoXrtaS4R_qO4Q2eaGC0,1490.575890187611
alfamart,4,1,-6.3274385,106.8165763,"jl. gandaria ii kel no.rt. 006/02, rt.6/rw.2, jagakarsa, kota jakarta selatan",ChIJNaff4frvaS4Rv-sXFlDoV8I,1949.71385912012
alfamart,4.4,172,-6.310429000000001,106.8373362,"jl. raya lenteng agung no.9 rt, rt.4/rw.1, lenteng agung, kota jakarta selatan",ChIJI4ismJftaS4RG7BjJdb_aTE,1713.6570989889547
alfamart lenteng agung 5,3,4,-6.3163063,106.8361512,"jl. raya lenteng agung no.22, rt.5/rw.1, lenteng agung, kota jakarta selatan",ChIJDQ0fsc7taS4R3NlvyB-kvR0,1047.2125819086682
alfamart,4.8,20,-6.3286377,106.8244583,"jl. raya jagakarsa no.2a, rt.9/rw.7, kel, kota jakarta selatan",ChIJWbkHhJ3taS4RYeZ0L7Xgo4Y,1122.201340708615
alfa rancho indah (dalam),4.4,269,-6.309573200000001,106.850957,"jl. rancho indah no.47d, rt.8/rw.2, tj. bar., kota jakarta selatan",ChIJFaiFN5DtaS4RMY3a1g0u8Bo,2569.8815543641304
alfamart,4.2,97,-6.3359894,106.8270017,"jl. moch. kahfi ii kel no.23, rt.11/rw.8, srengseng sawah, kota jakarta selatan",ChIJe1YAOdLtaS4Rt7Ol21BHFN4,1405.9893547672107
alfamart,5,1,-6.3077549,106.8388917,"stasiun tanjung barat kel, rt.4/rw.1, srengseng sawah, kota jakarta selatan",ChIJAdADu4rtaS4RvCWKME2nOFc,2043.0321684626415
alfamart,2,1,-6.3409759,106.8275507,"jl. raya desa putra no. 22, rt no.kel, rt.7/rw.5, srengseng sawah, kota jakarta selatan",ChIJozZ4F7HtaS4R1kONZ5ibbtU,1866.994218544468
alfamart,4.3,239,-6.3267655,106.8215854,"jl. raya jagakarsa, rt.2/rw.7, kel, kota jakarta selatan",ChIJz9mMD9ntaS4RZubt_6ybvOw,1391.3052185043905
alfamart,4.3,363,-6.3390194,106.8285737,"jl. desa putra raya no.3 kel, rw.5, srengseng sawah, kota jakarta selatan",ChIJAw3ltijtaS4RmcB7KA3NCio,1622.7318065568952
alfamart,4.5,73,-6.333435799999999,106.835083,"jl. lenteng agung barat no. 9, kel no.04, rt.2/rw.10, srengseng sawah, kota jakarta selatan",ChIJ13AKk4ftaS4RCuU8MrNt6NA,888.6173881633841
alfamart,4.1,158,-6.3271403,106.8293354,"jl. klp. 3 no.49, rt.6/rw.3, kel, kota jakarta selatan",ChIJKUVCIj_taS4RPE3ln04fn_s,558.2137010913701
alfamart,4.4,68,-6.316942099999999,106.8251017,"jl. kebagusan raya kel, rt.2/rw.4, kebagusan, kota jakarta selatan",ChIJ5ecsNQftaS4R2Gym8QnVXUk,1377.4576114025178
alfamart,3.7,11,-6.3234492,106.8354947,"jl. raya lenteng agung kel no.14, lenteng agung, kota jakarta selatan",ChIJlTB_4sPtaS4Rxc7ws3Uy_40,274.90040326904113
alfamart,3.7,15,-6.312712599999999,106.8257501,"jl. raya jatipadang kel no.16, rt.7/rw.5, kebagusan, kota jakarta selatan",ChIJ-86bRuTtaS4Roa7AGvYD-sg,1695.9974922906347
alfamart,4.1,115,-6.312118,106.838574,"jl.tanjung barat sltn rt 1/2, kel, rt.1/rw.2, tj. bar., kota jakarta selatan",ChIJO7r69eztaS4R6-qTHsW9FZo,1567.9817444651096
alfamart,4.4,72,-6.3243592,106.8300011,"jl. joe klp. tiga, rt.2/rw.3, kel, kota jakarta selatan",ChIJYbi2VcPtaS4REBIUqS4H6nw,471.59358703163537
alfamart,4.8,16,-6.3306239,106.8349623,"stasiun kel, lenteng agung, south jakarta city",ChIJIwmT0tTtaS4R6hg8QgNw3WY,577.1553696968373
alfamart - kebagusan city,4.2,17,-6.307295,106.8351857,"apartemen kebagusan city tower a, rt.1/rw.3, kebagusan, pasar minggu, rt.1/rw.3, kebagusan, kota jakarta selatan",ChIJr2pCifHtaS4RLO2T4wxkmtk,2028.1268629215322
alfamart,4,12,-6.3431267,106.8172234,"jl.moch kahfi 2 rt 5/4 kel, jl. moch. kahfi ii no.2, rt.5/rw.4, ciganjur, kota jakarta selatan",ChIJwRkvJkbvaS4RV98hH2jg2jM,2706.1425967413643
alfamart,4.7,86,-6.3212652,106.8254171,"jl ry jati padang 6 rt 4/4 kel, rt.11/rw.5, kebagusan, kota jakarta selatan",ChIJ60AxeGztaS4Ru2TlJfZ6_co,1070.0785828145047
alfamart ltg agung jagakarsa,5,2,-6.3283086,106.8342246,"mrcm+mm5, rt.9/rw.4, lenteng agung, south jakarta city",ChIJ05wHln3taS4RfX09zv-hV4M,312.22545751637983
alfamart,3.4,12,-6.315443900000001,106.8430878,"jl. tj. barat selatan gg. 100 kel, lenteng agung, kota jakarta selatan",ChIJ406rRZPtaS4RMYVeSLK2seg,1495.1821297836595
alfamart,4.5,97,-6.3179633,106.8191259,"jl. pepaya raya no.58, rt.12/rw.5, kel, kota jakarta selatan",ChIJW9l0OeDtaS4Rpqp-vEQlRxM,1856.1621780736946
alfamart,0,0,-6.3071224,106.8350381,"apart kebagusan city unit 1-ka kel, rt.1/rw.3, kebagusan, kota jakarta selatan",ChIJgfNO4B7taS4R-UWce8QYzk8,2046.4040491691562
alfamart cv. anis star,4,12,-6.3271938,106.816634,"jl. raya jagakarsa no.3, rt.6/rw.2, jagakarsa, kota jakarta selatan",ChIJGQvZVnHuaS4R5-987_ViIy0,1940.5516617935516
alfamart,4.4,99,-6.3270311,106.8144222,"jl.jagakarsa kp.kandang no.50, rt.6/rw.4, kel, kota jakarta selatan",ChIJVZkf7ijvaS4RohYfDKQq_TQ,2182.491077214064
alfamart,3.7,11,-6.3448658,106.8286053,"jl. srengseng sawah kel no.rt 5/12, rt.5/rw.12, srengseng sawah, kota jakarta selatan",ChIJNeAy4i3saS4R2vlrs_RK_Qk,2237.3485832419387
alfamart cilandak kko 3,4.4,63,-6.309416199999999,106.8138852,"jl. cilandak kko no.1 a rt.014/08, cilandak ragunan rt.1, rt.14/rw.7, ragunan, south jakarta city",ChIJa8XPd0DvaS4RSIXi_ygrEaA,2862.876873217083
