nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,4.3,246,-6.2523984,106.8145319,"jl. bangka raya kel no.101, rt.2/rw.1, pela mampang, kota jakarta selatan",ChIJdQvH69nxaS4RbrLohgHukIQ,2232.0453100528603
alfamart,4.3,4,-6.2426448,106.787694,"jl. gandaria 1 no.339, rt.5/rw.2, kramat pela, kota jakarta selatan",ChIJ2-7GYbvxaS4RR9L87NnK-a0,1861.508115873229
alfamart,3,8,-6.2483201,106.7900754,"jl. gandaria i no.04, rt. 010 kel, rt.1/rw.8, kramat pela, kota jakarta selatan",ChIJ9cTCcxLxaS4RIQU5nzRwbcU,1997.2856667274084
alfamart kapten tendean 2,3.8,11,-6.240049200000001,106.818981,"jl. kapt. tendean no. 18 b, rt, kel, rt.1/rw.1, pela mampang, kota jakarta selatan",ChIJk9Chmd_zaS4R8JKnx_DYAd4,1817.366189272409
alfamart,4,6,-6.247622199999999,106.7950681,"jl. barito ii no.kel, rt.8/rw.5, kramat pela, kota jakarta selatan",ChIJ6fv_N23xaS4R8O7J0wDiRO4,1580.1757477626138
alfamart,4.4,52,-6.2392731,106.8100952,"jl. wolter monginsidi kel no.46, rt.1/rw.6, petogogan, kota jakarta selatan",ChIJ-TaTa2fxaS4R6RNGaVrMT6k,862.4609793885694
alfamart,4.4,17,-6.2284805,106.7855186,"jl. rawa simprug iii, rt.03, r no.kel, rt.3/rw.9, grogol sel., kota jakarta selatan",ChIJIYHBgDDxaS4RvycdmnfZeP4,2108.404946071264
alfamart,3.5,12,-6.2440528,106.8161758,"jl. bangka raya kel no.31 a, rt.5/rw.5, pela mampang, kota jakarta selatan",ChIJQQRLPWLxaS4Rw_WIE4_HVMw,1709.5589945938489
alfamart,3,2,-6.236459,106.8006485,"jl. iskandarsyah raya kel no.35, rt.2/rw.1, melawai, kota jakarta selatan",ChIJsaRf3yPxaS4R4cFCV3ZPdak,277.9121908051928
alfamart,4.6,27,-6.245343399999999,106.8012186,"jl. melawai ( blok m mall kel, rt.3/rw.1, melawai, kota jakarta selatan",ChIJgYNzkW7xaS4RAyBciUPKZRg,1074.6861735524362
alfamart,5,1,-6.2385571,106.8170846,"jl. wolter monginsidi no.125, rt.1/rw.2, rw. bar., kota jakarta selatan",ChIJ7dChQKnxaS4Rc90K7EVLZBA,1575.8285545761582
alfamart,4.5,264,-6.2506507,106.793953,"jl. petogogan i, rt. 003/011 kel, rt.1/rw.1, petogogan, kota jakarta selatan",ChIJT0UQ-xzxaS4Rbkmahws1Wiw,1930.041737661987
alfamart,0,0,-6.2300567,106.8187181,"jl. gatot subroto kel no.kav.52, rt.6/rw.1, kuningan bar., kota jakarta selatan",ChIJDxW97RrzaS4RmZsx_ifU4x8,1844.1329982296684
alfamart,4.2,283,-6.2491889,106.8186279,"jl. bangka ii kel no.1a, rt.8/rw.3, pela mampang, kota jakarta selatan",ChIJ-dormaPzaS4RlalyMly0C5M,2268.706387021347
alfamart,4.6,22,-6.236351,106.7872294,"jl. ophir kramat 2 pakubuwono, kel, rt.7/rw.1, gunung, kota jakarta selatan",ChIJvR3FTzzxaS4R3I33kymyg0w,1753.9494731473515
alfamart,4.5,13,-6.246897499999999,106.7898721,"jl. gandaria 1 kel no.41, rt.2/rw.3, kramat pela, kota jakarta selatan",ChIJM-mfsy_xaS4RLeBYt92_-zA,1908.1323503551298
alfamart,0,0,-6.240064299999999,106.8042097,"pt pln (persero) kantor pusat, jl. trunojoyo no.kel, rt.6/rw.2, melawai, south jakarta city",ChIJp0jKnE_xaS4ReNrwgJLzaRU,483.72293235298594
alfamart bangka 2,4.3,175,-6.2433743,106.8156896,"jl. bangka raya no.26, rt.5/rw.5, pela mampang, kota jakarta selatan",ChIJJcKfPGLxaS4RGLvlj1PN8YY,1624.2582882247775
alfamart,4.2,120,-6.245465,106.8186523,"jl. bangka ii kel no.29l, rt.17/rw.2, pela mampang, kota jakarta selatan",ChIJE2FoiNjzaS4RkuhZJgb9Stg,2024.9148034982577
alfamart,4.8,5,-6.226305,106.8191669,"apartemen taman semanggi, jl. akri kel no.136, rt.8/rw.2, karet semanggi, kota jakarta selatan",ChIJZSNypFjzaS4RiqX0yBCekAw,2070.523031618763
alfamart kyai maja,4.5,454,-6.2415428,106.793223,"10, jl. kyai maja no.37, rt.10/rw.7, kramat pela, kota jakarta selatan",ChIJ3XNl2RTxaS4R5Bv0sufWonw,1260.4677382795364
alfamart faletehan,4.3,32,-6.2417419,106.8016892,"jl. falatehan i no.30, rt.2/rw.1, melawai, kota jakarta selatan",ChIJM7mhkrDxaS4RCbsQa_-sjAw,672.1941605454809
alfamart,4.2,17,-6.2542811,106.8012815,"jl. darmawangsa vi no.45, rt, rt.5/rw.1, pulo, kota jakarta selatan",ChIJubtXt3bxaS4RG8SDqsnSF-U,2058.158141039353
alfamart,3,1,-6.2303643,106.8218469,"jl. guru mughni kel no.12, rt.1, kuningan, kuningan tim., kota jakarta selatan",ChIJR3_-W0XzaS4Ra2KJ49HgobM,2161.583204415971
alfamart,4,2,-6.253431399999999,106.8216615,"jl. bangka xi c kel no.26, rt.11/rw.10, pela mampang, kota jakarta selatan",ChIJ87K7nWvzaS4Rle3PP96wwFg,2834.133157308067
alfamart,4.3,66,-6.216337999999999,106.8203685,"jl. bek murad no.7, rt.8/rw.001 kel, kuningan, karet kuningan, kota jakarta selatan",ChIJqxVWcJX1aS4RUAMlnS81uJM,2891.3623713104334
alfamart koppeg pt pln,3.9,12,-6.2407841,106.8035925,"jl. trunojoyo no.135, rt.6/rw.2, melawai, kota jakarta selatan",ChIJgZrvVmjxaS4R-CmjwHJTv-o,550.454337358479
alfamart guru mugni 2,3.8,25,-6.230415799999999,106.8213373,"jl. peltu rahmat sidup no.7 kuningan rt.1, rt.1, rt.1, kuningan, kuningan tim., kota jakarta selatan",ChIJ7z1SCOPzaS4RUqc62WYc7_E,2105.9573748243756
alfamart,3.8,13,-6.2510088,106.8216417,"jl. pondok jaya vi no.31 rt.00 kel, rt.6/rw.6, pela mampang, kota jakarta selatan",ChIJmdxMydLzaS4R3PTMkWwbsm8,2653.902547620301
