nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,4.3,151,-6.216512,106.8278755,"jl. anggrek 3 kel no.25 b, rt.19/rw.2, kuningan, karet kuningan, kota jakarta selatan",ChIJd8d5kgf0aS4RZrS7fXlU-kg,2232.0225189451335
alfamart,4.3,66,-6.216337999999999,106.8203685,"jl. bek murad no.7, rt.8/rw.001 kel, kuningan, karet kuningan, kota jakarta selatan",ChIJqxVWcJX1aS4RUAMlnS81uJM,1587.5246389783424
alfamart,4,1,-6.2130459,106.825213,"jl. karet belakang barat jl. karbela no.kel, rt.1/rw.2, kuningan, karet kuningan, kota jakarta selatan",ChIJg9H4zDH1aS4Rm3_YlVTAJaY,2226.0524349851626
alfamart,3,1,-6.2303643,106.8218469,"jl. guru mughni kel no.12, rt.1, kuningan, kuningan tim., kota jakarta selatan",ChIJR3_-W0XzaS4Ra2KJ49HgobM,1323.4831642068652
alfamart kapten tendean 2,3.8,11,-6.240049200000001,106.818981,"jl. kapt. tendean no. 18 b, rt, kel, rt.1/rw.1, pela mampang, kota jakarta selatan",ChIJk9Chmd_zaS4R8JKnx_DYAd4,1760.0594250890335
alfamart,4.4,52,-6.2392731,106.8100952,"jl. wolter monginsidi kel no.46, rt.1/rw.6, petogogan, kota jakarta selatan",ChIJ-TaTa2fxaS4R6RNGaVrMT6k,1401.348622173295
alfamart setiabudibarat,5,1,-6.2104934,106.8230285,"jl. setiabudi raya no.2, rw.2, kuningan, kota jakarta selatan",ChIJRScsryb1aS4RlODMjqPRKNU,2273.121637995046
alfamart,3.5,12,-6.2440528,106.8161758,"jl. bangka raya kel no.31 a, rt.5/rw.5, pela mampang, kota jakarta selatan",ChIJQQRLPWLxaS4Rw_WIE4_HVMw,2032.7963842365639
alfamart,3,2,-6.236459,106.8006485,"jl. iskandarsyah raya kel no.35, rt.2/rw.1, melawai, kota jakarta selatan",ChIJsaRf3yPxaS4R4cFCV3ZPdak,1536.3695612471847
alfamart,5,1,-6.2385571,106.8170846,"jl. wolter monginsidi no.125, rt.1/rw.2, rw. bar., kota jakarta selatan",ChIJ7dChQKnxaS4Rc90K7EVLZBA,1510.3311695217833
alfamart,4.3,263,-6.2138855,106.8266392,"jl. karet belakang i no.2, rt.3/rw.4, kuningan, karet, kota jakarta selatan",ChIJUyMhTgb0aS4RgL8lQLR7f34,2284.7264542393177
alfamart,0,0,-6.2300567,106.8187181,"jl. gatot subroto kel no.kav.52, rt.6/rw.1, kuningan bar., kota jakarta selatan",ChIJDxW97RrzaS4RmZsx_ifU4x8,986.8846939249108
alfamart,2.6,5,-6.216807999999999,106.8179903,"jl. jenderal sudirman kel no.kav. 45-46, rt.3/rw.4, setia budi, kota jakarta selatan",ChIJM7-EqKr2aS4Rv5IqHeB_HY0,1377.0412231021864
alfamart,0,0,-6.240064299999999,106.8042097,"pt pln (persero) kantor pusat, jl. trunojoyo no.kel, rt.6/rw.2, melawai, south jakarta city",ChIJp0jKnE_xaS4ReNrwgJLzaRU,1641.393048054505
alfamart bangka 2,4.3,175,-6.2433743,106.8156896,"jl. bangka raya no.26, rt.5/rw.5, pela mampang, kota jakarta selatan",ChIJJcKfPGLxaS4RGLvlj1PN8YY,1944.585238342949
sumber alfaria trijaya. pt (alfamart),3,1,-6.213625899999999,106.8206906,"jl. penjernihan i no.10, rt.4/rw.2, kuningan, karet, kota jakarta selatan",ChIJo-s9oAH0aS4RVJ8YUgAM_DY,1839.4961159958168
alfamart,3.8,39,-6.243284,106.8259296,"jl. mampang prpt. raya kel no.18, rt. 06/03, rt.6/rw.3, mampang prpt., kota jakarta selatan",ChIJ5743TtvzaS4RaNTeZ8xL7Gw,2516.591129874706
alfamart,4.8,5,-6.226305,106.8191669,"apartemen taman semanggi, jl. akri kel no.136, rt.8/rw.2, karet semanggi, kota jakarta selatan",ChIJZSNypFjzaS4RiqX0yBCekAw,962.9714828853187
alfamart karbela 3,4.3,25,-6.2092301,106.8266949,"jl. setia budi tengah no.5, rt.1/rw.1, kuningan, kota jakarta selatan",ChIJNYn7SAf0aS4RXmIS9qwhxQU,2642.4371243496234
alfamart kyai maja,4.5,454,-6.2415428,106.793223,"10, jl. kyai maja no.37, rt.10/rw.7, kramat pela, kota jakarta selatan",ChIJ3XNl2RTxaS4R5Bv0sufWonw,2522.807121578639
alfamart karbela 2,3.8,5,-6.2154088,106.8281067,"jl. karbela, gg. anggrek xii kel no.10, rt.18/rw.2, kuningan, karet kuningan, kota jakarta selatan",ChIJAy-tiaj1aS4RDnaS0bHpQiw,2318.035869897869
alfamart faletehan,4.3,32,-6.2417419,106.8016892,"jl. falatehan i no.30, rt.2/rw.1, melawai, kota jakarta selatan",ChIJM7mhkrDxaS4RCbsQa_-sjAw,1935.7666685546449
alfamart,4.6,27,-6.245343399999999,106.8012186,"jl. melawai ( blok m mall kel, rt.3/rw.1, melawai, kota jakarta selatan",ChIJgYNzkW7xaS4RAyBciUPKZRg,2313.6470037280346
alfamart,4.2,66,-6.2457614,106.8258046,"jl. mampang prpt. raya kel no.58 a, rt.9/rw.3, tegal parang, kota jakarta selatan",ChIJWVXFdyLzaS4R8xNLa-VEm_w,2716.5265736737097
alfamart guru mugni 2,3.8,25,-6.230415799999999,106.8213373,"jl. peltu rahmat sidup no.7 kuningan rt.1, rt.1, rt.1, kuningan, kuningan tim., kota jakarta selatan",ChIJ7z1SCOPzaS4RUqc62WYc7_E,1271.9065515855154
alfamart koppeg pt pln,3.9,12,-6.2407841,106.8035925,"jl. trunojoyo no.135, rt.6/rw.2, melawai, kota jakarta selatan",ChIJgZrvVmjxaS4R-CmjwHJTv-o,1742.9466552465956
alfamart mampang prapatan 2,4.2,180,-6.2433977,106.8291506,"jl. mampang prapatan ii no.19, rt.10/rw.2, mampang prpt., kota jakarta selatan",ChIJv7kzTtvzaS4RPboho4y1LBs,2779.249655473554
alfamart,4.7,11,-6.218932499999999,106.8302356,"jl.hr. rasuna said kav. 3 - 5 kel, rt.6/rw.7, kuningan, setia budi, kota jakarta selatan",ChIJXVCj6unzaS4R3_PYMijRI8o,2349.1106280847107
alfamart,4.2,120,-6.245465,106.8186523,"jl. bangka ii kel no.29l, rt.17/rw.2, pela mampang, kota jakarta selatan",ChIJE2FoiNjzaS4RkuhZJgb9Stg,2276.9279771573347
