nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,4.8,8,-6.2466634,106.7620832,"jl.ulujami raya no 86 rt 1/4 kel, rw.7, ulujami, kota jakarta selatan",ChIJiZF3MRHxaS4RMkLi-3sXAfI,0
alfamart,3.8,20,-6.241620699999999,106.7563085,"jl. m. saidi no. 37, rt. 004 / 001 kel, rt.7/rw.5, petukangan sel., kota jakarta selatan",ChIJHWXiNejwaS4ROduEiEdqDvs,0
alfamart,4.4,228,-6.2498001,106.7567651,"jl. merpati raya no.1, rt.3/rw.6, pesanggrahan, kota jakarta selatan",ChIJfTNH2u_waS4RfAA7VP4nhgA,0
alfamart ulujami perdatam 2,4.4,278,-6.241565200000001,106.763046,"jl. ulujami raya no.37, rt.11/rw.5, ulujami, kota jakarta selatan",ChIJxVlcmuXxaS4RuKkkG0FzqEg,0
alfamart,4,6,-6.247622199999999,106.7950681,"jl. barito ii no.kel, rt.8/rw.5, kramat pela, kota jakarta selatan",ChIJ6fv_N23xaS4R8O7J0wDiRO4,0
alfamart,4.5,264,-6.2506507,106.793953,"jl. petogogan i, rt. 003/011 kel, rt.1/rw.1, petogogan, kota jakarta selatan",ChIJT0UQ-xzxaS4Rbkmahws1Wiw,0
alfamart,3,8,-6.2483201,106.7900754,"jl. gandaria i no.04, rt. 010 kel, rt.1/rw.8, kramat pela, kota jakarta selatan",ChIJ9cTCcxLxaS4RIQU5nzRwbcU,0
alfamart,4.6,27,-6.245343399999999,106.8012186,"jl. melawai ( blok m mall kel, rt.3/rw.1, melawai, kota jakarta selatan",ChIJgYNzkW7xaS4RAyBciUPKZRg,0
alfamart,4.2,17,-6.2542811,106.8012815,"jl. darmawangsa vi no.45, rt, rt.5/rw.1, pulo, kota jakarta selatan",ChIJubtXt3bxaS4RG8SDqsnSF-U,0
alfamart kyai maja,4.5,454,-6.2415428,106.793223,"10, jl. kyai maja no.37, rt.10/rw.7, kramat pela, kota jakarta selatan",ChIJ3XNl2RTxaS4R5Bv0sufWonw,0
alfamart faletehan,4.3,32,-6.2417419,106.8016892,"jl. falatehan i no.30, rt.2/rw.1, melawai, kota jakarta selatan",ChIJM7mhkrDxaS4RCbsQa_-sjAw,0
alfa midi,4.5,174,-6.2468046,106.7948782,"qq3v+7xc, jl. barito ii, rt.8/rw.5, kramat pela, kota jakarta selatan",ChIJAS87L23xaS4RE2RaGQ6kKq4,0
