nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,4.3,83,-6.2262738,106.7574297,"jl. palem v no.29a, rt.3/rw.008 kel, petukangan utara, kota jakarta selatan",ChIJbZxuR87waS4RypdX0qDk-Ss,0
alfamart,4.1,78,-6.2276746,106.7604631,"jl. swadarma raya kel no.9, rt.9/rw.8, ulujami, kota jakarta selatan",ChIJUXhI3AzxaS4RwEQ8G0z8fnE,0
alfamart,4.4,82,-6.233785,106.7573647,"jl. kostrad pusri kel no.42 rt 04/04, rt.4/rw.4, pela mampang, kota jakarta selatan",ChIJV5SblcTwaS4RFahjIV6xK_g,0
alfamart,4.1,61,-6.2333072,106.7605881,"jl. swadarma raya kel no.24, rt.18/rw.8, ulujami, kota jakarta selatan",ChIJiThZFNvwaS4RTbh3WkNuQRc,0
alfamart,4.6,5,-6.2600554,106.796534,"jl. fatmawati raya no.kel, rt.4/rw.6, cilandak bar., kota jakarta selatan",ChIJXTKX4rjxaS4RKHvkQIrJHpY,0
alfamart,4.2,17,-6.2542811,106.8012815,"jl. darmawangsa vi no.45, rt, rt.5/rw.1, pulo, kota jakarta selatan",ChIJubtXt3bxaS4RG8SDqsnSF-U,0
alfamart petogogan raya,4.6,96,-6.254885799999999,106.796434,"jl. petogogan ii no.15a-b, jl. petogogan ii, rt.8/rw.6, pulo, south jakarta city",ChIJs-iJX73xaS4RJlH2mmqlobE,0
alfamart,4.3,153,-6.2553617,106.790579,"jl. radio dalam raya i no.kel, rt.3/rw.8, gandaria utara, kota jakarta selatan",ChIJJ1zO0dPxaS4RjfHBVEeJ5eE,0
alfamart,4.5,24,-6.259575099999999,106.8022096,"jl. damai v rt. 01 kel, rt.2/rw.8, cipete utara, kota jakarta selatan",ChIJ-zEskJ3xaS4R_EqzP6LK7NA,0
alfamart,3.3,3,-6.2657246,106.7998702,"jl. abdul majid raya kel no.6a, rt.11/rw.2, cipete utara, kota jakarta selatan",ChIJw8JIYpnxaS4Rk_cRQR3bxvY,0
di depan alfamart,5,1,-6.2665447,106.7971267,"jl. rs. fatmawati raya no.33, rw.2, gandaria sel., kota jakarta selatan",ChIJaX-B5jjxaS4RJ2YNF7-2yC0,0
