nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,4.6,5,-6.2600554,106.796534,"jl. fatmawati raya no.kel, rt.4/rw.6, cilandak bar., kota jakarta selatan",ChIJXTKX4rjxaS4RKHvkQIrJHpY,1912.4252022249036
alfamart,4.3,4,-6.2426448,106.787694,"jl. gandaria 1 no.339, rt.5/rw.2, kramat pela, kota jakarta selatan",ChIJ2-7GYbvxaS4RR9L87NnK-a0,1843.069218174419
alfamart,4.5,287,-6.258382699999999,106.7680629,"jl. rc. veteran raya no.17h, rt.4/rw.4, bintaro, kota jakarta selatan",ChIJ19nrzXjxaS4R0lQ2di-0Tl4,1271.770406595295
alfamart,4.1,13,-6.2562549,106.7620386,"jl. bintaro permai no.03b, rt.5/rw.2, pesanggrahan, kota jakarta selatan",ChIJd_TogY_xaS4Rr4fIDW9btxc,1931.5017152732169
alfamart,3.0,8,-6.2483201,106.7900754,"jl. gandaria i no.04, rt. 010 kel, rt.1/rw.8, kramat pela, kota jakarta selatan",ChIJ9cTCcxLxaS4RIQU5nzRwbcU,1521.903280485067
alfamart,4.0,6,-6.247622199999999,106.7950681,"jl. barito ii no.kel, rt.8/rw.5, kramat pela, kota jakarta selatan",ChIJ6fv_N23xaS4R8O7J0wDiRO4,2017.1429809527529
alfamart,4.6,16,-6.267619600000001,106.7970639,"jl. rs. fatmawati raya kel no.17 rt 002/002, rt.2/rw.2, gandaria sel., kota jakarta selatan",ChIJG1OrTJjxaS4Rh-es9t_IY2w,2268.4783924569288
alfamart raya radio dalam,0.0,0,-6.2623865,106.7887372,"jl. radio dalam raya no.14d, rt.7/rw.10, gandaria utara, kota jakarta selatan",ChIJJ5iWv67xaS4RNxDBDbF5rJs,1180.0467784758414
alfamart,4.8,13,-6.247626299999999,106.7785018,"jl. ciputat raya, rt. 8/8 kel, rt.8/rw.8, kby. lama sel., kota jakarta selatan",ChIJMyzoc8PxaS4Rx4Pb25aRaVI,1056.5507866687678
alfamart mangga raya,4.6,45,-6.2706697,106.7969812,"rt.1/rw.4, gandaria sel., kota jakarta selatan",ChIJjRUYeR_xaS4RGqLMHkq13co,2453.7253909583187
alfamart,4.3,153,-6.2553617,106.790579,"jl. radio dalam raya i no.kel, rt.3/rw.8, gandaria utara, kota jakarta selatan",ChIJJ1zO0dPxaS4RjfHBVEeJ5eE,1240.0645544689892
alfamart,4.1,68,-6.259331,106.789079,"jl. radio dalam raya kel no.86, rt.5/rw.14, gandaria utara, kota jakarta selatan",ChIJ4x6Kt6DxaS4RTzwpsJlYZ8Q,1088.7548367902536
alfamart,4.1,12,-6.266555299999999,106.774843,"jl. ciputat raya kel no.101, rw.4, pd. pinang, kota jakarta selatan",ChIJS00uRKzxaS4RfR-cjilSvTE,1172.6301305504735
alfamart,4.5,264,-6.2506507,106.793953,"jl. petogogan i, rt. 003/011 kel, rt.1/rw.1, petogogan, kota jakarta selatan",ChIJT0UQ-xzxaS4Rbkmahws1Wiw,1750.7165444733926
alfamart,4.6,56,-6.250438,106.7817332,"jl. sultan iskandar muda no.72, rt.10/rw.2, kby. lama sel., kota jakarta selatan",ChIJP3zxrTPxaS4R58_AUM2UGGA,778.606957740676
alfamart,4.8,8,-6.2466634,106.7620832,"jl.ulujami raya no 86 rt 1/4 kel, rw.7, ulujami, kota jakarta selatan",ChIJiZF3MRHxaS4RMkLi-3sXAfI,2245.927972506068
alfamart,5.0,4,-6.2534671,106.7755935,"jl. bintaro raya no.21a, rt.11/rw.10, kby. lama sel., kota jakarta selatan",ChIJcydB66nxaS4RsYN_8dfR-hc,589.0124437260713
alfamart,4.5,194,-6.274661099999999,106.7633277,"jl. rc veteran i rt 004, rt.4/rw.7, bintaro, kota jakarta selatan",ChIJT3CjyLrxaS4R7JM0n40maFA,2648.74917836419
alfamart,4.5,13,-6.246897499999999,106.7898721,"jl. gandaria 1 kel no.41, rt.2/rw.3, kramat pela, kota jakarta selatan",ChIJM-mfsy_xaS4RLeBYt92_-zA,1611.5847717250765
alfamart,4.4,96,-6.2609176,106.7672296,"jl. rc. veteran raya no.8, rt.10/rw.10, bintaro, kota jakarta selatan",ChIJAcbTg1XwaS4RG9XNozvVjE4,1421.2423163115636
alfamart petogogan raya,4.6,96,-6.254885799999999,106.796434,"jl. petogogan ii no.15a-b, jl. petogogan ii, rt.8/rw.6, pulo, south jakarta city",ChIJs-iJX73xaS4RJlH2mmqlobE,1888.2654731619743
alfamart,4.6,75,-6.2521128,106.783147,"jl. praja dalam k kel, rt.12/rw.2, kby. lama sel., kota jakarta selatan",ChIJFy0cH3DxaS4RqAsb1UlHVzU,683.9259058878937
alfamart,4.2,20,-6.275189699999999,106.7734774,"7, jl. ciputat raya no.kel, rw.6, pd. pinang, kota jakarta selatan",ChIJV87Df7PxaS4R7l-FQ1i9YTc,2120.998957383368
alfamart,4.4,26,-6.257043599999999,106.7772368,"jl. raya ciputat no.3 b rt.003 kel, rt.3/rw.10, kby. lama sel., kota jakarta selatan",ChIJGWL41wbxaS4R-IwO3XiRIaU,249.4664196907904
alfamart,0.0,0,-6.2644372,106.7750567,"jl. ciputat raya no.25a, rt.6/rw.1, pd. pinang, kota jakarta selatan",ChIJNZ_TjKvxaS4RSpGgi-UQMHE,954.1197056657884
alfamart,4.3,107,-6.265090300000001,106.7661347,"jl. rc. veteran raya no.3, rt.9/rw.1, bintaro, kota jakarta selatan",ChIJfQbLC1TwaS4R2VS9ArUGtyk,1724.6036580382074
