nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,4.3,4,-6.2426448,106.787694,"jl. gandaria 1 no.339, rt.5/rw.2, kramat pela, kota jakarta selatan",ChIJ2-7GYbvxaS4RR9L87NnK-a0,1687.6828630531872
alfamart,4.3,12,-6.220866099999999,106.7786611,"jl. raya kby. lama kel no.60, rt.7/rw.2, grogol utara, kota jakarta selatan",ChIJTXm4acHxaS4RKHXcYl6lbG4,1860.2845740232797
alfamart,3,8,-6.2483201,106.7900754,"jl. gandaria i no.04, rt. 010 kel, rt.1/rw.8, kramat pela, kota jakarta selatan",ChIJ9cTCcxLxaS4RIQU5nzRwbcU,2225.692395439133
alfamart,4.3,118,-6.228025,106.7785565,"jl. raya kby. lama no.37, rt.5/rw.007 kel, grogol sel., kota jakarta selatan",ChIJl8UlGdXxaS4Rzp4Cn0GDDRY,1121.243381142853
alfamart,4.8,13,-6.247626299999999,106.7785018,"jl. ciputat raya, rt. 8/8 kel, rt.8/rw.8, kby. lama sel., kota jakarta selatan",ChIJMyzoc8PxaS4Rx4Pb25aRaVI,1318.344908630729
alfamart,4.4,17,-6.2284805,106.7855186,"jl. rawa simprug iii, rt.03, r no.kel, rt.3/rw.9, grogol sel., kota jakarta selatan",ChIJIYHBgDDxaS4RvycdmnfZeP4,1611.5377472278876
alfamart,4.4,82,-6.233785,106.7573647,"jl. kostrad pusri kel no.42 rt 04/04, rt.4/rw.4, pela mampang, kota jakarta selatan",ChIJV5SblcTwaS4RFahjIV6xK_g,1825.5184125512271
alfamart,4.6,7,-6.2375671,106.7690621,"jl. ciledug raya kel no.99, rw.5, cipulir, kota jakarta selatan",ChIJW9fq8I3xaS4RxMcrn3PVoYk,507.8926880801246
alfamart,3.8,20,-6.241620699999999,106.7563085,"jl. m. saidi no. 37, rt. 004 / 001 kel, rt.7/rw.5, petukangan sel., kota jakarta selatan",ChIJHWXiNejwaS4ROduEiEdqDvs,1983.9530494962748
alfamart,4.6,56,-6.250438,106.7817332,"jl. sultan iskandar muda no.72, rt.10/rw.2, kby. lama sel., kota jakarta selatan",ChIJP3zxrTPxaS4R58_AUM2UGGA,1761.299375499959
alfamart,4.8,8,-6.2466634,106.7620832,"jl.ulujami raya no 86 rt 1/4 kel, rw.7, ulujami, kota jakarta selatan",ChIJiZF3MRHxaS4RMkLi-3sXAfI,1678.4474680537344
alfamart,5,4,-6.2534671,106.7755935,"jl. bintaro raya no.21a, rt.11/rw.10, kby. lama sel., kota jakarta selatan",ChIJcydB66nxaS4RsYN_8dfR-hc,1864.21023283523
alfamart,0,0,-6.2373959,106.7584582,"jl. ciledug raya kel no.2, rt.13/rw.002, petukangan utara, kota jakarta selatan",ChIJ-agkUa3xaS4RDzBJWhZ9pAQ,1674.3998740176773
alfamart,4.6,22,-6.236351,106.7872294,"jl. ophir kramat 2 pakubuwono, kel, rt.7/rw.1, gunung, kota jakarta selatan",ChIJvR3FTzzxaS4R3I33kymyg0w,1508.0077611417973
alfamart,4.5,13,-6.246897499999999,106.7898721,"jl. gandaria 1 kel no.41, rt.2/rw.3, kramat pela, kota jakarta selatan",ChIJM-mfsy_xaS4RLeBYt92_-zA,2119.6244592884145
alfamart,4.6,75,-6.2521128,106.783147,"jl. praja dalam k kel, rt.12/rw.2, kby. lama sel., kota jakarta selatan",ChIJFy0cH3DxaS4RqAsb1UlHVzU,2001.6070610888355
sumber alfaria trijaya. pt (alfamart),0,0,-6.2351522,106.7576759,"mampang prpt. jl. kostrad pusri no.42, rt.5/rw.4, petukangan utara, kota jakarta selatan",ChIJTfcbXMPwaS4RUTsckpjrLio,1769.3970947346709
