nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,4.3,12,-6.220866099999999,106.7786611,"jl. raya kby. lama kel no.60, rt.7/rw.2, grogol utara, kota jakarta selatan",ChIJTXm4acHxaS4RKHXcYl6lbG4,920.3542464309013
alfamart,4.3,118,-6.228025,106.7785565,"jl. raya kby. lama no.37, rt.5/rw.007 kel, grogol sel., kota jakarta selatan",ChIJl8UlGdXxaS4Rzp4Cn0GDDRY,1536.3782124481984
alfamart,4.4,17,-6.2284805,106.7855186,"jl. rawa simprug iii, rt.03, r no.kel, rt.3/rw.9, grogol sel., kota jakarta selatan",ChIJIYHBgDDxaS4RvycdmnfZeP4,1388.4409573929356
alfamart anggrek cakra,4.3,4,-6.2026125,106.7774417,"jalan anggrek cakra, no. 19 sukabumi utara, jl. panjang no.rt.5, rt.5/rw.7, kebon jeruk, west jakarta city",ChIJH1TFaor3aS4RzLaytbCIxOw,1728.1860770754836
alfamart,3.3,23,-6.2136295,106.7798298,"jl. raya kby. lama kel no.6, rt.3/rw.1, grogol utara, kota jakarta selatan",ChIJd2BjRnf3aS4RNuD_v9JPHBk,668.7567289654991
alfamart,4.1,56,-6.207507300000001,106.7834121,"jl.kebayoran lama no.21 rt 4/3 kel, jl. raya kby. lama no.2a, rt.4/rw.3, grogol utara, kota jakarta selatan",ChIJlWLFJcX2aS4R6fFLh-CWsAs,968.796686744963
alfamart,4,33,-6.2187475,106.7937508,"jl. patal senayan, no. 01, blok f, kav. 197, rt.3/rw.007 kel, grogol utara, kota jakarta selatan",ChIJl4LWWzXxaS4R68Ts7gLQtmg,973.3551901183614
alfamart jalan angrek cendrawasih raya,0,0,-6.199457,106.7977008,"jalan anggrek cendrawasih raya no. k50, rt.1/rw.3, kemanggisan, west jakarta city",ChIJAWxzL-f3aS4Rf3DliLnYd0o,2287.546213340093
alfamart,4.5,71,-6.2256975,106.7750044,"jl assirot rt 12/1 kel, rt.12/rw.1, sukabumi sel., kota jakarta selatan",ChIJiRXWFynxaS4RMfZt6bXsEeI,1575.6213682160922
alfamart panjang cidodol 10,4.6,87,-6.226878399999999,106.7720727,"9, jl. panjang cidodol no.1, rw.9, sukabumi sel., kota jakarta selatan",ChIJye3X2v_xaS4R_nF5CHsgfqM,1905.8935034155402
