nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,4.3,4,-6.2426448,106.787694,"jl. gandaria 1 no.339, rt.5/rw.2, kramat pela, kota jakarta selatan",ChIJ2-7GYbvxaS4RR9L87NnK-a0,1119.4917239694762
alfamart,4.5,287,-6.258382699999999,106.7680629,"jl. rc. veteran raya no.17h, rt.4/rw.4, bintaro, kota jakarta selatan",ChIJ19nrzXjxaS4R0lQ2di-0Tl4,1795.7045587790547
alfamart,4.1,13,-6.2562549,106.7620386,"jl. bintaro permai no.03b, rt.5/rw.2, pesanggrahan, kota jakarta selatan",ChIJd_TogY_xaS4Rr4fIDW9btxc,2125.5765856766934
alfamart,3,8,-6.2483201,106.7900754,"jl. gandaria i no.04, rt. 010 kel, rt.1/rw.8, kramat pela, kota jakarta selatan",ChIJ9cTCcxLxaS4RIQU5nzRwbcU,1366.0282818540452
alfamart,4,6,-6.247622199999999,106.7950681,"jl. barito ii no.kel, rt.8/rw.5, kramat pela, kota jakarta selatan",ChIJ6fv_N23xaS4R8O7J0wDiRO4,1897.6170959117926
alfamart,4.3,118,-6.228025,106.7785565,"jl. raya kby. lama no.37, rt.5/rw.007 kel, grogol sel., kota jakarta selatan",ChIJl8UlGdXxaS4Rzp4Cn0GDDRY,1957.5464058891876
alfamart raya radio dalam,0,0,-6.2623865,106.7887372,"jl. radio dalam raya no.14d, rt.7/rw.10, gandaria utara, kota jakarta selatan",ChIJJ5iWv67xaS4RNxDBDbF5rJs,2208.794088004899
alfamart,4.8,13,-6.247626299999999,106.7785018,"jl. ciputat raya, rt. 8/8 kel, rt.8/rw.8, kby. lama sel., kota jakarta selatan",ChIJMyzoc8PxaS4Rx4Pb25aRaVI,229.2252159684931
alfamart,4.3,153,-6.2553617,106.790579,"jl. radio dalam raya i no.kel, rt.3/rw.8, gandaria utara, kota jakarta selatan",ChIJJ1zO0dPxaS4RjfHBVEeJ5eE,1760.810486500203
alfamart,4.4,17,-6.2284805,106.7855186,"jl. rawa simprug iii, rt.03, r no.kel, rt.3/rw.9, grogol sel., kota jakarta selatan",ChIJIYHBgDDxaS4RvycdmnfZeP4,2078.4722518821236
alfamart,4.6,7,-6.2375671,106.7690621,"jl. ciledug raya kel no.99, rw.5, cipulir, kota jakarta selatan",ChIJW9fq8I3xaS4RxMcrn3PVoYk,1335.032757123619
alfamart,4.1,68,-6.259331,106.789079,"jl. radio dalam raya kel no.86, rt.5/rw.14, gandaria utara, kota jakarta selatan",ChIJ4x6Kt6DxaS4RTzwpsJlYZ8Q,1954.0783580886537
alfamart yado 3,4,4,-6.255731399999999,106.790674,"rt.2/rw.8, gandaria utara, kota jakarta selatan",ChIJqza5lwvxaS4RLUPjdPF0cVI,1794.5628886292911
alfamart,4.5,264,-6.2506507,106.793953,"jl. petogogan i, rt. 003/011 kel, rt.1/rw.1, petogogan, kota jakarta selatan",ChIJT0UQ-xzxaS4Rbkmahws1Wiw,1847.9170908397111
alfamart,4.6,56,-6.250438,106.7817332,"jl. sultan iskandar muda no.72, rt.10/rw.2, kby. lama sel., kota jakarta selatan",ChIJP3zxrTPxaS4R58_AUM2UGGA,674.8294566132018
alfamart,4.8,8,-6.2466634,106.7620832,"jl.ulujami raya no 86 rt 1/4 kel, rw.7, ulujami, kota jakarta selatan",ChIJiZF3MRHxaS4RMkLi-3sXAfI,1765.258290087519
alfamart,5,4,-6.2534671,106.7755935,"jl. bintaro raya no.21a, rt.11/rw.10, kby. lama sel., kota jakarta selatan",ChIJcydB66nxaS4RsYN_8dfR-hc,912.6555566019607
alfamart,4.6,22,-6.236351,106.7872294,"jl. ophir kramat 2 pakubuwono, kel, rt.7/rw.1, gunung, kota jakarta selatan",ChIJvR3FTzzxaS4R3I33kymyg0w,1448.8378570524894
alfamart,4.5,13,-6.246897499999999,106.7898721,"jl. gandaria 1 kel no.41, rt.2/rw.3, kramat pela, kota jakarta selatan",ChIJM-mfsy_xaS4RLeBYt92_-zA,1317.8532283289421
alfamart,4.4,96,-6.2609176,106.7672296,"jl. rc. veteran raya no.8, rt.10/rw.10, bintaro, kota jakarta selatan",ChIJAcbTg1XwaS4RG9XNozvVjE4,2077.291217598058
alfamart,4.6,75,-6.2521128,106.783147,"jl. praja dalam k kel, rt.12/rw.2, kby. lama sel., kota jakarta selatan",ChIJFy0cH3DxaS4RqAsb1UlHVzU,917.765830853619
alfamart,4.4,26,-6.257043599999999,106.7772368,"jl. raya ciputat no.3 b rt.003 kel, rt.3/rw.10, kby. lama sel., kota jakarta selatan",ChIJGWL41wbxaS4R-IwO3XiRIaU,1273.0200028111333
alfamart,4.1,52,-6.2382658,106.7723374,"jl. raya ciledug, rt. 5/4 kel, rt.6/rw.11, cipulir, kota jakarta selatan",ChIJa3p8yiXxaS4RfugjuGiw9us,1031.205756179662
alfamart,4.2,123,-6.2547162,106.7836782,"jl.darma putra raya rt 1/7 kel, rt.1/rw.7, kby. lama sel., kota jakarta selatan",ChIJuayCtgjxaS4RBl05CpaSF3Q,1189.1201681266054
alfamart,4,20,-6.258272300000001,106.7839248,"jl. tanah kusir ii no.65, rt.3/rw.011 kel, kby. lama sel., kota jakarta selatan",ChIJEzQd4evxaS4RbvtHCITy4Jw,1550.7976657112324
alfamart kyai maja,4.5,454,-6.2415428,106.793223,"10, jl. kyai maja no.37, rt.10/rw.7, kramat pela, kota jakarta selatan",ChIJ3XNl2RTxaS4R5Bv0sufWonw,1740.7137502833614
alfamart,4.4,217,-6.2495325,106.7836804,"jl. praja dalam k kel, rt.4/rw.12, kby. lama sel., kota jakarta selatan",ChIJd2c5ZS3xaS4R0Hfe_IqDLp0,762.062885685755
alfamart,4.1,9,-6.2452254,106.7725276,"jl. peninggaran raya no.kel, rt.8/rw.11, kby. lama utara, kota jakarta selatan",ChIJkUx2wx3xaS4RC4O553KPlfM,608.577515598203
alfamart express stasiun kebayoran lama,3.6,5,-6.2374573,106.7825889,"jl. st. no.7a, rt.2/rw.1, south, kota jakarta selatan",ChIJ8-2f5VzxaS4RuUIzcDEbZJ8,1038.898918775343
alfamart,4.1,61,-6.2333072,106.7605881,"jl. swadarma raya kel no.24, rt.18/rw.8, ulujami, kota jakarta selatan",ChIJiThZFNvwaS4RTbh3WkNuQRc,2363.741247184522
mitra ukm alfamart,0,0,-6.2516093,106.7831185,"jl. praja dalam f no.11, rt.11/rw.2, south kebayoran lama, south jakarta city",ChIJGU1_dw_xaS4RKV_Wngx69Ic,872.3789657204069
