nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart fatmawati 4,3.7,24,-6.2799761,106.79663,"jl. rs. fatmawati raya no.4, rt.3/rw.10, cilandak bar., kota jakarta selatan",ChIJY8eo0erxaS4R661fqNiVJsw,1913.4534619172982
alfamart,4.6,5,-6.2600554,106.796534,"jl. fatmawati raya no.kel, rt.4/rw.6, cilandak bar., kota jakarta selatan",ChIJXTKX4rjxaS4RKHvkQIrJHpY,2706.3359948315674
alfamart,0,0,-6.292159799999999,106.7715761,"pq5c+4jm, rt.4/rw.2, lebak bulus, south jakarta city",ChIJe_KhtJXxaS4Ro2d18maz9HI,1846.9398494719303
alfamart,4.6,16,-6.267619600000001,106.7970639,"jl. rs. fatmawati raya kel no.17 rt 002/002, rt.2/rw.2, gandaria sel., kota jakarta selatan",ChIJG1OrTJjxaS4Rh-es9t_IY2w,2233.0597142512593
alfamart,4.2,48,-6.277399399999999,106.7765074,"jl. bukit hijau i no.kel, rt.1/rw.13, pd. pinang, kota jakarta selatan",ChIJhyWzK7TxaS4RGL9d7agofZc,330.3808958817294
alfamart raya radio dalam,0,0,-6.2623865,106.7887372,"jl. radio dalam raya no.14d, rt.7/rw.10, gandaria utara, kota jakarta selatan",ChIJJ5iWv67xaS4RNxDBDbF5rJs,1969.8520772762454
alfamart mangga raya,4.6,45,-6.2706697,106.7969812,"rt.1/rw.4, gandaria sel., kota jakarta selatan",ChIJjRUYeR_xaS4RGqLMHkq13co,2078.0887301171683
alfamart pos fatmawati(1m1f),0,0,-6.2943276,106.7947017,"jl. rs. fatmawati raya no.10, rt.2/rw.4, cilandak bar., kota jakarta selatan",ChIJ07uYzrfxaS4RVVcyUC4vxQI,2512.5872416806133
alfamart,4.1,12,-6.266555299999999,106.774843,"jl. ciputat raya kel no.101, rw.4, pd. pinang, kota jakarta selatan",ChIJS00uRKzxaS4RfR-cjilSvTE,1324.436270966476
alfamart,4.5,194,-6.274661099999999,106.7633277,"jl. rc veteran i rt 004, rt.4/rw.7, bintaro, kota jakarta selatan",ChIJT3CjyLrxaS4R7JM0n40maFA,1815.0888553425177
