nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart pasar manggis,4.8,5,-6.2140038,106.8427878,"jl. payakumbuh no.56, rt.11/rw.9, ps. manggis, kota jakarta selatan",ChIJ41SXHGn1aS4R33isZf_v_DY,0
alfamart menteng atas selatan 3,3.5,8,-6.2177142,106.8386021,"qrjq+wc9, rt.9/rw.4, menteng atas, south jakarta city",ChIJ3YwKPTbzaS4RVeL7N3tKQps,0
alfamart minangkabau,4.5,146,-6.2125368,106.8445336,"jl. minangkabau barat no.2, rw.10, ps. manggis, kota jakarta selatan",ChIJ2wTpYf71aS4RoHjLXsoGgMw,0
alfamart,3.8,6,-6.217207399999999,106.8442193,"jl.dr. saharjo no. 96, kel no.1, rt.1/rw.7, menteng atas, kota jakarta selatan",ChIJpTDO7ojzaS4Rr4Rj2cGIbD4,0
alfamart muria tanjakan,4.6,35,-6.2119276,106.8380365,"jl. muria tanjakan gg. c2 no.6, rt.1/rw.12, ps. manggis, kota jakarta selatan",ChIJ5Si0x671aS4RNBFEQK-tApQ,0
alfamart sawah lunto,4.6,169,-6.214008799999999,106.842788,"11, jl. minangkabau barat no.58d, rt.11/rw.9, ps. manggis, kota jakarta selatan",ChIJaSlK6PT1aS4RrBHGJkrlQ1k,0
alfamart bakrie tower,4.7,6,-6.2193385,106.8344896,"bakrie tower, jl. epicentrum utama raya no.2, rt.2/rw.5, karet kuningan, south jakarta city",ChIJW44xTg70aS4RnoQoC3ewjZY,0
alfamart,4.5,19,-6.253404799999999,106.8401304,"jl. duren tiga selatan no.88, rt.1/rw.001 kel, pancoran, kota jakarta selatan",ChIJAXBtHt7zaS4RqSjmY_L6_Tg,0
alfamart,4.2,161,-6.2499501,106.8363977,"jl. pancoran barat vii kel no.22, rt.9/rw.6, kalibata, kota jakarta selatan",ChIJ6RtK2MjzaS4RUM3_G2pv1Kc,0
alfamart,0,0,-6.247007399999999,106.8432948,"gedung l'avenue shop 1, jl. raya pasar minggu kel no.kav.16, rt.1/rw.4, kalibata, kota jakarta selatan",ChIJP1-5SVPzaS4RG7CXt6z9WAA,0
alfamart tegal parang selatan,0,0,-6.2481087,106.8334975,"jl. tegal parang selatan i no.2, rw.4, tegal parang, kota jakarta selatan",ChIJQzyLgYTzaS4RebsP5hyLO0c,0
