nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,3,1,-6.2303643,106.8218469,"jl. guru mughni kel no.12, rt.1, kuningan, kuningan tim., kota jakarta selatan",ChIJR3_-W0XzaS4Ra2KJ49HgobM,0
alfamart,0,0,-6.2300567,106.8187181,"jl. gatot subroto kel no.kav.52, rt.6/rw.1, kuningan bar., kota jakarta selatan",ChIJDxW97RrzaS4RmZsx_ifU4x8,0
alfamart,4.8,5,-6.226305,106.8191669,"apartemen taman semanggi, jl. akri kel no.136, rt.8/rw.2, karet semanggi, kota jakarta selatan",ChIJZSNypFjzaS4RiqX0yBCekAw,0
alfamart,4.3,21,-6.2349423,106.8570767,"jl. tebet timur dalam raya kel no.9, rt.5/rw.6, tebet tim., kota jakarta selatan",ChIJHxShupTzaS4Rfd_GHD6Fkqw,0
alfamart,3,2,-6.233449999999999,106.85983,"jl. asem baris raya kel no.8 rt 2/6, rt.2/rw.6, kb. baru, kota jakarta selatan",ChIJufbg8FXzaS4RNHykvXTY9ec,0
alfamart tebet utara dalam,0,0,-6.227136199999999,106.8550131,"10, jl. tebet utara dalam no.14, rw.1, tebet tim., kota jakarta selatan",ChIJ2y6N7cbzaS4Rq34j25qX_tE,0
alfamart asem baris 9,3.3,3,-6.231533199999999,106.8595579,"jl. asem baris raya no.2, rt.4/rw.4, kb. baru, kota jakarta selatan",ChIJu7E9QdjzaS4RRrwgvXYkovU,0
alfamart lapangan ros hrn,3.7,9,-6.225838,106.8587398,"jl. kh abdullah syafei no.45, rt.1/rw.3, kb. baru, kota jakarta selatan",ChIJw46yqITzaS4ROj6VVe4JA9g,0
alfamart,4.4,115,-6.2296444,106.8533086,"jl. tebet raya no.10a, rt.9/rw.4 kel, tebet tim., kota jakarta selatan",ChIJrwK7gpDzaS4RiLpXd52lzmk,0
alfamart,4.3,94,-6.238003099999999,106.8602481,"jl. asem baris raya no.146, rt.11/rw.012 kel, kb. baru, kota jakarta selatan",ChIJ515758zzaS4RzrzdPn8horE,0
alfamart,5,4,-6.225860000000001,106.8587594,"rt.1/rw.5, kb. baru, kota jakarta selatan",ChIJqeWQWf7zaS4RJW-5-q6ZFk8,0
