nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,4.4,43,-6.233994099999999,106.8496706,"jl. tebet barat, no. iv, no. 7, rt. 016 / 04, kel, rt.16/rw.2, tebet bar., kota jakarta selatan",ChIJ9Vwe-pbzaS4RRlQmSFdW96A,1956.7252035822025
alfamart,5,3,-6.2392783,106.832538,"jl. gatot subroto no.kav 56, rt.1/rw.4, kuningan tim., kota jakarta selatan",ChIJXb2FxfXzaS4RMmmtYeQEE18,1331.5786680375418
alfamart,0,0,-6.252799599999999,106.8268128,"jl. mampang prpt. 16 kel no.5, rt.1/rw.6, tegal parang, kota jakarta selatan",ChIJl_om9KjzaS4RGU8Vxu07GBo,1522.980374868146
alfamart,4.3,21,-6.2349423,106.8570767,"jl. tebet timur dalam raya kel no.9, rt.5/rw.6, tebet tim., kota jakarta selatan",ChIJHxShupTzaS4Rfd_GHD6Fkqw,2433.5203196447874
alfamart,4,5,-6.258382999999999,106.8253662,"jl. duren bangka no.31, d no.kel, rt.6/rw.4, bangka, kota jakarta selatan",ChIJSxYbySzyaS4R2syLNG02aQQ,1939.0919426181513
alfamart,4.5,19,-6.253404799999999,106.8401304,"jl. duren tiga selatan no.88, rt.1/rw.001 kel, pancoran, kota jakarta selatan",ChIJAXBtHt7zaS4RqSjmY_L6_Tg,522.4914647326906
alfamart,4.2,66,-6.2457614,106.8258046,"jl. mampang prpt. raya kel no.58 a, rt.9/rw.3, tegal parang, kota jakarta selatan",ChIJWVXFdyLzaS4R8xNLa-VEm_w,1598.870415544202
alfamart,4.2,77,-6.261753499999999,106.8336621,"jl. kalibata tengah kel no.60, rt.10/rw.7, kalibata, kota jakarta selatan",ChIJAd72qmHzaS4RFQV01cn-_Vg,1609.0004521424491
alfamart,5,1,-6.2435925,106.8322469,"jl. tegal parang utara no.23a, rt.15/rw.007, kel, kota jakarta selatan",ChIJ7yB92wvzaS4RB20MfN2CxwI,1025.1697519962368
alfamart,4.1,48,-6.2658257,106.8352335,"jl.warung jati no.2, kel no.9, rt.4/rw.9, kalibata, kota jakarta selatan",ChIJa4P60zDyaS4R4wTgs1-cS5k,1973.769831554497
alfamart,4.7,7,-6.2662632,106.8239456,"jl. kemang timur no.50, rt.9/rw.003 kel, bangka, kota jakarta selatan",ChIJVSxA1S7yaS4RZ9xhBDqwsbI,2635.2070859556507
alfamart tegal parang 2,4.2,343,-6.2472825,106.8318862,"jl. tegal parang sel. no.3, rt.4/rw.2, tegal parang, kota jakarta selatan",ChIJyxel_CHzaS4RK3olku7tsH8,906.6694007041057
alfamart,3.5,2,-6.2579807,106.8499505,"apartement kalibata city tower nusa indah 08-11 kel, rt.9/rw.4, rawajati, kota jakarta selatan",ChIJgztQ37LzaS4RqexTxSjOLo8,1510.5627545285417
alfamart,4.1,22,-6.2624146,106.8482494,"jl. empang tiga no.99 rt.14, rw no.kel, rt.14/rw.1, pejaten tim., kota jakarta selatan",ChIJldgfBQDzaS4RQD2w0HmvqT0,1778.1023304412101
alfamart,4.3,271,-6.246529199999999,106.8553284,"5 jalan pengadegan utara kel no. 6 2, cikoko, kota jakarta selatan",ChIJSzw7gK_zaS4R5IGShG4jJTk,1715.6928361442842
alfamart mampang prapatan xiv,3,1,-6.2512721,106.8313689,"prxj+fgx, rt.9/rw.4, tegal parang, south jakarta city",ChIJaXYbbDDzaS4RLIPv_3bV5Yg,991.7036056185602
alfamart,4.3,120,-6.2516637,106.8500804,"jl. pengadegan selatan no.no, rt.3/rw.5, pengadegan, kota jakarta selatan",ChIJy5ulebHzaS4RlZiilhvlQuQ,1165.6583984390936
alfamart,4,2,-6.253431399999999,106.8216615,"jl. bangka xi c kel no.26, rt.11/rw.10, pela mampang, kota jakarta selatan",ChIJ87K7nWvzaS4Rle3PP96wwFg,2089.9069345788207
alfamart,4.3,185,-6.2614857,106.8419188,"jl. kalibata tengah kel no.rt. 001 / 07, rt.2/rw.7, kalibata, kota jakarta selatan",ChIJxx6tdpbzaS4RZ-Qlex8c2vI,1437.0821736577764
alfamart mampang prapatan 2,4.2,180,-6.2433977,106.8291506,"jl. mampang prapatan ii no.19, rt.10/rw.2, mampang prpt., kota jakarta selatan",ChIJv7kzTtvzaS4RPboho4y1LBs,1333.0339228344008
alfamart,4.2,247,-6.232115299999999,106.8526155,"jl. tebet timur raya kel no.10a, rw.5, tebet tim., kota jakarta selatan",ChIJvxCSrJDzaS4RKB-Id--kE3M,2315.313558971251
alfamart,4.2,161,-6.2499501,106.8363977,"jl. pancoran barat vii kel no.22, rt.9/rw.6, kalibata, kota jakarta selatan",ChIJ6RtK2MjzaS4RUM3_G2pv1Kc,417.4836559938122
alfamart - tower ebony,5,1,-6.257284599999999,106.8526894,"pvv3+33p, rt.9/rw.4, rawajati, south jakarta city",ChIJJwlUwbrzaS4RF4cES_63IzE,1699.5035657843628
alfamart,3.9,108,-6.265602599999999,106.8508493,"jl. rawajati timur no.kel, rt.7/rw.6, rawajati, kota jakarta selatan",ChIJK3B8r0_yaS4RKn-EKaMgJpM,2230.8844876860185
alfamart tegal parang selatan,0,0,-6.2481087,106.8334975,"jl. tegal parang selatan i no.2, rw.4, tegal parang, kota jakarta selatan",ChIJQzyLgYTzaS4RebsP5hyLO0c,717.6933295320223
alfamart rasamala,5,2,-6.234524,106.839845,"jl. rasamala raya no.29, rt.1/rw.9, menteng dalam, kota jakarta selatan",ChIJEYL_Dc7zaS4RB34juQUJWKA,1577.3443846072041
alfamart,0,0,-6.247007399999999,106.8432948,"gedung l'avenue shop 1, jl. raya pasar minggu kel no.kav.16, rt.1/rw.4, kalibata, kota jakarta selatan",ChIJP1-5SVPzaS4RG7CXt6z9WAA,414.10465153167473
alfamart,0,0,-6.2550819,106.8562552,"woodland park residence tower trembesi, jl. raya kalibata kel no.22, rt.6/rw.7, rawajati, kota jakarta selatan",ChIJGWu7SVDzaS4RQFrnntyC1lo,1935.3234712826072
alfamart,4,122,-6.2494,106.84871,"jl. perdatam raya no.35, rt.7/rw.8, pengadegan, kota jakarta selatan",ChIJyX7I3bDzaS4Rb6or_7hHT18,969.9704743031159
alfamart,3.8,39,-6.243284,106.8259296,"jl. mampang prpt. raya kel no.18, rt. 06/03, rt.6/rw.3, mampang prpt., kota jakarta selatan",ChIJ5743TtvzaS4RaNTeZ8xL7Gw,1664.2725221459254
alfamart,3,1,-6.2303643,106.8218469,"jl. guru mughni kel no.12, rt.1, kuningan, kuningan tim., kota jakarta selatan",ChIJR3_-W0XzaS4Ra2KJ49HgobM,2858.4178147092607
alfamart,3.8,13,-6.2510088,106.8216417,"jl. pondok jaya vi no.31 rt.00 kel, rt.6/rw.6, pela mampang, kota jakarta selatan",ChIJmdxMydLzaS4R3PTMkWwbsm8,2041.1372099966868
alfamart mampang prapatan 2 (kb48),4,4,-6.2527525,106.8268743,"jl. warung buncit raya no.5, rt.4/rw.6, tegal parang, kota jakarta selatan",ChIJgePHgdHzaS4RcdWxMOdPfeA,1514.9315649900366
alfamart,4.3,119,-6.2661947,106.8408908,"jl. h. samali kel no.3, rt.1/rw.4, pejaten bar., kota jakarta selatan",ChIJkah0xDfyaS4RVVK-oIB1NjA,1947.0416413808384
alfamart buncit 12,4.5,13,-6.2527202,106.826871,"jl. mampang prapatan xiii no.12, rt.1/rw.6, tegal parang, kota jakarta selatan",ChIJpQkMoNHzaS4R2HbnZOycUjU,1514.218087784864
alfamart apartemen signature,3,2,-6.242746899999999,106.8545314,"jl. letjen m.t. haryono no.10, rw.9, tebet tim., kota jakarta selatan",ChIJaY52jS7zaS4Rhs70E5KpMKc,1741.5146625405914
alfamart express,0,0,-6.2425745,106.8586384,"jl. tebet timur raya no.55, rw.14, tebet tim., kota jakarta selatan",ChIJA4mAfRjzaS4RW9IHZeqsAaw,2174.1393071907423
alfamart,4.1,175,-6.249124,106.8586472,"jl. pengadegan timur raya no.17, rt.3/rw.2, pengadegan, kota jakarta selatan",ChIJSRHaLq_zaS4RM3bNCU2HZd8,2065.8399785364513
alfamart,4.4,115,-6.2296444,106.8533086,"jl. tebet raya no.10a, rt.9/rw.4 kel, tebet tim., kota jakarta selatan",ChIJrwK7gpDzaS4RiLpXd52lzmk,2582.6838648610424
alfamart,4.2,30,-6.2679459,106.8470626,"jl. batu i kel no.3, rt.4/rw.1, pejaten tim., kota jakarta selatan",ChIJ7etgAUbyaS4Rltk4NYMESVU,2278.4882170871365
