nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,4.4,172,-6.310429000000001,106.8373362,"jl. raya lenteng agung no.9 rt, rt.4/rw.1, lenteng agung, kota jakarta selatan",ChIJI4ismJftaS4RG7BjJdb_aTE,2067.8869138116056
alfamart lenteng agung 5,3,4,-6.3163063,106.8361512,"jl. raya lenteng agung no.22, rt.5/rw.1, lenteng agung, kota jakarta selatan",ChIJDQ0fsc7taS4R3NlvyB-kvR0,2345.7167144240557
alfamart,4.2,58,-6.289572,106.8126228,"jl. jeruk purut kel no.9 1/3, rt.1/rw.3, cilandak tim., kota jakarta selatan",ChIJf1MDyO3xaS4ReY13GALEP7U,1627.453504384827
alfamart,5,1,-6.3077549,106.8388917,"stasiun tanjung barat kel, rt.4/rw.1, srengseng sawah, kota jakarta selatan",ChIJAdADu4rtaS4RvCWKME2nOFc,2109.3215682370014
alfamart,4.3,4,-6.3001102,106.8147245,"jl. raya cilandak kko kel no.9, rt.1/rw.8, ragunan, kota jakarta selatan",ChIJozpfomPvaS4RLUTcDjCMduQ,694.52607667653
alfamart,2.8,15,-6.3022797,106.8264828,"jl. kebagusan raya kel, rt.8/rw.7, kebagusan, kota jakarta selatan",ChIJ6zo-yIjtaS4R1-aDHKJFY0E,632.1914423928304
alfamart,0,0,-6.3071224,106.8350381,"apart kebagusan city unit 1-ka kel, rt.1/rw.3, kebagusan, kota jakarta selatan",ChIJgfNO4B7taS4R-UWce8QYzk8,1684.4199731028625
alfamart cilandak kko 2,3.7,6,-6.302779399999999,106.8144748,"jl. raya cilandak kko no.1 c, rt.1/rw.8, ragunan, kota jakarta selatan",ChIJ8VidGwHuaS4RJsdTuMOoQrA,706.9902434048544
alfamart,4.4,68,-6.316942099999999,106.8251017,"jl. kebagusan raya kel, rt.2/rw.4, kebagusan, kota jakarta selatan",ChIJ5ecsNQftaS4R2Gym8QnVXUk,1755.0750311286215
alfamart,4.3,59,-6.313207200000001,106.8032178,"jl. margasatwa raya no 14a-c, kel, rt.1/rw.3, pd. labu, kota jakarta selatan",ChIJCz-ABPPvaS4RvH3YwYy3D3U,2322.3272550569172
alfamart,3.7,15,-6.312712599999999,106.8257501,"jl. raya jatipadang kel no.16, rt.7/rw.5, kebagusan, kota jakarta selatan",ChIJ-86bRuTtaS4Roa7AGvYD-sg,1336.4932553298527
alfamart,4.1,115,-6.312118,106.838574,"jl.tanjung barat sltn rt 1/2, kel, rt.1/rw.2, tj. bar., kota jakarta selatan",ChIJO7r69eztaS4R6-qTHsW9FZo,2278.809354745908
alfamart - kebagusan city,4.2,17,-6.307295,106.8351857,"apartemen kebagusan city tower a, rt.1/rw.3, kebagusan, pasar minggu, rt.1/rw.3, kebagusan, kota jakarta selatan",ChIJr2pCifHtaS4RLO2T4wxkmtk,1706.5206976414215
alfamart,0,0,-6.2929597,106.803038,"sovereign plaza, gedung, jl. tb simatupang kel no.kav.36, rt.2/rw.2, west cilandak, south jakarta city",ChIJqZkyc27xaS4R5CzWGNuI-sc,2191.8657643113174
alfamart,4.3,125,-6.2927034,106.8100407,"jl. tb simatupang kel no.31, rt.2/rw.1, cilandak tim., kota jakarta selatan",ChIJny3gdfzxaS4RUrQCDUZDSHE,1556.6570952361512
alfamart,4.2,17,-6.2959898,106.8365489,"jl. gurame i, rt.2/rw.9, kel, kota jakarta selatan",ChIJkRXFMgryaS4ROng0xXn-8EU,1856.1065248818634
alfamart,4.2,157,-6.2891661,106.8244073,"jl. taman margasatwa raya kel no.10, rt.6/rw.1, ragunan, kota jakarta selatan",ChIJVZzZrgTyaS4RYhrqRJPSDok,1455.5528445141888
alfamart,4.5,97,-6.3179633,106.8191259,"jl. pepaya raya no.58, rt.12/rw.5, kel, kota jakarta selatan",ChIJW9l0OeDtaS4Rpqp-vEQlRxM,1811.946991301362
alfamart cilandak kko 3,4.4,63,-6.309416199999999,106.8138852,"jl. cilandak kko no.1 a rt.014/08, cilandak ragunan rt.1, rt.14/rw.7, ragunan, south jakarta city",ChIJa8XPd0DvaS4RSIXi_ygrEaA,1143.7807763015667
alfamart,3.9,8,-6.2856815,106.8292432,"jl. jati murni kel, rt.2/rw.7, jati padang, kota jakarta selatan",ChIJX8wPvV_zaS4Ruq74v4FNBtI,2016.5913132256092
alfamart tanjung barat,4,76,-6.3044692,106.8398007,"alfamart, jalan tanjung barat raya no.172, rt.2/rw.1, tanjung barat, jagakarsa, rt.10/rw.4, tj. bar., kota jakarta selatan",ChIJY1uOaPPtaS4RITGKVmQwRXc,2123.003847694862
alfamart kaplongan,0,0,-6.2895993,106.8399531,"blok pasar minggu rt 06/02, kaplongan",ChIJWXRO9N7zaS4REwUM9xF11QI,2512.593653775893
alfamart,4.2,400,-6.2984046,106.8407504,"jl. tj. bar. lama no.kel, rt.4/rw.4, tj. bar., kota jakarta selatan",ChIJW2lkqAryaS4Rl3e1w3Am11w,2237.54660725024
alfamart,4.3,12,-6.2955397,106.841134,"jl. raya tj. barat kel no.24, rt.4/rw.4, tj. bar., kota jakarta selatan",ChIJq1i2LQvyaS4RHh12kmtjRqQ,2352.478702626014
alfamart,4.7,86,-6.3212652,106.8254171,"jl ry jati padang 6 rt 4/4 kel, rt.11/rw.5, kebagusan, kota jakarta selatan",ChIJ60AxeGztaS4Ru2TlJfZ6_co,2229.28565750088
