nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,4.1,21,-6.274270899999999,106.7549809,"jl. bintaro permai raya no.14 rt 4/3, rt.11/rw.11, bintaro, kota jakarta selatan",ChIJxRzCGnjxaS4RHQMj-rsrhgg,1035.580224950031
alfamart,4.5,287,-6.258382699999999,106.7680629,"jl. rc. veteran raya no.17h, rt.4/rw.4, bintaro, kota jakarta selatan",ChIJ19nrzXjxaS4R0lQ2di-0Tl4,1263.0463708391694
alfamart,4.1,13,-6.2562549,106.7620386,"jl. bintaro permai no.03b, rt.5/rw.2, pesanggrahan, kota jakarta selatan",ChIJd_TogY_xaS4Rr4fIDW9btxc,1293.2044784027935
alfamart,4.2,48,-6.277399399999999,106.7765074,"jl. bukit hijau i no.kel, rt.1/rw.13, pd. pinang, kota jakarta selatan",ChIJhyWzK7TxaS4RGL9d7agofZc,1939.8468359948727
alfamart,4.1,12,-6.266555299999999,106.774843,"jl. ciputat raya kel no.101, rw.4, pd. pinang, kota jakarta selatan",ChIJS00uRKzxaS4RfR-cjilSvTE,1449.359566058546
alfamart,0,0,-6.269869099999999,106.7545909,"jl. mura raya no.7, rt.14/rw.8, bintaro, south jakarta city",ChIJy7Tf1pvxaS4RaY5OqcLjQBI,826.7056067338779
alfamart,5,4,-6.2534671,106.7755935,"jl. bintaro raya no.21a, rt.11/rw.10, kby. lama sel., kota jakarta selatan",ChIJcydB66nxaS4RsYN_8dfR-hc,2212.322092419318
alfamart,4.5,194,-6.274661099999999,106.7633277,"jl. rc veteran i rt 004, rt.4/rw.7, bintaro, kota jakarta selatan",ChIJT3CjyLrxaS4R7JM0n40maFA,772.4679026321058
alfamart,4.4,96,-6.2609176,106.7672296,"jl. rc. veteran raya no.8, rt.10/rw.10, bintaro, kota jakarta selatan",ChIJAcbTg1XwaS4RG9XNozvVjE4,979.8838900300401
alfamart,4.2,20,-6.275189699999999,106.7734774,"7, jl. ciputat raya no.kel, rw.6, pd. pinang, kota jakarta selatan",ChIJV87Df7PxaS4R7l-FQ1i9YTc,1525.3050973632894
alfamart kesehatan raya dekat sari indah,0,0,-6.2706111,106.7594005,"circle k kesehatan, jl. kesehatan raya jl. rw. papan, rt.3/rw.6, bintaro, south jakarta city",ChIJi1XDcvTxaS4RTcqRw8n3ytE,402.86724277520864
alfamart,4.4,26,-6.257043599999999,106.7772368,"jl. raya ciputat no.3 b rt.003 kel, rt.3/rw.10, kby. lama sel., kota jakarta selatan",ChIJGWL41wbxaS4R-IwO3XiRIaU,2089.1358785710886
alfamart,0,0,-6.2644372,106.7750567,"jl. ciputat raya no.25a, rt.6/rw.1, pd. pinang, kota jakarta selatan",ChIJNZ_TjKvxaS4RSpGgi-UQMHE,1514.6977862757717
alfamart,4.3,107,-6.265090300000001,106.7661347,"jl. rc. veteran raya no.3, rt.9/rw.1, bintaro, kota jakarta selatan",ChIJfQbLC1TwaS4R2VS9ArUGtyk,571.0692553251358
alfamart,5,1,-6.2829676,106.7717234,"jl. ciputat raya, jl. pupan kel no.1, rw.8, pd. pinang, kota jakarta selatan",ChIJUSEHg7TxaS4RsI5kfN_QGzs,2004.2551498578177
alfamart ciputat raya 5,4.6,262,-6.2644227,106.7750253,"jl. ciputat raya no.23, rw.1, pd. pinang, kota jakarta selatan",ChIJwYPXjKvxaS4RnddDvAVPi-E,1511.749741924254
alfamart,4.4,228,-6.2498001,106.7567651,"jl. merpati raya no.1, rt.3/rw.6, pesanggrahan, kota jakarta selatan",ChIJfTNH2u_waS4RfAA7VP4nhgA,2086.2229758569483
alfamart,3.9,10,-6.2633835,106.7634433,"jl. depsos raya no.20, rt.7/rw.9, bintaro, kota jakarta selatan",ChIJ6_849HLxaS4RGmSP-2LIumQ,532.2803976096203
alfamart ciputat raya 2,4.3,88,-6.275048399999999,106.7735843,"pqff+xcp, rt.7/rw.6, pondok pinang, south jakarta city",ChIJ0-P2f7PxaS4Rcf73HyrOepA,1527.0608995821203
pt. sumber alfaria trijaya (alfamart),0,0,-6.2756386,106.762513,"jl. rc. veteran raya no.16, rt.3/rw.1, bintaro, kota jakarta selatan",ChIJ6w2CLUnwaS4RyI1aYbJcdTg,866.0494055357678
alfamart,4.6,56,-6.250438,106.7817332,"jl. sultan iskandar muda no.72, rt.10/rw.2, kby. lama sel., kota jakarta selatan",ChIJP3zxrTPxaS4R58_AUM2UGGA,2935.5988243333745
alfamart ciputat,5,2,-6.2799786,106.7724433,"jl. ciputat raya no.21, rt.1/rw.7, pd. pinang, kota jakarta selatan",ChIJVXFUeUHxaS4RWn11bqNkU6A,1787.0134742810476
alfamart pondok indah 1,4.3,7,-6.2874722,106.7768054,"jl. bukit hijau i no.12, rt.012/rw.13, pd. pinang, kota jakarta selatan",ChIJQUQy07XxaS4RjrvEhegdQm8,2737.9146369689415
alfamart kesehatan bintaro,4.5,359,-6.270978599999999,106.7638361,"jl. kesehatan raya, rt.1/rw.11, bintaro, kota jakarta selatan",ChIJJ1GSGk7waS4RaM29vu-XutM,411.3998449512843
alfamart,3.8,22,-6.2844107,106.7809859,"pondok pinang, south jakarta city",ChIJERDDt8jxaS4RaCqImp2dRvo,2806.3084647901687
