nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,4.5,287,-6.258382699999999,106.7680629,"jl. rc. veteran raya no.17h, rt.4/rw.4, bintaro, kota jakarta selatan",ChIJ19nrzXjxaS4R0lQ2di-0Tl4,949.4077476822574
alfamart ciledug pesanggrahan,4.7,3,-6.2363047,106.7479354,"jl. ciledug raya no.3f, rt.10/rw.2, petukangan utara, kota jakarta selatan",ChIJf5s9qDHxaS4RWnBj2p2aQVc,2368.045363559482
alfamart,4.1,13,-6.2562549,106.7620386,"jl. bintaro permai no.03b, rt.5/rw.2, pesanggrahan, kota jakarta selatan",ChIJd_TogY_xaS4Rr4fIDW9btxc,413.79780088446154
alfamart,4.2,121,-6.2350886,106.7512863,"jl. masjid darul falah kel no.4a, rt.3/rw.2, petukangan utara, kota jakarta selatan",ChIJu7akxyTxaS4RsElEKAH5zmI,2261.9123188484054
alfamart,4.8,13,-6.247626299999999,106.7785018,"jl. ciputat raya, rt. 8/8 kel, rt.8/rw.8, kby. lama sel., kota jakarta selatan",ChIJMyzoc8PxaS4Rx4Pb25aRaVI,1925.4832904895832
alfamart,4.6,7,-6.2375671,106.7690621,"jl. ciledug raya kel no.99, rw.5, cipulir, kota jakarta selatan",ChIJW9fq8I3xaS4RxMcrn3PVoYk,1848.5180181651633
alfamart,4.1,12,-6.266555299999999,106.774843,"jl. ciputat raya kel no.101, rw.4, pd. pinang, kota jakarta selatan",ChIJS00uRKzxaS4RfR-cjilSvTE,2123.0215796562156
alfamart,3.8,20,-6.241620699999999,106.7563085,"jl. m. saidi no. 37, rt. 004 / 001 kel, rt.7/rw.5, petukangan sel., kota jakarta selatan",ChIJHWXiNejwaS4ROduEiEdqDvs,1357.488589925529
alfamart,0,0,-6.269869099999999,106.7545909,"jl. mura raya no.7, rt.14/rw.8, bintaro, south jakarta city",ChIJy7Tf1pvxaS4RaY5OqcLjQBI,2084.978281285641
alfamart,4.8,8,-6.2466634,106.7620832,"jl.ulujami raya no 86 rt 1/4 kel, rw.7, ulujami, kota jakarta selatan",ChIJiZF3MRHxaS4RMkLi-3sXAfI,654.3401329123265
alfamart,5,4,-6.2534671,106.7755935,"jl. bintaro raya no.21a, rt.11/rw.10, kby. lama sel., kota jakarta selatan",ChIJcydB66nxaS4RsYN_8dfR-hc,1528.2930419703741
alfamart,0,0,-6.2373959,106.7584582,"jl. ciledug raya kel no.2, rt.13/rw.002, petukangan utara, kota jakarta selatan",ChIJ-agkUa3xaS4RDzBJWhZ9pAQ,1724.0797300292436
alfamart,4.4,96,-6.2609176,106.7672296,"jl. rc. veteran raya no.8, rt.10/rw.10, bintaro, kota jakarta selatan",ChIJAcbTg1XwaS4RG9XNozvVjE4,1108.1171408224434
alfamart,5,1,-6.2427534,106.7520614,"jl. kemajuan kel no.48, rt.6/rw.6, petukangan sel., kota jakarta selatan",ChIJO5o704LxaS4RopukQoSoSlU,1530.6493011207422
alfamart kesehatan raya dekat sari indah,0,0,-6.2706111,106.7594005,"circle k kesehatan, jl. kesehatan raya jl. rw. papan, rt.3/rw.6, bintaro, south jakarta city",ChIJi1XDcvTxaS4RTcqRw8n3ytE,2026.6895294574135
alfamart,4.4,189,-6.2364448,106.7524101,"jl. ciledug raya no. 10a, rt. 002/003 kel, rt.2/rw.3, petukangan utara, kota jakarta selatan",ChIJyQtTMjnxaS4RAmG4Z9miTuU,2068.920252145153
alfamart,0,0,-6.2644372,106.7750567,"jl. ciputat raya no.25a, rt.6/rw.1, pd. pinang, kota jakarta selatan",ChIJNZ_TjKvxaS4RSpGgi-UQMHE,1974.169365493237
sumber alfaria trijaya. pt (alfamart),0,0,-6.2351522,106.7576759,"mampang prpt. jl. kostrad pusri no.42, rt.5/rw.4, petukangan utara, kota jakarta selatan",ChIJTfcbXMPwaS4RUTsckpjrLio,1986.540789899253
alfamart,4.3,107,-6.265090300000001,106.7661347,"jl. rc. veteran raya no.3, rt.9/rw.1, bintaro, kota jakarta selatan",ChIJfQbLC1TwaS4R2VS9ArUGtyk,1475.4205431142448
alfamart,4.1,52,-6.2382658,106.7723374,"jl. raya ciledug, rt. 5/4 kel, rt.6/rw.11, cipulir, kota jakarta selatan",ChIJa3p8yiXxaS4RfugjuGiw9us,1968.9477292163717
alfamart ciputat raya 5,4.6,262,-6.2644227,106.7750253,"jl. ciputat raya no.23, rw.1, pd. pinang, kota jakarta selatan",ChIJwYPXjKvxaS4RnddDvAVPi-E,1970.5129825828858
alfamart,4.1,9,-6.2452254,106.7725276,"jl. peninggaran raya no.kel, rt.8/rw.11, kby. lama utara, kota jakarta selatan",ChIJkUx2wx3xaS4RC4O553KPlfM,1438.1302824703835
alfamart,4.4,125,-6.2458404,106.7519896,"jl. damai raya kel no.2, rt.9/rw.5, petukangan sel., kota jakarta selatan",ChIJCZ41mAzxaS4RmvfdRLwHuNU,1315.5522845197477
alfamart,4.4,228,-6.2498001,106.7567651,"jl. merpati raya no.1, rt.3/rw.6, pesanggrahan, kota jakarta selatan",ChIJfTNH2u_waS4RfAA7VP4nhgA,634.3712586652164
alfamart,4.3,45,-6.2430094,106.748566,"jl. inpres no.54, kel no.02, rt.14/rw.2, petukangan sel., kota jakarta selatan",ChIJ3ea0GOvwaS4RUn2P0PG59CU,1806.2881835167243
alfamart,3.9,10,-6.2633835,106.7634433,"jl. depsos raya no.20, rt.7/rw.9, bintaro, kota jakarta selatan",ChIJ6_849HLxaS4RGmSP-2LIumQ,1219.2428538616373
alfamart ulujami perdatam 2,4.4,278,-6.241565200000001,106.763046,"jl. ulujami raya no.37, rt.11/rw.5, ulujami, kota jakarta selatan",ChIJxVlcmuXxaS4RuKkkG0FzqEg,1228.2434177405632
alfamart,4.4,82,-6.233785,106.7573647,"jl. kostrad pusri kel no.42 rt 04/04, rt.4/rw.4, pela mampang, kota jakarta selatan",ChIJV5SblcTwaS4RFahjIV6xK_g,2142.4041795529865
alfamart,4.6,56,-6.250438,106.7817332,"jl. sultan iskandar muda no.72, rt.10/rw.2, kby. lama sel., kota jakarta selatan",ChIJP3zxrTPxaS4R58_AUM2UGGA,2215.8462933359124
alfamart,4.1,61,-6.2333072,106.7605881,"jl. swadarma raya kel no.24, rt.18/rw.8, ulujami, kota jakarta selatan",ChIJiThZFNvwaS4RTbh3WkNuQRc,2142.9062240915214
alfamart budi luhur,4.7,3,-6.2363032,106.7479061,"jl. ciledug raya no.22, rt.10/rw.2, petukangan utara, kota jakarta selatan",ChIJZ3iYT7PxaS4RlMn9hgZzoXA,2370.269444443557
