nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,4.5,287,-6.258382699999999,106.7680629,"jl. rc. veteran raya no.17h, rt.4/rw.4, bintaro, kota jakarta selatan",ChIJ19nrzXjxaS4R0lQ2di-0Tl4,2218.851459172153
alfamart ciledug pesanggrahan,4.7,3,-6.2363047,106.7479354,"jl. ciledug raya no.3f, rt.10/rw.2, petukangan utara, kota jakarta selatan",ChIJf5s9qDHxaS4RWnBj2p2aQVc,1118.4384901050955
alfamart,4.1,13,-6.2562549,106.7620386,"jl. bintaro permai no.03b, rt.5/rw.2, pesanggrahan, kota jakarta selatan",ChIJd_TogY_xaS4Rr4fIDW9btxc,1672.4190753255973
alfamart,4.2,121,-6.2350886,106.7512863,"jl. masjid darul falah kel no.4a, rt.3/rw.2, petukangan utara, kota jakarta selatan",ChIJu7akxyTxaS4RsElEKAH5zmI,969.9055456914691
alfamart,4.4,82,-6.233785,106.7573647,"jl. kostrad pusri kel no.42 rt 04/04, rt.4/rw.4, pela mampang, kota jakarta selatan",ChIJV5SblcTwaS4RFahjIV6xK_g,983.3449234533459
alfamart,4.2,220,-6.230081999999999,106.7457079,"jl. h. muchtar raya rt 05/1 kel, rt.5/rw.1, petukangan utara, kota jakarta selatan",ChIJ04xV4tLxaS4RJ5m-u5L84Po,1782.8065898414438
alfamart,4.6,7,-6.2375671,106.7690621,"jl. ciledug raya kel no.99, rw.5, cipulir, kota jakarta selatan",ChIJW9fq8I3xaS4RxMcrn3PVoYk,1555.1189610068036
alfamart,0,0,-6.2260319,106.7445316,"jl. h. muchtar raya kel, rt.8/rw.11, petukangan utara, kota jakarta selatan",ChIJU2gAqwDxaS4Ri6ZzCqxukos,2221.622878787903
alfamart,3.8,20,-6.241620699999999,106.7563085,"jl. m. saidi no. 37, rt. 004 / 001 kel, rt.7/rw.5, petukangan sel., kota jakarta selatan",ChIJHWXiNejwaS4ROduEiEdqDvs,108.46640426164129
alfamart,4.8,8,-6.2466634,106.7620832,"jl.ulujami raya no 86 rt 1/4 kel, rw.7, ulujami, kota jakarta selatan",ChIJiZF3MRHxaS4RMkLi-3sXAfI,824.9726463532548
alfamart,0,0,-6.2373959,106.7584582,"jl. ciledug raya kel no.2, rt.13/rw.002, petukangan utara, kota jakarta selatan",ChIJ-agkUa3xaS4RDzBJWhZ9pAQ,634.8505928593436
alfamart,5,1,-6.2427534,106.7520614,"jl. kemajuan kel no.48, rt.6/rw.6, petukangan sel., kota jakarta selatan",ChIJO5o704LxaS4RopukQoSoSlU,425.224534635692
alfamart,4.4,189,-6.2364448,106.7524101,"jl. ciledug raya no. 10a, rt. 002/003 kel, rt.2/rw.3, petukangan utara, kota jakarta selatan",ChIJyQtTMjnxaS4RAmG4Z9miTuU,776.7616169198133
sumber alfaria trijaya. pt (alfamart),0,0,-6.2351522,106.7576759,"mampang prpt. jl. kostrad pusri no.42, rt.5/rw.4, petukangan utara, kota jakarta selatan",ChIJTfcbXMPwaS4RUTsckpjrLio,841.1231455161756
