nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
alfamart,4.4,43,-6.233994099999999,106.8496706,"jl. tebet barat, no. iv, no. 7, rt. 016 / 04, kel, rt.16/rw.2, tebet bar., kota jakarta selatan",ChIJ9Vwe-pbzaS4RRlQmSFdW96A,1129.5704623360598
alfamart,4.3,151,-6.216512,106.8278755,"jl. anggrek 3 kel no.25 b, rt.19/rw.2, kuningan, karet kuningan, kota jakarta selatan",ChIJd8d5kgf0aS4RZrS7fXlU-kg,2077.8522042494124
alfamart,5,3,-6.2392783,106.832538,"jl. gatot subroto no.kav 56, rt.1/rw.4, kuningan tim., kota jakarta selatan",ChIJXb2FxfXzaS4RMmmtYeQEE18,1247.9490766135768
alfamart pasar manggis,4.8,5,-6.2140038,106.8427878,"jl. payakumbuh no.56, rt.11/rw.9, ps. manggis, kota jakarta selatan",ChIJ41SXHGn1aS4R33isZf_v_DY,1896.1459042464298
alfamart,4,1,-6.2130459,106.825213,"jl. karet belakang barat jl. karbela no.kel, rt.1/rw.2, kuningan, karet kuningan, kota jakarta selatan",ChIJg9H4zDH1aS4Rm3_YlVTAJaY,2562.3711556210246
alfamart,3,1,-6.2303643,106.8218469,"jl. guru mughni kel no.12, rt.1, kuningan, kuningan tim., kota jakarta selatan",ChIJR3_-W0XzaS4Ra2KJ49HgobM,2003.0952740942214
alfamart,4.3,21,-6.2349423,106.8570767,"jl. tebet timur dalam raya kel no.9, rt.5/rw.6, tebet tim., kota jakarta selatan",ChIJHxShupTzaS4Rfd_GHD6Fkqw,1946.4421063964037
alfamart,4.2,21,-6.2210936,106.8542056,"jl. bukit duri selatan kel no.1, rt.4/rw.4, bukit duri, kota jakarta selatan",ChIJXYFIBYbzaS4R8Sd5JpbmsT0,1910.3321669529366
alfamart,4.4,115,-6.2296444,106.8533086,"jl. tebet raya no.10a, rt.9/rw.4 kel, tebet tim., kota jakarta selatan",ChIJrwK7gpDzaS4RiLpXd52lzmk,1481.0904469568343
alfamart,4.2,66,-6.2457614,106.8258046,"jl. mampang prpt. raya kel no.58 a, rt.9/rw.3, tegal parang, kota jakarta selatan",ChIJWVXFdyLzaS4R8xNLa-VEm_w,2282.1297951030438
alfamart,5,1,-6.2435925,106.8322469,"jl. tegal parang utara no.23a, rt.15/rw.007, kel, kota jakarta selatan",ChIJ7yB92wvzaS4RB20MfN2CxwI,1656.3111715736195
alfamart,4.3,68,-6.2295531,106.8467864,"jl dr soepomo sh no 73d menten, rt.2/rw.15, menteng dalam, kota jakarta selatan",ChIJFRyV05PzaS4RMYjyqWOO87o,767.4337795947233
