nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret,4.3,42,-6.2857772,106.7808844,"pq7j+p92, jl. metro pondok indah, rt.3/rw.14, pd. pinang, kota jakarta selatan",ChIJLWcbOM_xaS4RIMEFJuZjRvY,0
indomaret - plaza satu pondok indah,4.2,9,-6.2843295,106.7811145,"jl. taman duta i no.7, rt.4/rw.14, pd. pinang, kota jakarta selatan",ChIJn2i-wMjxaS4RporVNR8Svs0,0
indomaret ciputat raya 4,4.1,18,-6.2829641,106.7806074,"jl. ciputat raya no.4, rt.9/rw.2, pd. pinang, kota jakarta selatan",ChIJd-fx6q3xaS4RLtxCS_G0RvY,0
indomaret,2,4,-6.289838899999999,106.7781069,"jl. r.a. kartini no.49, rt.9/rw.7, lb. bulus, kota jakarta selatan",ChIJEaTZ42DxaS4R044D9l8J_vQ,0
bii atm indomaret bona indah 1,4.3,142,-6.2876105,106.7772803,"jl. lebak bulus 1, cilandak, jakarta selatan, rt.1/rw.1, lebak bulus, south jakarta city",ChIJF9Syud7xaS4RCaXavhh53AA,0
indomaret pupan ciputat,5,11,-6.2831678,106.7717267,"jl. pupan no: 01 rt 07 / rw 08, pondok pinang, kebayoran lama, rt.11/rw.15, pd. pinang, kota jakarta selatan",ChIJE1VVVbbxaS4RJVUwg--0dq4,0
indomaret raya jagakarsa,4.4,221,-6.3273649,106.8163662,"no., jl. raya jagakarsa no.2, rt.10/rw.2, jagakarsa, kota jakarta selatan",ChIJnz15NXbuaS4RjtdQGUQE7gY,0
papaya indomaret jagakarsa,4.5,269,-6.325327300000001,106.8198997,"jl. pepaya raya no.4, rt.2/rw.5, jagakarsa, kota jakarta selatan",ChIJTTG_z9jtaS4RnfCTBd_V_Sw,0
indomaret ciremai jagakarsa,3.9,22,-6.3245086,106.8113082,"jl. m.kahfi 1 rt 01/rw 04, jagakarsa, jagakarsa, rt.2/rw.7, jagakarsa, south jakarta city",ChIJcQAAANntaS4RAesd4Pw1hXk,0
indomaret jagakarsa 1 no.1,4.5,196,-6.3322727,106.8204749,"mr9c+35v, townhouse jagakarsa, jl. jagakarsa 1, rt.3/rw.2, jagakarsa, kota jakarta selatan",ChIJnfhFPGLtaS4R8RAXOhmLRC4,0
