nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret,4.3,104,-6.302203,106.7919364,"jl. lb. bulus iii no.40, rt.9/rw.7, cilandak bar., kota jakarta selatan",ChIJaxj8TyDuaS4RmJ8rDkpB2GA,1245.122666932579
indomaret jeruk purut,4.5,132,-6.291164699999999,106.8129499,"jl. jeruk purut no.22, rt.3/rw.3, cilandak tim., kota jakarta selatan",ChIJvy_4mvnxaS4RjjbhIFaTp4Y,1746.4165907265299
indomaret,0,0,-6.3070032,106.7936899,"10, rt.4/rw.10, pondok labu, south jakarta city",ChIJPz4W5BPvaS4RoUnKBAiaL3o,1680.3368839203613
indomaret bdn raya,4.2,66,-6.279392199999999,106.7984418,"jl. bdn raya no.10, rt.10/rw.11, cilandak bar., kota jakarta selatan",ChIJKZqyypTxaS4RkjwUtyXrkBY,1441.6603451765477
indomaret,4.7,3,-6.278223100000001,106.797096,"jl. rs. fatmawati raya no.7, rt.8/rw.6, gandaria sel., kota jakarta selatan",ChIJzVqDlcTxaS4Rwlnqrz5hXbo,1565.0385230062695
indomaret karang tengah raya,4.3,108,-6.3013439,106.7805495,"bona indah plaza, jl. karang tengah raya no.1, rt.5/rw.4, lb. bulus, kota jakarta selatan",ChIJ7aqqqinuaS4RKy68g0RuyMk,2096.2928282560297
indomaret,4.3,42,-6.2857772,106.7808844,"pq7j+p92, jl. metro pondok indah, rt.3/rw.14, pd. pinang, kota jakarta selatan",ChIJLWcbOM_xaS4RIMEFJuZjRvY,1942.5639032086228
indomaret,0,0,-6.2910563,106.7949517,"jl. pejaten raya no.19 a, rt.18/rw.2, jati padang, kota jakarta selatan",ChIJZW196Q7xaS4R95E7nWT6Da4,283.2833988494497
indomaret ciputat raya 4,4.1,18,-6.2829641,106.7806074,"jl. ciputat raya no.4, rt.9/rw.2, pd. pinang, kota jakarta selatan",ChIJd-fx6q3xaS4RLtxCS_G0RvY,2106.2493291107467
indomaret - plaza satu pondok indah,4.2,9,-6.2843295,106.7811145,"jl. taman duta i no.7, rt.4/rw.14, pd. pinang, kota jakarta selatan",ChIJn2i-wMjxaS4RporVNR8Svs0,1985.4173368600073
indomaret spbu terogong,4.8,8,-6.2821542,106.7916131,"jl. terogong raya no.16, rt.10/rw.10, cilandak bar., kota jakarta selatan",ChIJj-UaO5zxaS4RHGBB4QPZ-0Y,1285.327319639422
indomaret ciputat raya 5,4,1,-6.2776029,106.7794317,"jl. ciputat raya no.01, rt.11/rw.15, pd. pinang, kota jakarta selatan",ChIJE1VVVbbxaS4R4pD7bmqkkgI,2553.880429668809
indomaret spbu simatupang,4.2,22,-6.2928207,106.794356,"pq4v+vph, jl. r.a. kartini, rt.1/rw.4, cilandak bar., kota jakarta selatan",ChIJPd3qm93xaS4Ry_DGnmEAInk,318.5852318786732
indomaret golden fatmawati,0,0,-6.2777755,106.7968703,"jl. rs. fatmawati no. 15 ab gandaria selatan cilandak jakarta selatan dki jakarta rt.8, rw.6, gandaria sel., kota jakarta selatan",ChIJSShBVZDxaS4Rte30BlBPAO4,1615.1615233266502
indomaret fatmawati 26,4.3,6,-6.3043705,106.7951843,"jl. rs. fatmawati raya no.26, rt.1/rw.7, pd. labu, kota jakarta selatan",ChIJ-WTA4iHuaS4RhhDcoecn57U,1360.637751090428
indomaret ciputat raya 4,0,0,-6.2776029,106.7794317,"jl. ciputat raya 24 rt 009 rw 002, pondok pinang, kebayoran lama, rt.11/rw.15, pondok pinang, south jakarta city",ChIJE1VVVbbxaS4R-dLB7PhRuak,2553.880429668809
indomaret,4.4,26,-6.2962454,106.7892345,"pq3q+gmh, jl. lb. bulus i, rt.3/rw.4, cilandak bar., kota jakarta selatan",ChIJsbv9uN7xaS4RK2vE-f9VboA,982.7730474409593
indomaret metro pondok indah,4.3,480,-6.2743949,106.7827922,"blok tc, jl. metro pondok indah no.11, rt.2/rw.15, pd. pinang, kota jakarta selatan",ChIJm56pCbrxaS4RgzDUcFCWSR0,2548.5676352602504
indomaret minimarket bona indah plaza,4.5,6,-6.3009042,106.7806588,"bona indah plaza no.a2/d3 jl. karang tengah raya, rt.7/rw.6, lb. bulus, kota jakarta selatan",ChIJJesreyjuaS4RF1nrMU1l0JE,2062.567290524127
indomaret taman cilandak,5,4,-6.2930967,106.7920496,"jl. taman cilandak raya no.9, rt.11/rw.4, cilandak bar., kota jakarta selatan",ChIJv01rArvxaS4RuUFeXimA3zk,575.0514912650491
indomaret bango raya,0,0,-6.3075877,106.8039904,"jl. bango ii no.31, rw.3, pd. labu, kota jakarta selatan",ChIJXTAa0H_vaS4R5_VN2xv2sJA,1858.9170226783988
indomaret abu serin,4.5,10,-6.275743299999999,106.7971777,"jl. abuserin no.5, rt.10/rw.6, gandaria sel., kota jakarta selatan",ChIJXQQSNpTxaS4RsGiRh1Rrct0,1840.7460992241265
indomaret bona indah 2,4.9,15,-6.2963167,106.7891712,"jl. lb. bulus i no.35b, rt.3/rw.4, cilandak bar., kota jakarta selatan",ChIJF35byhHxaS4RhU4r6frWhIo,992.5817806366957
indomaret fatmawati 20,0,0,-6.281351099999999,106.7963965,"pq9w+fh2, west cilandak, south jakarta city",ChIJrTZnpp_xaS4RW53IaKnPsIc,1220.3413845906127
indomaret plus,4.3,229,-6.296373399999999,106.7948721,"5, jl. rs. fatmawati raya no.35, rt.5/rw.4, cilandak bar., kota jakarta selatan",ChIJd96Hv-DxaS4RHJwKA-4iFZI,520.6143860734265
indomaret cilandak raya,4.3,20,-6.297004200000001,106.8154176,"pr38+55x, jl. raya cilandak kko, rt.1/rw.5, ragunan, kota jakarta selatan",ChIJ-6Meqf_xaS4R99u9vNNVFjg,2081.470973143258
indomaret pintu barat ragunan (t1y7),0,0,-6.3104305,106.8159192,"14, jl. margasatwa baru no.45, rw.8, jagakarsa, kota jakarta selatan",ChIJwcwxNEXvaS4RiKmoGQ6V0pU,2889.7092023305627
indomaret karang tengah 39,4.4,90,-6.305912300000001,106.7816935,"mqvj+jmp, rt.6/rw.4, lebak bulus, south jakarta city",ChIJraDzUtLvaS4RD7IR82uJtEo,2285.899919498122
indomaret h. batong,3.9,60,-6.286857899999999,106.7903161,"jl. h.batong raya rt007/rw006, cilandak barat, cilandak, rt.7/rw.6, west cilandak, south jakarta city",ChIJAQAAAOfxaS4R6wrqsJtf5pk,971.113498826084
indomaret hybrid lebak bulus/008,4.6,13,-6.3101176,106.780875,"jl. karang tengah raya no.1, rt.1/rw.3, lb. bulus, kota jakarta selatan",ChIJBwBd3S_uaS4RMBfxWKiy408,2679.152488132606
