nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret kemang mampang tjkc,3.4,16,-6.2555529,106.8123381,"jl. kemang raya no.15, rt.13/rw.1, bangka, kota jakarta selatan",ChIJN7p70X7xaS4R6VpOujMI_Wo,2060.7816105746397
indomaret fatmawati 33d,5,1,-6.2664857,106.7975475,"rt 03 no, jl. rs. fatmawati raya no.33c, rt.2/rw.2, gandaria sel., kota jakarta selatan",ChIJsZgWTnXxaS4R_vrbAMPG_9c,839.2139311201591
indomaret,4.5,2,-6.2550721,106.7974134,"jl. darmawangsa raya no.125, rt.2, rt.2/rw.1, pulo, kota jakarta selatan",ChIJwX02iFLxaS4RMQgSCQVBeVQ,1946.6624358749348
indomaret panglima polim - blok a,4,29,-6.2576762,106.7967995,"jl. rs. fatmawati raya no.1, gandaria utara, kota jakarta selatan",ChIJCZIzrZ_xaS4RiJX_wvOeaH4,1701.7245438350321
indomaret,4.6,43,-6.2627085,106.7887445,"jl. radio dalam raya no.12a, rt.7/rw.10, gandaria utara, kota jakarta selatan",ChIJvygfS6HxaS4RL3sTDNNU6fY,1871.1714208251728
indomaret bdn raya,4.2,66,-6.279392199999999,106.7984418,"jl. bdn raya no.10, rt.10/rw.11, cilandak bar., kota jakarta selatan",ChIJKZqyypTxaS4RkjwUtyXrkBY,1002.9923455404611
indomaret asem 2.,3.8,23,-6.272082,106.8009549,"jl. asem dua no.26, rt.14/rw.5, cipete sel., kota jakarta selatan",ChIJs6y5G5HxaS4RurVX3sajfVU,240.8603205012197
indomaret petogogan (tb49),4.2,24,-6.254561799999999,106.7958583,"jl. petogogan ii no.18, rt.9/rw.5, pulo, kota jakarta selatan",ChIJperbNA3xaS4R4zKGAs61CVs,2060.8397129746704
indomaret,4.7,3,-6.278223100000001,106.797096,"jl. rs. fatmawati raya no.7, rt.8/rw.6, gandaria sel., kota jakarta selatan",ChIJzVqDlcTxaS4Rwlnqrz5hXbo,986.8422856109843
indomaret grand wijaya. t98c,4.2,55,-6.2532473,106.7993526,"grand wijaya blok b10, jl. wijaya ii, rt.6/rw.1, pulo, kota jakarta selatan",ChIJT8Q48HPxaS4RHGBGXmOUqp0,2086.9869519137696
