nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret,4.3,104,-6.302203,106.7919364,"jl. lb. bulus iii no.40, rt.9/rw.7, cilandak bar., kota jakarta selatan",ChIJaxj8TyDuaS4RmJ8rDkpB2GA,1378.9385564093263
indomaret,0,0,-6.3070032,106.7936899,"10, rt.4/rw.10, pondok labu, south jakarta city",ChIJPz4W5BPvaS4RoUnKBAiaL3o,1627.5790383928036
indomaret karang tengah raya,4.3,108,-6.3013439,106.7805495,"bona indah plaza, jl. karang tengah raya no.1, rt.5/rw.4, lb. bulus, kota jakarta selatan",ChIJ7aqqqinuaS4RKy68g0RuyMk,228.66578320761798
indomaret,4.3,42,-6.2857772,106.7808844,"pq7j+p92, jl. metro pondok indah, rt.3/rw.14, pd. pinang, kota jakarta selatan",ChIJLWcbOM_xaS4RIMEFJuZjRvY,1933.6982387190124
indomaret,0,0,-6.2910563,106.7949517,"jl. pejaten raya no.19 a, rt.18/rw.2, jati padang, kota jakarta selatan",ChIJZW196Q7xaS4R95E7nWT6Da4,2171.661033912276
indomaret spbu simatupang,4.2,22,-6.2928207,106.794356,"pq4v+vph, jl. r.a. kartini, rt.1/rw.4, cilandak bar., kota jakarta selatan",ChIJPd3qm93xaS4Ry_DGnmEAInk,2001.9831209369852
indomaret fatmawati 26,4.3,6,-6.3043705,106.7951843,"jl. rs. fatmawati raya no.26, rt.1/rw.7, pd. labu, kota jakarta selatan",ChIJ-WTA4iHuaS4RhhDcoecn57U,1739.8249818021536
indomaret,4.4,26,-6.2962454,106.7892345,"pq3q+gmh, jl. lb. bulus i, rt.3/rw.4, cilandak bar., kota jakarta selatan",ChIJsbv9uN7xaS4RK2vE-f9VboA,1319.895056393894
indomaret minimarket bona indah plaza,4.5,6,-6.3009042,106.7806588,"bona indah plaza no.a2/d3 jl. karang tengah raya, rt.7/rw.6, lb. bulus, kota jakarta selatan",ChIJJesreyjuaS4RF1nrMU1l0JE,277.2588110989715
indomaret taman cilandak,5,4,-6.2930967,106.7920496,"jl. taman cilandak raya no.9, rt.11/rw.4, cilandak bar., kota jakarta selatan",ChIJv01rArvxaS4RuUFeXimA3zk,1779.3665857787892
indomaret,2,4,-6.289838899999999,106.7781069,"jl. r.a. kartini no.49, rt.9/rw.7, lb. bulus, kota jakarta selatan",ChIJEaTZ42DxaS4R044D9l8J_vQ,1483.8719151705513
