nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret brigif raya,4.3,135,-6.3442002,106.8017057,"jl. brigif no.15, rt.1/rw.1, cipedak, kota jakarta selatan",ChIJh-0yE4nuaS4RT4cgaf1ZTk8,0
indomaret fresh,4,4,-6.3461701,106.8028596,"jl. m. khafi no.2-34, rt.4/rw.1, cipedak, kota jakarta selatan",ChIJ3YjtL_zvaS4Rnl104wRCVD8,0
indomaret m kahfi 4,4.5,212,-6.350038899999999,106.8016393,"jalan muhammad kahfi i, rt.6/rw.1, cipedak, jagakarsa, rt.6/rw.1, cipedak, kota jakarta selatan",ChIJ6cQUFo7uaS4R-_kInWNWM1E,0
indomaret m kahfi,3.6,8,-6.3406939,106.8044744,"jl. m. khafi no.5, rt.8/rw.6, ciganjur, kota jakarta selatan",ChIJFxAcIIjuaS4RYFvViU4kKeA,0
indomaret timbul iv a,4.4,183,-6.351852500000001,106.807109,"jl. timbul iv no.8, rt.8/rw.6, cipedak, kota jakarta selatan",ChIJ7WecLyzvaS4Rn9KPGUD4Ljg,0
indomaret - warung silah no.27,4.3,80,-6.3448961,106.8089498,"2, jl. wr. sila no.21, rw.5, ciganjur, kota jakarta selatan",ChIJw0MeY4buaS4RXvv9hDhmtt4,0
mitra umkm indomaret,0,0,-6.3407538,106.8045153,"jl. m. khafi no.5, rt.8/rw.6, ciganjur, kota jakarta selatan",ChIJOQ-JH4juaS4Rk2w7its6a8g,0
indomaret bango raya,0,0,-6.3075877,106.8039904,"jl. bango ii no.31, rw.3, pd. labu, kota jakarta selatan",ChIJXTAa0H_vaS4R5_VN2xv2sJA,0
indomaret margasatwa raya,3.6,48,-6.313039300000001,106.8000683,"jl. margasatwa no.41, rt.8/rw.2, pd. labu, kota jakarta selatan",ChIJP8XfLBHuaS4RUZWOBnFgxCo,0
indomaret pinang raya,4.1,147,-6.3081054,106.7981876,"jl. pinang raya no.9, rt.2/rw.9, pd. labu, kota jakarta selatan",ChIJteuioxnuaS4R3u6TiMK2DHc,0
indomaret,4.3,190,-6.310845,106.8031917,"jalan margasatwa, rt.1/rw.3, pondok labu, cilandak, rt.1/rw.3, pd. labu, kota jakarta selatan",ChIJz_7MYxDuaS4RL6XfEsDgb-M,0
