nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret,4,1,-6.3566026,106.8093138,"jl. moch. kahfi ii no.6, rw.3, cipedak, kota jakarta selatan",ChIJ69Imd5nuaS4R4l3iPtF1Wmw,2164.402909751061
indomaret lenteng agung barat,3.3,3,-6.3333248,106.8350508,"jl. raya lenteng agung blok cemara no.9, rt.2/rw.10, srengseng sawah, kota jakarta selatan",ChIJJaTMDg_taS4R60wVAmauYTQ,1838.471594852109
indomaret srengseng jagakarsa no.23,4.4,174,-6.3451713,106.8294743,"jl. o no.14, rw.3, srengseng sawah, kota jakarta selatan",ChIJpV0lAS7saS4RivjWQPg7JxE,410.886479492569
indomaret stasiun lenteng agung,4.8,23,-6.330877699999999,106.8343701,"mr9m+jpx, jl. raya lenteng agung, rt.1/rw.5, lenteng agung, kota jakarta selatan",ChIJs8vL3f_taS4RD-B_tfITONc,2045.8484203608632
indomaret timbul (t18j),4.3,87,-6.3517988,106.810539,"jl. timbul no.37, rt.1/rw.3, cipedak, kota jakarta selatan",ChIJ9SsEQJvuaS4RNq5qlCDIJtw,1844.1783700331787
indomaret srengseng,4.3,195,-6.3455694,106.8262261,"jl. yon zikon 14 no.1-32, rt.6/rw.6, srengseng sawah, kota jakarta selatan",ChIJ-2nJhS7saS4RpCO7nEHGBsU,233.3290798512422
indomaret masjid annur,2,3,-6.3464005,106.8143894,"jl. moh. kafi no.24, rt.2/rw.5, cipedak, kota jakarta selatan",ChIJF2LOzoPuaS4RGhpeBivt3Zk,1365.8003387715096
indomaret desa putra,4.6,117,-6.3411344,106.8274065,"jl. desa putra no.52, rt.7/rw.5, srengseng sawah, kota jakarta selatan",ChIJ3TQhlPPtaS4R4L49oeHOWVI,725.2130151969673
indomaret,0,0,-6.335050799999999,106.8131039,"jl. sadar raya no.75 a, rw.2, ciganjur, kota jakarta selatan",ChIJK1AskZ3vaS4REypC6pL89EA,2050.847696076846
indomaret,4.5,44,-6.3387782,106.8218532,"jl. moch. kahfi ii no.14e, rt.1/rw.4, ciganjur, kota jakarta selatan",ChIJ-Q7w6dTtaS4RDEfVifDRyGE,1118.6546980286012
indomaret rsu aulia,4.9,12,-6.335074,106.8273801,"jl. jeruk raya no.11, rw.1, jagakarsa, kota jakarta selatan",ChIJodfZVs3taS4Rnyv5NOI9wSw,1396.8309603766013
srengseng sawah 2 indomaret,3.7,50,-6.3581175,106.8118531,"jrr6+qp5, jalan pemuda i, rt.3/rw.9, srengseng sawah, kota jakarta selatan",ChIJ3xl_LJnuaS4RzgLSN1FMvfI,2012.6543371853465
indomaret - warung silah no.27,4.3,80,-6.3448961,106.8089498,"2, jl. wr. sila no.21, rw.5, ciganjur, kota jakarta selatan",ChIJw0MeY4buaS4RXvv9hDhmtt4,1983.4491355341115
indomaret pertigaan sadar,3.2,5,-6.3440661,106.8121865,"jl. wr. sila no.15, rt.1/rw.5, ciganjur, kota jakarta selatan",ChIJZ5dPNIHuaS4RrO2wSc7g9dk,1650.4659228596888
indomaret hybrid jeruk jagakarsa,4.3,137,-6.331093399999999,106.8292052,"jl. jeruk raya no.3a, rt.5/rw.1, jagakarsa, kota jakarta selatan",ChIJZWTzI9DtaS4Ra2YhrND7ULo,1858.3062980612726
indomaret h. syuaeb,2.5,2,-6.3588485,106.8064644,"jrr4+fh5, jl. purwa raya i, rt.6/rw.6, cipedak, kota jakarta selatan",ChIJJziCLpjuaS4RBqFo3rWHDkM,2560.149762644079
indomart,4.2,9,-6.3541376,106.8108413,"jl. moch. kahfi ii no.32a, rt.4/rw.3, cipedak, kota jakarta selatan",ChIJky3nmJvuaS4RnXLQI2QE2oc,1895.3468239849717
indomaret,4.4,11,-6.3629815,106.8068578,"jrp4+rph, jl. m. khafi, rt.7/rw.3, cipedak, kota jakarta selatan",ChIJ6Tll06LuaS4R9zTIOA9Y0rs,2778.6665770914065
indomaret jagakarsa 1 no.1,4.5,196,-6.3322727,106.8204749,"mr9c+35v, townhouse jagakarsa, jl. jagakarsa 1, rt.3/rw.2, jagakarsa, kota jakarta selatan",ChIJnfhFPGLtaS4R8RAXOhmLRC4,1839.1743713628211
indomaret lenteng agung 2,4.4,197,-6.3349815,106.8344234,"jl. raya lenteng agung no.25, rt.3/rw.4, srengseng sawah, kota jakarta selatan",ChIJ9fzyS8_taS4Ra0JH3lgQjic,1644.6933891029003
indomaret srengseng sawah,4.5,236,-6.3523913,106.8185399,"jrx9+3c3, jalan kukusan, rt.7/rw.7, srengseng sawah, kota jakarta selatan",ChIJbT3_jyfsaS4R717sP2FKYyI,1045.24026767852
indomaret pesantren daarul rahman,5,3,-6.3589526,106.8065455,"jrr4+cj8, rt.6/rw.6, cipedak, south jakarta city",ChIJo81VL5juaS4RMjW6kId9FZ8,2558.013348681783
indomaret timbul iv a,4.4,183,-6.351852500000001,106.807109,"jl. timbul iv no.8, rt.8/rw.6, cipedak, kota jakarta selatan",ChIJ7WecLyzvaS4Rn9KPGUD4Ljg,2214.317924729027
