nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret pasar minggu,4.5,2,-6.291435099999999,106.8419087,"jl. raya ps. minggu no.15d, rt.13/rw.5, ps. minggu, kota jakarta selatan",ChIJKdFjS4XzaS4RpmE0MI-N8hQ,1855.3632230544624
indomaret,4.3,84,-6.3045613,106.8437533,"jl. nangka raya no.5, rt.8/rw.5, tj. bar., kota jakarta selatan",ChIJ_57ljYztaS4RBUKmJ5rF0XA,737.25537004416
indomaret,3.8,10,-6.2961348,106.843599,"jl. poltangan raya no.19, rt.1/rw.4, tj. bar., kota jakarta selatan",ChIJd3ilG3XyaS4R7Y_rIePXcG4,1313.0188789583744
indomaret gurame raya,4.2,18,-6.2957984,106.8366216,"jl. gurame raya no.32, rt.2/rw.9, ps. minggu, kota jakarta selatan",ChIJgVaTJgryaS4RZDPX8Ifsn0A,1881.8899641400703
indomaret,2.7,14,-6.323935700000001,106.8372384,"jl. agung raya i no.3, rt.9/rw.2, lenteng agung, kota jakarta selatan",ChIJx0ubeSPtaS4RHy0oOTeBz3s,2470.8091984843054
indomaret tb simatupang,3.5,19,-6.3039672,106.8508534,"jl. tb simatupang no.47, rt.12/rw.5, tj. bar., kota jakarta selatan",ChIJNWl0JY_taS4Rcf7n3fGXkxw,223.1274166954601
indomaret,4,44,-6.295587599999999,106.8453943,"jl. poltangan raya no.49, rt.5/rw.10, pejaten tim., kota jakarta selatan",ChIJvdo1THTyaS4RBoB9yjj3LdM,1267.1871727580765
indomaret st tj.barat,0,0,-6.3085045,106.8381817,"jl. raya lenteng agung no.5, rt.3/rw.1, lenteng agung, kota jakarta selatan",ChIJxbO8YfvtaS4RVgwXEDURxRs,1369.1386583838457
indomaret kebagusan city,4.3,14,-6.3075195,106.8358518,"apartement kebagusan city tower c unitk18192223, rt.1/rw.6, kebagusan, south jakarta city",ChIJz_____DtaS4RuBSePQZKmzM,1605.7202934194743
indomaret rancho indah,3.2,14,-6.305132,106.8502399,"jl. rancho indah no.17, rt.1/rw.2, tj. bar., kota jakarta selatan",ChIJ76qqqo3taS4RkUk7x72ntOw,84.84107803087751
indomaret,4,6,-6.3092057,106.8693524,"blok haji jani 1, jl. tb simatupang blok haji jani 1 no.104, rt.7/rw.3, susukan, east jakarta city",ChIJqSHWFHftaS4RSfN1u5Cg2Go,2138.992180687765
indomaret mtrade teluk betung,0,0,-6.2993709,106.8399129,"jl. raya pasar minggu no.168, rt.4/rw.8, ps. minggu, kota jakarta selatan",ChIJ5RSsmVTtaS4RlacdijhrxSI,1356.7972898739902
indomaret rawa bambu,4.4,271,-6.2914141,106.8419168,"jl. raya rw. bambu no.14, rt.13/rw.5, ps. minggu, kota jakarta selatan",ChIJA00kMHPyaS4RzjSAlv_vnD4,1856.9407879041523
indomaret nangka 1,4.6,117,-6.3029362,106.8475626,"jl. nangka raya no.6, rw.5, tj. bar., kota jakarta selatan",ChIJh2Vkk9jtaS4R71LDz2IfqhU,445.9369451848989
indomaret,4.9,7,-6.298130500000001,106.8299386,"plaza oleos, jl. tb simatupang, rt.2/rw.1, kebagusan, kota jakarta selatan",ChIJ4dtL_AfyaS4RF-C9eDUjQ0o,2409.032223236194
raya ragunan indomaret,4.1,17,-6.2858816,106.8301102,"jl. raya ragunan no.19, rt.2/rw.7, jati padang, kota jakarta selatan",ChIJBS7mhhDyaS4RwQ24c_CL25w,3150.4128511814415
indomaret lenteng agung 28,4.4,283,-6.324972,106.8335444,"mrgm+2c8, rt.13/rw.5, lenteng agung, south jakarta city",ChIJh7HpccTtaS4R3felpmD0M70,2815.1064450705403
indomaret tanjung barat,4.6,101,-6.3119122,106.838572,"jl. raya tj. barat no.12a, rt.5/rw.1, tj. bar., kota jakarta selatan",ChIJO8FvdaLtaS4RSZB1kkXDSLk,1457.5870256221817
indomaret joe kelapa tiga,4.2,27,-6.3245479,106.8301569,"gg. bunga no.2, rt.2/rw.6, lenteng agung, kota jakarta selatan",ChIJPdTzvtrtaS4Rny8eJBB6jss,3041.8314694432634
indomaret impres 3,3.9,18,-6.2865188,106.8616086,"pv76+9jx, rt.2/rw.3, batu ampar, east jakarta city",ChIJaS7VI2PyaS4RhJOaQnBn84s,2491.3551535200236
