nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret assirot,4.3,156,-6.225558899999999,106.7751594,"jl. assirot no.6a, rt.5/rw.5, grogol sel., kota jakarta selatan",ChIJ8VBSPinxaS4Rsng_u-K88hw,0
indomaret panjang cidodol 2 (tg26),3.8,8,-6.227386999999999,106.772065,"qqfc+2rv, jl. panjang cidodol, rt.14/rw.6, grogol sel., kota jakarta selatan",ChIJK5X2RyjxaS4RyPDN-Qxm35w,0
kebayoran lama indomaret assirot,4.7,213,-6.2253634,106.7782561,"jl. raya kby. lama no.n 44, rt.7/rw.1, grogol sel., kota jakarta selatan",ChIJeZWj6y7xaS4RkU4hCYZW7ig,0
indomaret,5,1,-6.2321661,106.769049,"jl. h. husin no.7, rt.7/rw.13, grogol sel., kota jakarta selatan",ChIJ7wOa9NjwaS4RlE5wVtVplPI,0
indomaret panjang cidodol 3,4.4,14,-6.2321222,106.769101,"jl. masjid cidodol rt. 009 / rw. 012 no: 65a, rt.7/rw.9, south grogol, south jakarta city",ChIJGwAAADvxaS4RE8wz9nSvxB4,0
indomaret kebayoran lama 242,4.5,130,-6.231951899999999,106.7803754,"jl. raya kby. lama no.242, rt.11/rw.1, grogol sel., kota jakarta selatan",ChIJM8eV5iTxaS4RwEvXAASHlko,0
indomaret ciputat 18,4.1,69,-6.2638128,106.7750009,"pqpg+f2c, jl. raya ciputat, rt.6/rw.1, pd. pinang, kota jakarta selatan",ChIJQzFdk6vxaS4Ri6I1vWvx4_s,0
indomaret h. muhi,4.2,70,-6.2666653,106.7706362,"jl. haji muhi raya, rt.10/rw.4, pondok pinang, kebayoran lama, jl. h. muhi raya no.39, rt.10/rw.4, pd. pinang, kota jakarta selatan",ChIJTfxSM1PwaS4RgYyvQDCry1A,0
indomaret ciputat raya ta3p,4.3,59,-6.2585712,106.7773998,"jl. ciputat raya no.35, rw.10, kby. lama sel., kota jakarta selatan",ChIJd734LwfxaS4R9GSRMspZ-XE,0
indomaret ciputat raya 1 {ttdq},4.6,7,-6.269582199999999,106.7748789,"jl. ciputat raya no.1 3 11, rt.3/rw.11, pd. pinang, kota jakarta selatan",ChIJY-C-8sPxaS4RnTlXQJ-0AgA,0
indomaret,4.7,3,-6.265670699999999,106.7753023,"rt.5/rw.2, pd. pinang, kota jakarta selatan",ChIJBXn-SFTxaS4R7R3uiSMUobE,0
