nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret dr satrio 289,4.6,13,-6.2177327,106.8196168,"jalan professor doktor satrio no.289, karet kuningan, setiabudi rt.1/rw.1, kuningan, rt.1/rw.1, kuningan, karet kuningan, south jakarta city",ChIJf1IrAD3zaS4RP2uQZVJc8jY,0
indomaret setiabudi 17 ttap,4.7,9,-6.2104472,106.8230337,"jl. setiabudi raya no.17, rt.2/rw.2, kuningan, karet kuningan, kota jakarta selatan",ChIJT8CQPFb1aS4RK8qucus35Ww,0
indomaret bek murad fz7m,4.2,36,-6.216343999999999,106.8201923,"jl. bek murad no.36, rw.1, kuningan, karet kuningan, kota jakarta selatan",ChIJCzDmJsD1aS4RcZY18yQacU8,0
indomaret karbela,4,35,-6.216086199999999,106.8232321,"jl. flamboyan no.1, rt.9/rw.3, kuningan, karet, kota jakarta selatan",ChIJQ7XctwD0aS4RfpVYI5dO7Tk,0
indomaret plus,4,88,-6.2212663,106.8270455,"jl. karet pedurenan no.68a, rt.9/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJFwAAAPnzaS4RSejras5dRMU,0
indomaret pedurenan,4.4,99,-6.2222333,106.8261754,"jl. pedurenan masjid iii no.50, rt.8/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJjyTKfPnzaS4RmgahJeqJgd8,0
indomaret the peak - tapq,0,0,-6.2105197,106.8242588,"qrqf+rj4, the peak jalan setiabudi raya, rt.2/rw.2, kuningan, setia budi, kota jakarta selatan",ChIJ_1BcKv_1aS4Rlooh3g26uJc,0
indomaret dr satrio 289,4.6,13,-6.2177327,106.8196168,"jalan professor doktor satrio no.289, karet kuningan, setiabudi rt.1/rw.1, kuningan, rt.1/rw.1, kuningan, karet kuningan, south jakarta city",ChIJf1IrAD3zaS4RP2uQZVJc8jY,0
indomaret bek murad fz7m,4.2,36,-6.216343999999999,106.8201923,"jl. bek murad no.36, rw.1, kuningan, karet kuningan, kota jakarta selatan",ChIJCzDmJsD1aS4RcZY18yQacU8,0
indomaret setiabudi 17 ttap,4.7,9,-6.2104472,106.8230337,"jl. setiabudi raya no.17, rt.2/rw.2, kuningan, karet kuningan, kota jakarta selatan",ChIJT8CQPFb1aS4RK8qucus35Ww,0
indomaret karbela,4,35,-6.216086199999999,106.8232321,"jl. flamboyan no.1, rt.9/rw.3, kuningan, karet, kota jakarta selatan",ChIJQ7XctwD0aS4RfpVYI5dO7Tk,0
indomaret pedurenan,4.4,99,-6.2222333,106.8261754,"jl. pedurenan masjid iii no.50, rt.8/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJjyTKfPnzaS4RmgahJeqJgd8,0
indomaret the peak - tapq,0,0,-6.2105197,106.8242588,"qrqf+rj4, the peak jalan setiabudi raya, rt.2/rw.2, kuningan, setia budi, kota jakarta selatan",ChIJ_1BcKv_1aS4Rlooh3g26uJc,0
