nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret grand wijaya. t98c,4.2,55,-6.2532473,106.7993526,"grand wijaya blok b10, jl. wijaya ii, rt.6/rw.1, pulo, kota jakarta selatan",ChIJT8Q48HPxaS4RHGBGXmOUqp0,1158.7363031328634
"indomaret, blok m square",4,1,-6.2443244,106.7993778,"jl. melawai 6 no.3, rw.1, melawai, kota jakarta selatan",ChIJp6k1jNPxaS4RsvpHlCJjam4,736.4714737121591
indomaret,4.5,2,-6.2550721,106.7974134,"jl. darmawangsa raya no.125, rt.2, rt.2/rw.1, pulo, kota jakarta selatan",ChIJwX02iFLxaS4RMQgSCQVBeVQ,1217.983879303282
indomaret panglima polim - blok a,4,29,-6.2576762,106.7967995,"jl. rs. fatmawati raya no.1, gandaria utara, kota jakarta selatan",ChIJCZIzrZ_xaS4RiJX_wvOeaH4,1463.4792660145406
indomaret,4,3,-6.2511809,106.7781617,"jl. pahlawan no.2, rw.10, kby. lama utara, kota jakarta selatan",ChIJI231igTxaS4RKIR6Aki7DBw,1748.4161799555923
indomaret melawai iv no 52,5,2,-6.2454911,106.80124,"3, jl. melawai iv no.52, rw.1, melawai, kota jakarta selatan",ChIJaWy44RjxaS4RORWqDRtDtk0,937.5080030303073
indomaret,4.6,43,-6.2627085,106.7887445,"jl. radio dalam raya no.12a, rt.7/rw.10, gandaria utara, kota jakarta selatan",ChIJvygfS6HxaS4RL3sTDNNU6fY,2003.4057470054302
indomaret cikajang. f4o3,3.8,33,-6.2394178,106.8107532,"1, jl. cikajang no.1, rt.1/rw.5, petogogan, kota jakarta selatan",ChIJC8mjQGfxaS4RkOquMhj4bMM,2087.5987532492345
indomaret hasanudin 57,4,4,-6.2425243,106.8022062,"jl. sultan hasanudin no.53, rt.2/rw.1, melawai, kota jakarta selatan",ChIJ-ZfljI_xaS4RYqEvAOKUxi0,1083.290449220192
indomaret,4,1,-6.2460531,106.8074507,"jl. wijaya iv no.73, rt.10/rw.1, petogogan, kota jakarta selatan",ChIJLaYz6kXxaS4R23ofLaT83us,1626.3658424159694
indomaret ciputat raya ta3p,4.3,59,-6.2585712,106.7773998,"jl. ciputat raya no.35, rw.10, kby. lama sel., kota jakarta selatan",ChIJd734LwfxaS4R9GSRMspZ-XE,2261.658675522833
indomaret,4.1,57,-6.2483714,106.7903916,"jl. gandaria 1 no.67, rt.2/rw.8, kramat pela, kota jakarta selatan",ChIJXUBFcBLxaS4RdvT3g4SaRRs,444.9026447047478
indomaret radio dalam. t06c,4.2,18,-6.2523025,106.7913861,"jl. radio dalam raya blok haji hamali no.22, rt.1/rw.9, gandaria utara, kota jakarta selatan",ChIJD3ss9gzxaS4RA85t5OGeHsk,810.849774980767
indomaret kebayoran lama 3,4.5,24,-6.2330232,106.7804064,"jl. raya kby. lama no.227, rt.10/rw.1, grogol sel., kota jakarta selatan",ChIJob7ukyTxaS4RigRph3C5HUU,1918.8146424621948
indomaret petogogan (tb49),4.2,24,-6.254561799999999,106.7958583,"jl. petogogan ii no.18, rt.9/rw.5, pulo, kota jakarta selatan",ChIJperbNA3xaS4R4zKGAs61CVs,1101.9601209469422
indomaret gandaria1,4.7,7,-6.2484603,106.7904931,"jl. jatayu no.24, rt.2/rw.3, kramat pela, kota jakarta selatan",ChIJy45QPxLxaS4RZEV6XxuVfK0,446.5155022476391
indomaret gandaria city,4.4,91,-6.245896699999999,106.78401,"jl. kh. moh. syafi'i hadzami no.45, rt.9/rw.6, kby. lama utara, kota jakarta selatan",ChIJM5u87BDxaS4Rgyv0HFQy6ZY,971.4692800826712
indomaret sultan iskandar muda,4.2,95,-6.2511828,106.7813003,"jl. sultan iskandar muda no.9, rt.8/rw.1, kby. lama sel., kota jakarta selatan",ChIJ74HObQXxaS4RUip6zNyV5gE,1434.416345859068
indomaret dan fotocopi,5,1,-6.2393471,106.8107088,"qr66+777, rt.1/rw.5, petogogan, south jakarta city",ChIJeSJcQGfxaS4RjSDS5V3D1ZY,2085.340316205814
indomaret petogogan,4.2,21,-6.2503084,106.7941812,"jl. petogogan no.18, gandaria utara, kebayoran baru, pulo, rt.11/rw.7, rt.11/rw.7, pulo, kota jakarta selatan",ChIJ94ljMXPxaS4RH5R1BnmpJP8,595.56173211394
indomaret point,3.7,11,-6.2371779,106.7826854,"stasiun kebayoran, jl. mesjid al huda no.1a, rt.3/rw.1, kby. lama utara, kota jakarta selatan",ChIJ1yLGXyDxaS4R85Dgviw7Wro,1423.1950353994082
indomaret simprug,0,0,-6.2288581,106.7857419,"jl. rw. simprug iii no.3, rw.9, grogol sel., kota jakarta selatan",ChIJkary8qvxaS4Rxb3W6Gmvnkg,1969.9721003210927
