nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret grand wijaya. t98c,4.2,55,-6.2532473,106.7993526,"grand wijaya blok b10, jl. wijaya ii, rt.6/rw.1, pulo, kota jakarta selatan",ChIJT8Q48HPxaS4RHGBGXmOUqp0,966.4459819893045
indomaret kemang mampang tjkc,3.4,16,-6.2555529,106.8123381,"jl. kemang raya no.15, rt.13/rw.1, bangka, kota jakarta selatan",ChIJN7p70X7xaS4R6VpOujMI_Wo,1679.5625126585192
"indomaret, blok m square",4,1,-6.2443244,106.7993778,"jl. melawai 6 no.3, rw.1, melawai, kota jakarta selatan",ChIJp6k1jNPxaS4RsvpHlCJjam4,254.08109631829063
indomaret,4.5,2,-6.2550721,106.7974134,"jl. darmawangsa raya no.125, rt.2, rt.2/rw.1, pulo, kota jakarta selatan",ChIJwX02iFLxaS4RMQgSCQVBeVQ,1227.6652497438497
indomaret panglima polim - blok a,4,29,-6.2576762,106.7967995,"jl. rs. fatmawati raya no.1, gandaria utara, kota jakarta selatan",ChIJCZIzrZ_xaS4RiJX_wvOeaH4,1522.0985317889354
indomaret melawai iv no 52,5,2,-6.2454911,106.80124,"3, jl. melawai iv no.52, rw.1, melawai, kota jakarta selatan",ChIJaWy44RjxaS4RORWqDRtDtk0,82.26549296640789
indomaret,4.6,43,-6.2627085,106.7887445,"jl. radio dalam raya no.12a, rt.7/rw.10, gandaria utara, kota jakarta selatan",ChIJvygfS6HxaS4RL3sTDNNU6fY,2442.584561578503
indomaret cikajang. f4o3,3.8,33,-6.2394178,106.8107532,"1, jl. cikajang no.1, rt.1/rw.5, petogogan, kota jakarta selatan",ChIJC8mjQGfxaS4RkOquMhj4bMM,1177.080486318552
indomaret hasanudin 57,4,4,-6.2425243,106.8022062,"jl. sultan hasanudin no.53, rt.2/rw.1, melawai, kota jakarta selatan",ChIJ-ZfljI_xaS4RYqEvAOKUxi0,266.9347960012101
indomaret,4,1,-6.2460531,106.8074507,"jl. wijaya iv no.73, rt.10/rw.1, petogogan, kota jakarta selatan",ChIJLaYz6kXxaS4R23ofLaT83us,658.8028134116538
indomaret,4.1,57,-6.2483714,106.7903916,"jl. gandaria 1 no.67, rt.2/rw.8, kramat pela, kota jakarta selatan",ChIJXUBFcBLxaS4RdvT3g4SaRRs,1300.7845819972683
indomaret radio dalam. t06c,4.2,18,-6.2523025,106.7913861,"jl. radio dalam raya blok haji hamali no.22, rt.1/rw.9, gandaria utara, kota jakarta selatan",ChIJD3ss9gzxaS4RA85t5OGeHsk,1401.6455010490033
indomaret point,0,0,-6.2440509,106.8161762,"jl. bangka raya no.25, rw.2, pela mampang, kota jakarta selatan",ChIJNW2A01zxaS4RylvPeD8BOB4,1612.054770032374
indomaret petogogan (tb49),4.2,24,-6.254561799999999,106.7958583,"jl. petogogan ii no.18, rt.9/rw.5, pulo, kota jakarta selatan",ChIJperbNA3xaS4R4zKGAs61CVs,1253.2335594904505
indomaret gandaria1,4.7,7,-6.2484603,106.7904931,"jl. jatayu no.24, rt.2/rw.3, kramat pela, kota jakarta selatan",ChIJy45QPxLxaS4RZEV6XxuVfK0,1293.1226528608147
indomaret,0,0,-6.247488499999999,106.8149378,"jl. bangka iig no.11, rw.11, pela mampang, kota jakarta selatan",ChIJ-bHiAPTxaS4RQJ3di8P7F2g,1501.6045888813064
indomaret gandaria city,4.4,91,-6.245896699999999,106.78401,"jl. kh. moh. syafi'i hadzami no.45, rt.9/rw.6, kby. lama utara, kota jakarta selatan",ChIJM5u87BDxaS4Rgyv0HFQy6ZY,1949.3713112779242
indomaret dan fotocopi,5,1,-6.2393471,106.8107088,"qr66+777, rt.1/rw.5, petogogan, south jakarta city",ChIJeSJcQGfxaS4RjSDS5V3D1ZY,1176.9406648598801
indomaret petogogan,4.2,21,-6.2503084,106.7941812,"jl. petogogan no.18, gandaria utara, kebayoran baru, pulo, rt.11/rw.7, rt.11/rw.7, pulo, kota jakarta selatan",ChIJ94ljMXPxaS4RH5R1BnmpJP8,1021.3841033363973
indomaret,4.4,243,-6.2518104,106.8145478,"jl. bangka raya no.105, rt.1/rw.12, pela mampang, kota jakarta selatan",ChIJ0dTG_nzxaS4RT0V7owX_qpg,1625.5598032878868
indomaret birah senayan,4.1,168,-6.2353007,106.8152731,"no.13, jl. birah i no.1, rt.5/rw.6, rw. bar., kota jakarta selatan",ChIJkYWOBl_xaS4RmTTy6oeqFXc,1845.8971607187493
indomaret simprug,0,0,-6.2288581,106.7857419,"jl. rw. simprug iii no.3, rw.9, grogol sel., kota jakarta selatan",ChIJkary8qvxaS4Rxb3W6Gmvnkg,2498.199962299452
indomaret melawai 6 no. 17,0,0,-6.2443244,106.7993621,"jl. melawai 6 no.17, rt.3/rw.1, melawai, kota jakarta selatan",ChIJZXQ3b1nxaS4RBDCbFsM3GfE,255.76997467928487
indomaret tanah kusir 2 dalam tt2d,4.4,269,-6.257153,106.784136,"gg. swadaya iii no.18, rt.10/rw.9, kby. lama sel., kota jakarta selatan",ChIJZbLLdm_xaS4R4cgyDKLeE8k,2367.161680079575
indomaret bangka raya,4.6,18,-6.245269400000001,106.8158177,"jl. bangka raya no. 30, rt. 02 / 02, pela mampang, bangka, rt.11/rw.11, pela mampang, kota jakarta selatan",ChIJETmoJH3xaS4R8_bMnW8Vt74,1570.6517412189335
indomaret kh ahcmad dahlan. {twxj},4.1,27,-6.2458778,106.7920332,"qq3r+jrr, jalan kh. achmad dahlan, rt.3/rw.1, kramat pela, kota jakarta selatan",ChIJuxnwDxPxaS4R4BeT2kbalvE,1065.1877872766017
indomaret bangka 2b,4.4,293,-6.242254099999999,106.8196646,"jl. bangka ii no.12, rt.5/rw.9, pela mampang, kota jakarta selatan",ChIJR_R8Od_zaS4RTFXXRKEDqVo,2015.9875990547866
indomaret point kemang,4.4,196,-6.2602656,106.815172,"jl. kemang raya no.8, rt.8/rw.2, bangka, kota jakarta selatan",ChIJS0XcTYDxaS4R7ku6ssO11Gs,2276.694638996876
indomaret praja dalam k,4.1,17,-6.2505751,106.7834542,"jl. praja dalam k no.18, rt.9/rw.5, kby. lama sel., kota jakarta selatan",ChIJOwAAAAfxaS4RKTnNaZ1qgc4,2105.8020709279185
indomaret panglima polim 125b t3pi,4,5,-6.2550595,106.7974126,"jl. panglima polim no.125a, rt.2/rw.1, pulo, kota jakarta selatan",ChIJb-Coe5PxaS4Rq13QTJ2nq04,1226.4018822896896
indomaret guru mughni,4.1,41,-6.2269641,106.8213717,"jalan guru mughni no. c4, karet semanggi, setiabudi, rt.5/rw.2, karet semanggi, rt.5/rw.2, karet semanggi, kota jakarta selatan",ChIJ4T8PLOPzaS4RQDVcYaC-IGg,2953.922898456562
indomaret point,3.7,11,-6.2371779,106.7826854,"stasiun kebayoran, jl. mesjid al huda no.1a, rt.3/rw.1, kby. lama utara, kota jakarta selatan",ChIJ1yLGXyDxaS4R85Dgviw7Wro,2259.640929960847
indomaret duta mas fatmawati,4.5,62,-6.263351900000001,106.7986876,"jl. rs. fatmawati raya no.15, rw.5, cipete utara, kota jakarta selatan",ChIJAQAAAJ3xaS4R3VfdB1vHqnw,2082.4137118076465
haji indomaret enting. {ts90},3.3,20,-6.2579731,106.8006317,"gg. h. enting no.1, rt.10/rw.1, cipete utara, kota jakarta selatan",ChIJDwH5C3bxaS4RcxF4-cn7X5g,1463.0728480927055
indomaret melawai,4.4,110,-6.246081800000001,106.7998046,"jl. melawai raya no.17 melawai, kebayoran lama, rt.2/rw.1, melawai, south jakarta city",ChIJq2YU5W7xaS4RKF6o-6Mc-uA,242.33789496168504
indomaret damai fatmawati. fq84,4.1,36,-6.2600751,106.7970731,"jl. damai raya no.6, rt.1/rw.5, north cipete, south jakarta city",ChIJXw0Sy5_xaS4RW8YkG7Tx-_8,1765.6248434490594
indomaret fave melawai (fm6s),0,0,-6.244421399999999,106.8015382,"jl. melawai iv no.3-11, rt.3/rw.1, melawai, kota jakarta selatan",ChIJZ_9u5ZDxaS4RtzyeEc5s00A,48.58294004150212
indomaret sultan iskandar muda,4.2,95,-6.2511828,106.7813003,"jl. sultan iskandar muda no.9, rt.8/rw.1, kby. lama sel., kota jakarta selatan",ChIJ74HObQXxaS4RUip6zNyV5gE,2353.182418941198
indomaret fresh,4.6,46,-6.243758199999999,106.8163851,"jl. bangka raya no.23, rw.5, pela mampang, kota jakarta selatan",ChIJOVEJ60XxaS4RhRxK42wBrb8,1637.206318711222
indomaret panglima polim 106,4.7,29,-6.2476908,106.7976133,"jl. panglima polim no.107, rw.5, b-c, kota jakarta selatan",ChIJI3U5C2XxaS4RdRRpbU-heos,543.3763421077016
indomaret haji nawi ( tq03 ),0,0,-6.2637034,106.7954092,"4, jl. h. nawi raya no.28a, rt.4/rw.7, gandaria sel., kota jakarta selatan",ChIJ4dWEmRnxaS4RQFHJI6sgsqk,2205.5737483631765
indomaret damai f561,4.5,140,-6.2620838,106.8056991,"jl. h. jian no.81, rt.1/rw.7, cipete utara, kota jakarta selatan",ChIJPUjazZzxaS4RUSIDkidVSQg,1968.5991508842217
indomaret pondok jaya mampang,4.4,111,-6.2494907,106.8214751,"jl. pondok jaya vi no.6, rt.6/rw.6, pela mampang, kota jakarta selatan",ChIJf2NThW7zaS4RXQqG3ssDz7w,2255.0870816622573
indomaret direktorat jenderal pajak,4.6,7,-6.2255721,106.8163936,"kompleks kantor pusat djp basement 1, jend. gatot subroto kav 40-42, senayan, kebayoran baru, rt.7/rw.1, senayan, kota jakarta selatan",ChIJdfevp1fxaS4RnmGonsjjpmU,2695.308066260825
indomaret,5,2,-6.255084,106.8144756,"jl. bangka raya no.5d, rt.13/rw.1, bangka, kota jakarta selatan",ChIJna8wx9fxaS4RYJPoLhdWN9A,1820.8512831625862
indomaret point,4.1,9,-6.236225300000001,106.7826683,"jl. st. no.3, rt.4/rw.1, kby. lama utara, kota jakarta selatan",ChIJEUFZ1DzxaS4RfUdVOuGCFGo,2303.4510332780214
indomaret point kemang (argo promosi),4.7,71,-6.2617066,106.8155229,"jl. kemang raya no.36, rt.12/rw.5, bangka, kota jakarta selatan",ChIJ_YNG5YDxaS4RQpg-Vbilhmw,2424.0499493591237
indomaret bungur raya 2,4.8,77,-6.2476761,106.7817145,"jl. duku raya no.79-81, rt.14/rw.6, kby. lama utara, kota jakarta selatan",ChIJhV_DfRrxaS4Ry97kNCuA-dY,2221.9419862033324
indomaret wolter mongonsidi,4.4,150,-6.2385571,106.817085,"1, jl. kapten tendean no.125, rt.1/rw.2, rw. bar., kota jakarta selatan",ChIJB9ECK93xaS4R_Mj4ihkqHJI,1847.7541068911214
indomaret apartemen kemang jaya,4,9,-6.2646261,106.813776,"jl. taman kemang jaya no.9, rw.2, bangka, kota jakarta selatan",ChIJGQe3OH7xaS4RIoThryrl3zc,2577.1742922633257
indomaret,4.6,23,-6.240787699999999,106.7915935,"jl. tebah ii no.29, rt.13/rw.3, gunung, kota jakarta selatan",ChIJS27Tds_xaS4R_ZcfY1bc7Eo,1196.3014371953166
