nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret kodam bintaro,4.4,82,-6.2590333,106.7597615,"pqr5+9wp, jl. bintaro permai, rt.4/rw.3, pesanggrahan, kota jakarta selatan",ChIJs2ElFvjwaS4RxGz06AXOrTg,0
indomaret pesanggrahan bintaro (tp12),4.1,20,-6.254884199999999,106.7566629,"jalan uluhjami, rt.12/rw.6, pesanggrahan, rt.12/rw.6, pesanggrahan, rt.12/rw.6, pesanggrahan, kota jakarta selatan",ChIJex_w2-_waS4R6VXC2vkXSFA,0
indomaret pesanggrahan bintaro,3.6,14,-6.250045900000001,106.7566562,"jl. garuda no.27, rt.5/rw.6, pesanggrahan, kota jakarta selatan",ChIJD9RtOvDwaS4RhDJlnkZFfoE,0
indomaret spbu bintaro,4.6,48,-6.261597099999999,106.7569951,"pqq4+8rr, unnamed road, rt.6/rw.3, pesanggrahan, kota jakarta selatan",ChIJEf3pk_rxaS4R4b0T-ousRiQ,0
indomaret damai pesanggrahan,4.4,102,-6.2487206,106.754172,"jl. damai raya no.5, rt.5/rw.5, petukangan sel., kota jakarta selatan",ChIJL-ueae7waS4RrdvbPbIBUlw,0
indomaret,4.1,57,-6.2483714,106.7903916,"jl. gandaria 1 no.67, rt.2/rw.8, kramat pela, kota jakarta selatan",ChIJXUBFcBLxaS4RdvT3g4SaRRs,0
indomaret radio dalam. t06c,4.2,18,-6.2523025,106.7913861,"jl. radio dalam raya blok haji hamali no.22, rt.1/rw.9, gandaria utara, kota jakarta selatan",ChIJD3ss9gzxaS4RA85t5OGeHsk,0
indomaret petogogan (tb49),4.2,24,-6.254561799999999,106.7958583,"jl. petogogan ii no.18, rt.9/rw.5, pulo, kota jakarta selatan",ChIJperbNA3xaS4R4zKGAs61CVs,0
indomaret petogogan,4.2,21,-6.2503084,106.7941812,"jl. petogogan no.18, gandaria utara, kebayoran baru, pulo, rt.11/rw.7, rt.11/rw.7, pulo, kota jakarta selatan",ChIJ94ljMXPxaS4RH5R1BnmpJP8,0
indomaret panglima polim - blok a,4,29,-6.2576762,106.7967995,"jl. rs. fatmawati raya no.1, gandaria utara, kota jakarta selatan",ChIJCZIzrZ_xaS4RiJX_wvOeaH4,0
indomaret,4.5,2,-6.2550721,106.7974134,"jl. darmawangsa raya no.125, rt.2, rt.2/rw.1, pulo, kota jakarta selatan",ChIJwX02iFLxaS4RMQgSCQVBeVQ,0
indomaret kh ahcmad dahlan. {twxj},4.1,27,-6.2458778,106.7920332,"qq3r+jrr, jalan kh. achmad dahlan, rt.3/rw.1, kramat pela, kota jakarta selatan",ChIJuxnwDxPxaS4R4BeT2kbalvE,0
indomaret panglima polim 125b t3pi,4,5,-6.2550595,106.7974126,"jl. panglima polim no.125a, rt.2/rw.1, pulo, kota jakarta selatan",ChIJb-Coe5PxaS4Rq13QTJ2nq04,0
indomaret panglima polim 106,4.7,29,-6.2476908,106.7976133,"jl. panglima polim no.107, rw.5, b-c, kota jakarta selatan",ChIJI3U5C2XxaS4RdRRpbU-heos,0
