nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret,3.7,33,-6.2180145,106.7953619,"indomaret, jl. ridwan i no.5, rt.5/rw.7, grogol utara, kota jakarta selatan",ChIJw8ErsUrxaS4RHLDUy4GJLKU,2171.917006326035
indomaret,5.0,1,-6.2321661,106.769049,"jl. h. husin no.7, rt.7/rw.13, grogol sel., kota jakarta selatan",ChIJ7wOa9NjwaS4RlE5wVtVplPI,1220.4160768628913
indomaret kebayoran lama 2 {thc1},3.7,23,-6.218096999999999,106.778701,"jl. raya kby. lama no.27, rt.5/rw.1, grogol utara, kota jakarta selatan",ChIJf6MZFinxaS4RyCeGToSenpA,1334.7041703800203
indomaret kemandoran,4.2,302,-6.2134016,106.7907194,"jl. kemandoran i, rt.5/rw.16, grogol utara, kota jakarta selatan",ChIJNRM7bsn2aS4R8hvF8YZwxCM,2204.4086429746744
indomaret,4.0,1,-6.2444003,106.7725752,"jl. peninggaran raya no.9, rw.11, kby. lama utara, kota jakarta selatan",ChIJSY442R3xaS4RiKFQ5S2VbxE,1789.114468137585
indomaret kebayoran lama 3,4.5,24,-6.2330232,106.7804064,"jl. raya kby. lama no.227, rt.10/rw.1, grogol sel., kota jakarta selatan",ChIJob7ukyTxaS4RigRph3C5HUU,336.45420957188696
indomaret gandaria city,4.4,91,-6.245896699999999,106.78401,"jl. kh. moh. syafi'i hadzami no.45, rt.9/rw.6, kby. lama utara, kota jakarta selatan",ChIJM5u87BDxaS4Rgyv0HFQy6ZY,1820.9961834748851
indomaret panjang cidodol 3,4.4,14,-6.2321222,106.769101,"jl. masjid cidodol rt. 009 / rw. 012 no: 65a, rt.7/rw.9, south grogol, south jakarta city",ChIJGwAAADvxaS4RE8wz9nSvxB4,1213.837937028973
indomaret bungur raya2 {fuff},4.0,18,-6.2450426,106.780055,"jalan bunguran, rt.12/rw.2, kby. lama sel., kota jakarta selatan",ChIJ_46xkBrxaS4ReC4bR5CD23A,1668.014728200762
indomaret kemandoran 8,3.8,35,-6.2131316,106.7865443,"jl. kemandoran viii no.5, rw.11, grogol utara, kota jakarta selatan",ChIJT8mnns72aS4RPfUpbeXysQo,2019.547156040976
indomaret patal senayan,4.1,122,-6.2187177,106.7954941,"jl. patal senayan no.5, rw.7, grogol utara, kota jakarta selatan",ChIJPQAAAM32aS4RcEnvkUaMIR4,2136.4452537146726
indomaret ciputat raya 2,4.4,22,-6.2463603,106.7796743,"jl. raya ciputat, rt.8/rw.4, kby. lama utara, kota jakarta selatan",ChIJfYz0UxrxaS4RDiV8YKP8J24,1814.569710061284
indomaret,4.1,57,-6.2483714,106.7903916,"jl. gandaria 1 no.67, rt.2/rw.8, kramat pela, kota jakarta selatan",ChIJXUBFcBLxaS4RdvT3g4SaRRs,2345.935263983787
indomaret kh ahcmad dahlan. {twxj},4.1,27,-6.2458778,106.7920332,"qq3r+jrr, jalan kh. achmad dahlan, rt.3/rw.1, kramat pela, kota jakarta selatan",ChIJuxnwDxPxaS4R4BeT2kbalvE,2214.64548419784
indomaret kebayoran lama 1,4.2,373,-6.2381749,106.7808075,"jl. raya kby. lama no.4, rt.2/rw.1, kby. lama utara, kota jakarta selatan",ChIJodfvliLxaS4RpMCXWAnHq3Q,910.0293085452322
indomaret spbu ciputat. t04d,4.9,7,-6.2479081,106.7781297,"jl. ciputat raya no.12, rt.8/rw.8, kby. lama utara, kota jakarta selatan",ChIJh3nZSBvxaS4RZ-S7enqBkV0,1995.9443148227404
indomaret kebayoran lama 242,4.5,130,-6.231951899999999,106.7803754,"jl. raya kby. lama no.242, rt.11/rw.1, grogol sel., kota jakarta selatan",ChIJM8eV5iTxaS4RwEvXAASHlko,219.20149289662365
indomaret jalan masjid cidodol,4.3,46,-6.2321668,106.769016,"jl. masjid cidodol no.55-58, rt.7/rw.12, grogol sel., kota jakarta selatan",ChIJJUPMjNjwaS4RdFqvhCYBXTs,1224.0101431666676
indomaret cipulir 1. t2z0,4.2,186,-6.235679999999999,106.7734791,"jl. cipulir i no.4, rt.12/rw.4, cipulir, kota jakarta selatan",ChIJy6BN4CDxaS4RsVFxeRXbZhc,945.357765911789
indomaret ciledug raya 2,4.3,9,-6.238261,106.7717106,"jl. seskoal no.11, rt.8/rw.11, cipulir, kota jakarta selatan",ChIJ6aVHOCDxaS4R6MCZegYiQ0Q,1284.81413152786
"indomaret, blok m square",4.0,1,-6.2443244,106.7993778,"jl. melawai 6 no.3, rw.1, melawai, kota jakarta selatan",ChIJp6k1jNPxaS4RsvpHlCJjam4,2677.005324130012
indomaret gandaria1,4.7,7,-6.2484603,106.7904931,"jl. jatayu no.24, rt.2/rw.3, kramat pela, kota jakarta selatan",ChIJy45QPxLxaS4RZEV6XxuVfK0,2360.0843690442885
indomaret point,4.1,9,-6.236225300000001,106.7826683,"jl. st. no.3, rt.4/rw.1, kby. lama utara, kota jakarta selatan",ChIJEUFZ1DzxaS4RfUdVOuGCFGo,753.3432821065002
indomaret bungur raya 2,4.8,77,-6.2476761,106.7817145,"jl. duku raya no.79-81, rt.14/rw.6, kby. lama utara, kota jakarta selatan",ChIJhV_DfRrxaS4Ry97kNCuA-dY,1971.181525890619
indomaret ulujami,3.9,89,-6.2410821,106.7629435,"jl. ulujami raya no.11, rt.11/rw.5, ulujami, kota jakarta selatan",ChIJ4___P-fwaS4Ra-rEZZq9-CM,2238.763035838276
indomaret assirot,4.3,156,-6.225558899999999,106.7751594,"jl. assirot no.6a, rt.5/rw.5, grogol sel., kota jakarta selatan",ChIJ8VBSPinxaS4Rsng_u-K88hw,721.8046238890017
indomaret panjang cidodol 2 (tg26),3.8,8,-6.227386999999999,106.772065,"qqfc+2rv, jl. panjang cidodol, rt.14/rw.6, grogol sel., kota jakarta selatan",ChIJK5X2RyjxaS4RyPDN-Qxm35w,913.0567971905328
indomaret al mubarok 1,4.6,80,-6.239336199999999,106.7710655,"jl. al mubarok 1 no.14, rt.8/rw.6, cipulir, kota jakarta selatan",ChIJuVSpxN_waS4Rm819BJDCdw0,1420.364277988436
indomaret,5.0,3,-6.2375076,106.7638955,"jl. ciledug raya no.59, rt.1/rw.3, ulujami, kota jakarta selatan",ChIJSaRPzt3waS4R3DqqT8nucVY,1952.2564158721916
indomaret delman utama. {f763},4.0,123,-6.247976299999999,106.7728671,"jl. delman utama, rt.2/rw.11, kby. lama utara, kota jakarta selatan",ChIJR9-Fph3xaS4R5_wCOsFGSn0,2139.5320019687
indomaret peninggaran raya,4.2,18,-6.2443344,106.7725693,"jl. peninggaran raya no.9, kby. lama utara, kota jakarta selatan",ChIJmemSdh7xaS4R82TubBojfuI,1782.8743216383562
kebayoran lama indomaret assirot,4.7,213,-6.2253634,106.7782561,"jl. raya kby. lama no.n 44, rt.7/rw.1, grogol sel., kota jakarta selatan",ChIJeZWj6y7xaS4RkU4hCYZW7ig,550.4587162180873
indomaret melawai 6 no. 17,0.0,0,-6.2443244,106.7993621,"jl. melawai 6 no.17, rt.3/rw.1, melawai, kota jakarta selatan",ChIJZXQ3b1nxaS4RBDCbFsM3GfE,2675.608427233403
indomaret ulujami 2,4.3,106,-6.2475986,106.7632979,"jl. ulujami raya jl. h. buang no.gg, rt.1/rw.7, ulujami, kota jakarta selatan",ChIJ4___P-fwaS4RZ-EO8PKFun8,2677.8419030074624
indomaret panglima polim 106,4.7,29,-6.2476908,106.7976133,"jl. panglima polim no.107, rw.5, b-c, kota jakarta selatan",ChIJI3U5C2XxaS4RdRRpbU-heos,2773.574878461878
indomaret swadarma 2 {tc5e},4.0,98,-6.236108,106.7608682,"jl. swadarma raya blok haji nuh 1 no.9, rt.10/rw.3, ulujami, kota jakarta selatan",ChIJl0Lx7NzwaS4RvKVM6oOutyw,2207.2033393819247
indomaret swadarma 3,5.0,4,-6.233315999999999,106.7605835,"jl. swadarma raya no 26 rt 001 rw 008, rt.11/rw.5, ulujami, south jakarta city",ChIJ4___P-fwaS4R-yxrxTiWMmQ,2163.946790180228
indomaret,4.0,3,-6.2511809,106.7781617,"jl. pahlawan no.2, rw.10, kby. lama utara, kota jakarta selatan",ChIJI231igTxaS4RKIR6Aki7DBw,1674.7452006300489
indomaret radio dalam. t06c,4.2,18,-6.2523025,106.7913861,"jl. radio dalam raya blok haji hamali no.22, rt.1/rw.9, gandaria utara, kota jakarta selatan",ChIJD3ss9gzxaS4RA85t5OGeHsk,2613.642930710801
indomaret sultan iskandar muda,4.2,95,-6.2511828,106.7813003,"jl. sultan iskandar muda no.9, rt.8/rw.1, kby. lama sel., kota jakarta selatan",ChIJ74HObQXxaS4RUip6zNyV5gE,1809.9859025939477
indomaret anggrek petukangan,4.0,10,-6.231106,106.7557339,"jl. anggrek, rt.7/rw.5, petukangan utara, kota jakarta selatan",ChIJz6qqqsnwaS4R5k7p_0d1KX8,2074.0400752256623
indomaret saidi raya,4.2,13,-6.241212699999999,106.7563251,"jl. m.saidi raya no: 62 rt. 009 / rw. 01, petukangan selatan, pasanggrahan, rt.7/rw.5, petukangan sel., kota jakarta selatan",ChIJe35tSOjwaS4R6QeisbhjlkM,1970.45328856986
indomaret,4.7,7,-6.2534879,106.7758737,"jl. bintaro raya no.17, rt.013/rw.10, kby. lama sel., kota jakarta selatan",ChIJY1VVVQTxaS4RtmETuVP403E,1870.4252586779935
indomaret pesanggrahan bintaro,3.6,14,-6.250045900000001,106.7566562,"jl. garuda no.27, rt.5/rw.6, pesanggrahan, kota jakarta selatan",ChIJD9RtOvDwaS4RhDJlnkZFfoE,2380.8574777223894
indomaret damai pesanggrahan,4.2,9,-6.242483699999999,106.7558974,"jl. damai no:71 rt 005/ rw 005, petukangan selatan, pasanggrahan, rt.7/rw.5, south petukangan, south jakarta city",ChIJcwAAAOnwaS4RyejTwt6YERQ,2055.1025021148416
indomaret saidi raya 2. tckr,4.3,121,-6.2451289,106.7569883,"no., jl. m. saidi raya no.54, rt.1/rw.5, petukangan sel., kota jakarta selatan",ChIJAZgxPO_waS4RSgVSHG9MFBc,2055.0376893280645
indomaret ciledug raya. trl0,4.3,256,-6.2364187,106.7579387,"jl. ciledug raya no.51, rt.6/rw.4, petukangan utara, kota jakarta selatan",ChIJCfldOcPwaS4RtrLi0yMazkU,1731.175595899882
indomaret praja dalam k,4.1,17,-6.2505751,106.7834542,"jl. praja dalam k no.18, rt.9/rw.5, kby. lama sel., kota jakarta selatan",ChIJOwAAAAfxaS4RKTnNaZ1qgc4,1878.034718129055
indomaret kostrad pusri,4.8,17,-6.2337088,106.7574351,"jl. kostrad pusri (sp.mitra diskon) no. 2a, petukangan utara, pasanggrahan, rt.2/rw.11, north petukangan, south jakarta city",ChIJz6qqqsnwaS4RAC370aGrhq4,1819.463438934865
indomaret pesanggrahan bintaro (tp12),4.1,20,-6.254884199999999,106.7566629,"jalan uluhjami, rt.12/rw.6, pesanggrahan, rt.12/rw.6, pesanggrahan, rt.12/rw.6, pesanggrahan, kota jakarta selatan",ChIJex_w2-_waS4R6VXC2vkXSFA,2745.455620935215
indomaret swadarma 1. texu,4.5,60,-6.228395799999999,106.7606678,"qqc6+j7v, jl. swadarma raya, rt.1/rw.2, ulujami, kota jakarta selatan",ChIJOwckatDwaS4RpIzxDLhO1EM,1708.609262679022
indomaret pesanggrahan permai,3.9,15,-6.237529299999999,106.7545527,"jl. pesanggrahan iv, rt.1/rw.7, petukangan sel., kota jakarta selatan",ChIJz6qqqsnwaS4RxD9ldK9oKKo,2106.353595343525
indomaret palem raya. fgul,4.4,97,-6.2262773,106.7574534,"jl. palem raya no.3, petukangan utara, kota jakarta selatan",ChIJH36UOM7waS4RPJe-iO0msh0,2134.916163410666
"indomaret, taman alfa indah. t039",4.4,163,-6.2241206,106.7548738,"jl. taman alfa indah blok k. 1 no.46-47, rt.10/rw.7, petukangan utara, kota jakarta selatan",ChIJe6ZjJMzwaS4RkAqiCOaJD-E,2505.2969134909818
indomaret fatmawati 33d,5.0,1,-6.2664857,106.7975475,"rt 03 no, jl. rs. fatmawati raya no.33c, rt.2/rw.2, gandaria sel., kota jakarta selatan",ChIJsZgWTnXxaS4R_vrbAMPG_9c,2343.2648904094326
indomaret,4.6,43,-6.2627085,106.7887445,"jl. radio dalam raya no.12a, rt.7/rw.10, gandaria utara, kota jakarta selatan",ChIJvygfS6HxaS4RL3sTDNNU6fY,1939.753860381704
indomaret,4.3,7,-6.2774015,106.7765376,"pertokoan taman hijau baru, jalan bukit hijau 1 no. 14, pondok pinang, kebayoran lama, rt.1/rw.13, pd. pinang, kota jakarta selatan",ChIJkx-NPnL4aS4RDbS5_c6xsp4,327.0358370779594
indomaret,4.7,3,-6.278223100000001,106.797096,"jl. rs. fatmawati raya no.7, rt.8/rw.6, gandaria sel., kota jakarta selatan",ChIJzVqDlcTxaS4Rwlnqrz5hXbo,1947.0883320995404
indomaret,4.3,42,-6.2857772,106.7808844,"pq7j+p92, jl. metro pondok indah, rt.3/rw.14, pd. pinang, kota jakarta selatan",ChIJLWcbOM_xaS4RIMEFJuZjRvY,929.5594213425264
indomaret,0.0,0,-6.2910563,106.7949517,"jl. pejaten raya no.19 a, rt.18/rw.2, jati padang, kota jakarta selatan",ChIJZW196Q7xaS4R95E7nWT6Da4,2276.0610644513185
indomaret ciputat raya 4,4.1,18,-6.2829641,106.7806074,"jl. ciputat raya no.4, rt.9/rw.2, pd. pinang, kota jakarta selatan",ChIJd-fx6q3xaS4RLtxCS_G0RvY,616.3770849269581
indomaret - plaza satu pondok indah,4.2,9,-6.2843295,106.7811145,"jl. taman duta i no.7, rt.4/rw.14, pd. pinang, kota jakarta selatan",ChIJn2i-wMjxaS4RporVNR8Svs0,776.728000898538
indomaret spbu terogong,4.8,8,-6.2821542,106.7916131,"jl. terogong raya no.16, rt.10/rw.10, cilandak bar., kota jakarta selatan",ChIJj-UaO5zxaS4RHGBB4QPZ-0Y,1434.7458395970368
indomaret ciputat raya 1 {ttdq},4.6,7,-6.269582199999999,106.7748789,"jl. ciputat raya no.1 3 11, rt.3/rw.11, pd. pinang, kota jakarta selatan",ChIJY-C-8sPxaS4RnTlXQJ-0AgA,1020.6297861216068
indomaret pondok pinang,4.4,131,-6.277701,106.7728599,"jl. ciputat raya no.9, rt.1/rw.7, pd. pinang, kota jakarta selatan",ChIJFzBJ_bTxaS4R8JON9mw_ULs,733.4397807045632
