nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret fatmawati 33d,5,1,-6.2664857,106.7975475,"rt 03 no, jl. rs. fatmawati raya no.33c, rt.2/rw.2, gandaria sel., kota jakarta selatan",ChIJsZgWTnXxaS4R_vrbAMPG_9c,2343.2648904094326
indomaret,4.6,43,-6.2627085,106.7887445,"jl. radio dalam raya no.12a, rt.7/rw.10, gandaria utara, kota jakarta selatan",ChIJvygfS6HxaS4RL3sTDNNU6fY,1939.7538603817036
indomaret,4.3,7,-6.2774015,106.7765376,"pertokoan taman hijau baru, jalan bukit hijau 1 no. 14, pondok pinang, kebayoran lama, rt.1/rw.13, pd. pinang, kota jakarta selatan",ChIJkx-NPnL4aS4RDbS5_c6xsp4,327.0358370779594
indomaret,4.7,3,-6.278223100000001,106.797096,"jl. rs. fatmawati raya no.7, rt.8/rw.6, gandaria sel., kota jakarta selatan",ChIJzVqDlcTxaS4Rwlnqrz5hXbo,1947.0883320995404
indomaret,4.3,42,-6.2857772,106.7808844,"pq7j+p92, jl. metro pondok indah, rt.3/rw.14, pd. pinang, kota jakarta selatan",ChIJLWcbOM_xaS4RIMEFJuZjRvY,929.5594213425265
indomaret,0,0,-6.2910563,106.7949517,"jl. pejaten raya no.19 a, rt.18/rw.2, jati padang, kota jakarta selatan",ChIJZW196Q7xaS4R95E7nWT6Da4,2276.0610644513185
indomaret ciputat raya 4,4.1,18,-6.2829641,106.7806074,"jl. ciputat raya no.4, rt.9/rw.2, pd. pinang, kota jakarta selatan",ChIJd-fx6q3xaS4RLtxCS_G0RvY,616.3770849269581
indomaret - plaza satu pondok indah,4.2,9,-6.2843295,106.7811145,"jl. taman duta i no.7, rt.4/rw.14, pd. pinang, kota jakarta selatan",ChIJn2i-wMjxaS4RporVNR8Svs0,776.728000898538
indomaret spbu terogong,4.8,8,-6.2821542,106.7916131,"jl. terogong raya no.16, rt.10/rw.10, cilandak bar., kota jakarta selatan",ChIJj-UaO5zxaS4RHGBB4QPZ-0Y,1434.7458395970368
indomaret ciputat raya 1 {ttdq},4.6,7,-6.269582199999999,106.7748789,"jl. ciputat raya no.1 3 11, rt.3/rw.11, pd. pinang, kota jakarta selatan",ChIJY-C-8sPxaS4RnTlXQJ-0AgA,1020.6297861216068
indomaret pondok pinang,4.4,131,-6.277701,106.7728599,"jl. ciputat raya no.9, rt.1/rw.7, pd. pinang, kota jakarta selatan",ChIJFzBJ_bTxaS4R8JON9mw_ULs,733.4397807045632
indomaret fatmawati raya,4.2,18,-6.2695941,106.7975764,"jl. rs. fatmawati raya no.27, rt.1/rw.5, cipete sel., kota jakarta selatan",ChIJDwAAAJHxaS4RELZlVPfYtVg,2184.937757022388
indomaret kesehatan bintar,5,2,-6.267895800000001,106.7617975,"jl. kesehatan raya no.12, rt.10/rw.6, 11, bintaro, kota jakarta selatan",ChIJt____1DwaS4RX_eDTTWVP_k,2230.2251127225436
indomaret ciputat raya 5,4,1,-6.2776029,106.7794317,"jl. ciputat raya no.01, rt.11/rw.15, pd. pinang, kota jakarta selatan",ChIJE1VVVbbxaS4R4pD7bmqkkgI,10.380920297365629
