nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret grand wijaya. t98c,4.2,55,-6.2532473,106.7993526,"grand wijaya blok b10, jl. wijaya ii, rt.6/rw.1, pulo, kota jakarta selatan",ChIJT8Q48HPxaS4RHGBGXmOUqp0,1738.4751883155159
indomaret kemang mampang tjkc,3.4,16,-6.2555529,106.8123381,"jl. kemang raya no.15, rt.13/rw.1, bangka, kota jakarta selatan",ChIJN7p70X7xaS4R6VpOujMI_Wo,598.2266034178328
"indomaret, blok m square",4,1,-6.2443244,106.7993778,"jl. melawai 6 no.3, rw.1, melawai, kota jakarta selatan",ChIJp6k1jNPxaS4RsvpHlCJjam4,1859.797296154257
indomaret fatmawati 33d,5,1,-6.2664857,106.7975475,"rt 03 no, jl. rs. fatmawati raya no.33c, rt.2/rw.2, gandaria sel., kota jakarta selatan",ChIJsZgWTnXxaS4R_vrbAMPG_9c,2590.928794050935
indomaret,4.5,2,-6.2550721,106.7974134,"jl. darmawangsa raya no.125, rt.2, rt.2/rw.1, pulo, kota jakarta selatan",ChIJwX02iFLxaS4RMQgSCQVBeVQ,1988.879731780649
indomaret panglima polim - blok a,4,29,-6.2576762,106.7967995,"jl. rs. fatmawati raya no.1, gandaria utara, kota jakarta selatan",ChIJCZIzrZ_xaS4RiJX_wvOeaH4,2140.2887440966247
indomaret melawai iv no 52,5,2,-6.2454911,106.80124,"3, jl. melawai iv no.52, rw.1, melawai, kota jakarta selatan",ChIJaWy44RjxaS4RORWqDRtDtk0,1620.2535307019402
indomaret kemang timur raya {t01a},4,13,-6.2681964,106.8239824,"jalan kemang timur, rt.7/rw.3, bangka, mampang prapatan, rt.7/rw.3, bangka, kota jakarta selatan",ChIJ89CaVi_yaS4Rmq471uckjw0,2179.2647216934956
indomaret cikajang. f4o3,3.8,33,-6.2394178,106.8107532,"1, jl. cikajang no.1, rt.1/rw.5, petogogan, kota jakarta selatan",ChIJC8mjQGfxaS4RkOquMhj4bMM,1346.408644564498
indomaret hasanudin 57,4,4,-6.2425243,106.8022062,"jl. sultan hasanudin no.53, rt.2/rw.1, melawai, kota jakarta selatan",ChIJ-ZfljI_xaS4RYqEvAOKUxi0,1677.2817974732382
indomaret,4,1,-6.2460531,106.8074507,"jl. wijaya iv no.73, rt.10/rw.1, petogogan, kota jakarta selatan",ChIJLaYz6kXxaS4R23ofLaT83us,977.379348850501
indomaret,3.6,10,-6.2627434,106.830664,"jl. warung buncit raya no.1 a, rt.5/rw.3, kalibata, kota jakarta selatan",ChIJ420LHDLyaS4RhHEuu5hwBX8,2191.4100745333917
indomaret,2.3,3,-6.248328,106.8240323,"jl. mampang prapatan vii no.1, rw.3, tegal parang, kota jakarta selatan",ChIJJXUTrNDzaS4RJSFdr933enM,1047.6945837406502
indomaret point,0,0,-6.2440509,106.8161762,"jl. bangka raya no.25, rw.2, pela mampang, kota jakarta selatan",ChIJNW2A01zxaS4RylvPeD8BOB4,764.6661341560418
indomaret kemang utara. tc87,4.4,18,-6.2541381,106.8269373,"jl. kemang utara ix no.1, rt.2/rw.5, duren tiga, kota jakarta selatan",ChIJhxAVNdLzaS4RE36ihgryocM,1382.398945895889
indomaret,0,0,-6.247488499999999,106.8149378,"jl. bangka iig no.11, rw.11, pela mampang, kota jakarta selatan",ChIJ-bHiAPTxaS4RQJ3di8P7F2g,369.08656739047456
indomaret point,3.3,3,-6.2331067,106.8230684,"patra jasa, jl. gatot subroto, rt.6/rw.3, kuningan, kuningan tim., kota jakarta selatan",ChIJpbNXVUrzaS4Rt_lHfKPzCKM,2166.005526446316
indomaret dan fotocopi,5,1,-6.2393471,106.8107088,"qr66+777, rt.1/rw.5, petogogan, south jakarta city",ChIJeSJcQGfxaS4RjSDS5V3D1ZY,1355.4706908663068
indomaret tegal parang 2. ts86,3.9,33,-6.2441983,106.8324248,"jl. tegal parang utara no.35, rt.7/rw.4, mampang prpt., kota jakarta selatan",ChIJF1D19sTzaS4Rw9CnBydlgJM,2073.0680889956693
indomaret,0,0,-6.26411,106.7988205,"pqpx+9g4, unnamed road, rt.1/rw.5, north cipete, south jakarta city",ChIJF69gRyfxaS4R72RSYGIDZyU,2311.289454449728
indomaret mampang 8. t5wi,3.9,17,-6.2477205,106.8306366,"jalan mampang prapatan viii, rt.03 / rw.02, tegal parang, mampang prapatan, rt.3/rw.2, tegal parang, kota jakarta selatan",ChIJ_xUj9s_zaS4RuolU_sbnxqY,1774.290395309705
indomaret,4.4,243,-6.2518104,106.8145478,"jl. bangka raya no.105, rt.1/rw.12, pela mampang, kota jakarta selatan",ChIJ0dTG_nzxaS4RT0V7owX_qpg,117.69386215546832
indomaret birah senayan,4.1,168,-6.2353007,106.8152731,"no.13, jl. birah i no.1, rt.5/rw.6, rw. bar., kota jakarta selatan",ChIJkYWOBl_xaS4RmTTy6oeqFXc,1724.7943757373475
indomaret spbu kemang,4.5,98,-6.2668841,106.8157034,"spbu kemang, jl. kemang raya no.7, rw.2, bangka, kota jakarta selatan",ChIJXaV9uofxaS4R737kEcz9UiE,1789.9210560892805
indomaret tegal parang. t986,4.1,9,-6.2464648,106.8322217,"qr3j+cw7, jl. tegal parang, rt.7/rw.5, tegal parang, kota jakarta selatan",ChIJezNcc8XzaS4RsQx_12LcMCA,1975.8939828810708
indomaret ciputat raya 2a -b,0,0,-6.239546799999999,106.8263501,"jl. kapten tendean no.34, rt.9/rw.2, kuningan bar., kota jakarta selatan",ChIJR3Z58xPzaS4Rv46cCQ_1uvk,1781.303518461899
indomaret melawai 6 no. 17,0,0,-6.2443244,106.7993621,"jl. melawai 6 no.17, rt.3/rw.1, melawai, kota jakarta selatan",ChIJZXQ3b1nxaS4RBDCbFsM3GfE,1861.3971444961098
indomaret buncit warung jati. {t8nd},4.4,206,-6.262678699999999,106.8306876,"jl. kalibata tengah xvi no.1, rt.5/rw.9, kalibata, kota jakarta selatan",ChIJcTAiHDLyaS4R0aVLrIbKjmg,2189.1408420898915
indomaret warung jati,5,1,-6.2613007,106.8289744,"jl. warung buncit raya no.25, rt.7/rw.3, kalibata, kota jakarta selatan",ChIJSXpPIvDzaS4RKSuxd1gXm2Q,1945.6994473520301
