nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret,4,3,-6.2511809,106.7781617,"jl. pahlawan no.2, rw.10, kby. lama utara, kota jakarta selatan",ChIJI231igTxaS4RKIR6Aki7DBw,2592.3432476648136
indomaret ciputat raya ta3p,4.3,59,-6.2585712,106.7773998,"jl. ciputat raya no.35, rw.10, kby. lama sel., kota jakarta selatan",ChIJd734LwfxaS4R9GSRMspZ-XE,2011.39266611658
indomaret rawa papan,4.1,87,-6.2683369,106.7576132,"jl. rw. papan no.11, rt.5/rw.6, bintaro, kota jakarta selatan",ChIJjV_Ni1rwaS4RQfj-56QgK9w,465.3428424313068
indomaret,4.3,7,-6.2774015,106.7765376,"pertokoan taman hijau baru, jalan bukit hijau 1 no. 14, pondok pinang, kebayoran lama, rt.1/rw.13, pd. pinang, kota jakarta selatan",ChIJkx-NPnL4aS4RDbS5_c6xsp4,1942.7724498914417
indomaret bintaro graha,4.3,18,-6.2573003,106.7640903,"jl. bintaro permai, rt.2/rw.9, bintaro, kota jakarta selatan",ChIJt____1DwaS4RKkfX8UBEtdo,1203.648896049609
indomaret ciputat raya 1 {ttdq},4.6,7,-6.269582199999999,106.7748789,"jl. ciputat raya no.1 3 11, rt.3/rw.11, pd. pinang, kota jakarta selatan",ChIJY-C-8sPxaS4RnTlXQJ-0AgA,1458.0913163375983
indomaret,4.3,10,-6.2724123,106.7527205,"jl. bintaro utama i no.kav 9, rt.4/rw.8, bintaro, kota jakarta selatan",ChIJq8HgY0PwaS4R5UY58R60CRk,1122.7089892371582
indomaret pondok pinang,4.4,131,-6.277701,106.7728599,"jl. ciputat raya no.9, rt.1/rw.7, pd. pinang, kota jakarta selatan",ChIJFzBJ_bTxaS4R8JON9mw_ULs,1639.133909786348
indomaret kesehatan bintar,5,2,-6.267895800000001,106.7617975,"jl. kesehatan raya no.12, rt.10/rw.6, 11, bintaro, kota jakarta selatan",ChIJt____1DwaS4RX_eDTTWVP_k,1.4822364468545643
indomaret ciputat raya 5,4,1,-6.2776029,106.7794317,"jl. ciputat raya no.01, rt.11/rw.15, pd. pinang, kota jakarta selatan",ChIJE1VVVbbxaS4R4pD7bmqkkgI,2228.6431993035817
indomaret ciputat raya 5,4,27,-6.2711724,106.7755201,"indomaret, jl. ciputat raya no.5, rt.1/rw.6, pd. pinang, kota jakarta selatan",ChIJmeRBFrLxaS4RmHuZnxbwxI8,1560.1546635219022
indomaret kodam bintaro,4.4,82,-6.2590333,106.7597615,"pqr5+9wp, jl. bintaro permai, rt.4/rw.3, pesanggrahan, kota jakarta selatan",ChIJs2ElFvjwaS4RxGz06AXOrTg,1009.4156703989223
indomaret bintaro mulia.,2,2,-6.2609562,106.7672112,"jl. rc. veteran raya no.2, rt.10/rw.10, bintaro, kota jakarta selatan",ChIJcQydolXwaS4RhUhvgR38H7M,975.2461054214025
indomaret,4.7,7,-6.2534879,106.7758737,"jl. bintaro raya no.17, rt.013/rw.10, kby. lama sel., kota jakarta selatan",ChIJY1VVVQTxaS4RtmETuVP403E,2232.1218742507886
indomaret (bintaro utama),4.9,8,-6.2710224,106.7578861,"jl. taman bintaro no.194, rt.8/rw.11, bintaro, kota jakarta selatan",ChIJtXtyLz_xaS4RNegL6qVJ54I,555.7810993212336
indomaret ciputat 18,4.1,69,-6.2638128,106.7750009,"pqpg+f2c, jl. raya ciputat, rt.6/rw.1, pd. pinang, kota jakarta selatan",ChIJQzFdk6vxaS4Ri6I1vWvx4_s,1527.8387814461876
indomaret h. muhi,4.2,70,-6.2666653,106.7706362,"jl. haji muhi raya, rt.10/rw.4, pondok pinang, kebayoran lama, jl. h. muhi raya no.39, rt.10/rw.4, pd. pinang, kota jakarta selatan",ChIJTfxSM1PwaS4RgYyvQDCry1A,986.1785069311666
indomaret pesanggrahan bintaro,3.6,14,-6.250045900000001,106.7566562,"jl. garuda no.27, rt.5/rw.6, pesanggrahan, kota jakarta selatan",ChIJD9RtOvDwaS4RhDJlnkZFfoE,2063.1773886981405
