nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret anggrek petukangan,4,10,-6.231106,106.7557339,"jl. anggrek, rt.7/rw.5, petukangan utara, kota jakarta selatan",ChIJz6qqqsnwaS4R5k7p_0d1KX8,757.9558503912186
indomaret ciledug petukangan,4.5,30,-6.236263,106.74756,"jl. ciledug raya no.6b, rt.10/rw.2, petukangan utara, kota jakarta selatan",ChIJzQet4L7waS4RFeApilyOjfw,1025.686047024871
indomaret saidi raya,4.2,13,-6.241212699999999,106.7563251,"jl. m.saidi raya no: 62 rt. 009 / rw. 01, petukangan selatan, pasanggrahan, rt.7/rw.5, petukangan sel., kota jakarta selatan",ChIJe35tSOjwaS4R6QeisbhjlkM,1691.0705418688167
indomaret,3,2,-6.228463899999999,106.7470185,"jl. h. muchtar raya no.1, rw.11, petukangan utara, kota jakarta selatan",ChIJ91a9IMjwaS4RIcKoAkrR_dM,351.7883453380923
indomaret pesanggrahan permai,3.9,15,-6.237529299999999,106.7545527,"jl. pesanggrahan iv, rt.1/rw.7, petukangan sel., kota jakarta selatan",ChIJz6qqqsnwaS4RxD9ldK9oKKo,1237.175044108805
indomaret darul fallah 2,4.5,238,-6.235983099999999,106.7512009,"jl. masjid darul falah no.13, rw.2, petukangan utara, kota jakarta selatan",ChIJgQybDsHwaS4R6ga_XdZJ78Q,967.5020061473589
indomaret swadarma 2 {tc5e},4,98,-6.236108,106.7608682,"jl. swadarma raya blok haji nuh 1 no.9, rt.10/rw.3, ulujami, kota jakarta selatan",ChIJl0Lx7NzwaS4RvKVM6oOutyw,1545.2838747637531
indomaret,5,1,-6.2321661,106.769049,"jl. h. husin no.7, rt.7/rw.13, grogol sel., kota jakarta selatan",ChIJ7wOa9NjwaS4RlE5wVtVplPI,2172.0259417252696
indomaret damai pesanggrahan,4.2,9,-6.242483699999999,106.7558974,"jl. damai no:71 rt 005/ rw 005, petukangan selatan, pasanggrahan, rt.7/rw.5, south petukangan, south jakarta city",ChIJcwAAAOnwaS4RyejTwt6YERQ,1803.0832453151386
indomaret,5,1,-6.242818199999999,106.7519549,"jl. kemajuan no.40, rw.2, petukangan sel., kota jakarta selatan",ChIJZetr6vrxaS4RsX9Sa2zGjK0,1731.918645588591
indomaret swadarma 3,5,4,-6.233315999999999,106.7605835,"jl. swadarma raya no 26 rt 001 rw 008, rt.11/rw.5, ulujami, south jakarta city",ChIJ4___P-fwaS4R-yxrxTiWMmQ,1343.869973103252
indomaret ciledug sangrilla,4,1,-6.2366825,106.7501446,"jl. ciledug raya no.12a, petukangan selatan, pesanggrahan, rt.1/rw.3, south petukangan, south jakarta city",ChIJbfGEHcHwaS4RxKnoSu1bIxk,1036.2792856028823
indomaret saidi raya 2. tckr,4.3,121,-6.2451289,106.7569883,"no., jl. m. saidi raya no.54, rt.1/rw.5, petukangan sel., kota jakarta selatan",ChIJAZgxPO_waS4RSgVSHG9MFBc,2120.9238343433144
indomaret ciledug raya. trl0,4.3,256,-6.2364187,106.7579387,"jl. ciledug raya no.51, rt.6/rw.4, petukangan utara, kota jakarta selatan",ChIJCfldOcPwaS4RtrLi0yMazkU,1335.3916961446919
indomaret raya muchtar. tp70,4.5,178,-6.228802099999999,106.7468449,"jl. h. muchtar raya no.9a, rt.6/rw.1, petukangan utara, kota jakarta selatan",ChIJG6pO37fwaS4RdYDjCTDUWMc,383.9200158170139
indomaret ulujami,3.9,89,-6.2410821,106.7629435,"jl. ulujami raya no.11, rt.11/rw.5, ulujami, kota jakarta selatan",ChIJ4___P-fwaS4Ra-rEZZq9-CM,2091.1716007508558
indomaret amd muchtar,4.3,82,-6.226289899999999,106.7402377,"qpfr+f3q, jl. h. muchtar raya, rt.003/rw.006, petukangan utara, kota jakarta selatan",ChIJeVMAR7HwaS4R4srJiyc2f4c,1085.9806631145925
"indomaret, taman alfa indah. t039",4.4,163,-6.2241206,106.7548738,"jl. taman alfa indah blok k. 1 no.46-47, rt.10/rw.7, petukangan utara, kota jakarta selatan",ChIJe6ZjJMzwaS4RkAqiCOaJD-E,648.0945279240423
indomaret,5,3,-6.2375076,106.7638955,"jl. ciledug raya no.59, rt.1/rw.3, ulujami, kota jakarta selatan",ChIJSaRPzt3waS4R3DqqT8nucVY,1905.4022810848687
indomaret kostrad pusri,4.8,17,-6.2337088,106.7574351,"jl. kostrad pusri (sp.mitra diskon) no. 2a, petukangan utara, pasanggrahan, rt.2/rw.11, north petukangan, south jakarta city",ChIJz6qqqsnwaS4RAC370aGrhq4,1082.9285957451884
indomaret amd manunggal,4.4,209,-6.2303346,106.7508204,"jl. amd manunggal v no.2, rw.10, petukangan utara, kota jakarta selatan",ChIJr5QeJsbwaS4RabTVm0qv1rA,342.4547713007266
indomaret plus,0,0,-6.2240492,106.7547125,"jl. taman alfa indah no.10, rw.7, petukangan utara, kota jakarta selatan",ChIJKxJkI8zwaS4RTDk1MNNsXKU,637.9125987147381
muchtar indomaret kingdom 2. fvpx,3.8,19,-6.230582300000001,106.7456635,"jl. h. muchtar raya no.01, rt.5/rw.1, petukangan utara, kota jakarta selatan",ChIJr4-HGLjwaS4Ragtsic4Yjus,598.4122996678192
indomaret darul fallah tp13,4.4,159,-6.2333969,106.7515457,"jl. mesjid darul falah no.29d, rt.4/rw.2, petukangan utara, kota jakarta selatan",ChIJV2qZoMXwaS4RiQyhGgeG1xQ,692.1667615282589
indomaret panjang cidodol 3,4.4,14,-6.2321222,106.769101,"jl. masjid cidodol rt. 009 / rw. 012 no: 65a, rt.7/rw.9, south grogol, south jakarta city",ChIJGwAAADvxaS4RE8wz9nSvxB4,2176.4062731783483
indomaret swadarma 1. texu,4.5,60,-6.228395799999999,106.7606678,"qqc6+j7v, jl. swadarma raya, rt.1/rw.2, ulujami, kota jakarta selatan",ChIJOwckatDwaS4RpIzxDLhO1EM,1184.4983518623205
indomaret inpres pertukangan. txtt,4,7,-6.2431066,106.7485969,"no., jl. inpres no.54, rt.14/rw.2, petukangan sel., kota jakarta selatan",ChIJawlqH-vwaS4ROFHJDR7K8YI,1757.3703024627348
indomaret jalan masjid cidodol,4.3,46,-6.2321668,106.769016,"jl. masjid cidodol no.55-58, rt.7/rw.12, grogol sel., kota jakarta selatan",ChIJJUPMjNjwaS4RdFqvhCYBXTs,2168.509467929202
