nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret asem baris,4.1,23,-6.2389963,106.8602569,"jl. asem baris raya no.1, rt.6/rw.13, kb. baru, kota jakarta selatan",ChIJuZeA4KHzaS4RO8kOMnZzjnw,0
indomaret tebet timur dalam raya,4.4,11,-6.236383699999999,106.8568272,"jl. tebet timur dalam raya no.29, rt.11/rw.7, tebet tim., kota jakarta selatan",ChIJzddog5jzaS4RM7Gl9dS3Gbs,0
indomaret lapangan tembak 3,4,1,-6.2402503,106.8557039,"jl. lapangan tembak no. 08 rt. 02 rw. 10, rt.1/rw.8, east tebet, south jakarta city",ChIJE3_-BaPzaS4Rs0YHJv9N4H0,0
indomaret tebet barat raya,4.4,15,-6.2383118,106.850335,"jl. tebet barat ix no.20, rt.5/rw.4, tebet bar., kota jakarta selatan",ChIJBxrDu73zaS4R_jKixhfyWEE,0
indomaret tebet raya,4.3,37,-6.230342299999999,106.8514366,"jl. tebet raya no.30 a, rt.2/rw.2, tebet bar., kota jakarta selatan",ChIJV7cl6pDzaS4RnpIsEEg4Wik,0
indomaret mt haryono,4.3,3,-6.2422974,106.8551682,"menara mt. haryono, jl. mt. haryono kav 23, rt.12/rw.5, tebet timur, tebet, rt.10/rw.9, tebet tim., kota jakarta selatan",ChIJHQAAwJnzaS4RX1MjemHCBZM,0
indomaret plus tebet timur dalam,4.5,255,-6.2403194,106.8557598,"jl. tebet timur raya no.29, rt.1/rw.8, tebet tim., kota jakarta selatan",ChIJWRooDKPzaS4R-oR5GrizSpE,0
indomaret signature park,4.3,3,-6.242484,106.854727,"mt haryono st no.10, rw.9, east tebet, south jakarta city",ChIJ71RBBiPzaS4RzLWpLbPWU80,0
indomaret convenience store point,4,25,-6.2048824,106.8226389,"wisma indosemen lantai gf/annex kav. 70-71, jl. jenderal sudirman, rt.3/rw.3, kuningan, setia budi, kota jakarta selatan",ChIJJ5m3hBz0aS4RBJ9_gwBC4gk,0
indomaret point stasiun mrt dukuh atas,5,1,-6.201634599999999,106.822607,"qrxf+82w, taman dukuh atas jl. jenderal sudirman, rt.10/rw.20, kebon melati, central jakarta city",ChIJ_ZiOif71aS4RT1bOaYGVvB8,0
indomaret (tokx),0,0,-6.206626099999999,106.8267823,"jl. setia budi viii no.10, rt.2/rw.3, kuningan, setia budi, kota jakarta selatan",ChIJq1gLE__1aS4RWeHN-mgTXGM,0
indomaret ruko sudirman park,4.6,31,-6.205504599999999,106.817375,"ruko sudirman park blok b no. 3, rt.12/rw.11, karet tengsin, central jakarta city",ChIJtbBKIBn3aS4RDILdRYO1-O4,0
