nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret,0,0,-6.214337,106.8312134,"wisma budi, jl. h. r. rasuna said no.3, rt.3/rw.1, karet, kota jakarta selatan",ChIJVwsQapH1aS4RRn0qO3oi72c,1818.559325683192
indomaret setiabudi 17 ttap,4.7,9,-6.2104472,106.8230337,"jl. setiabudi raya no.17, rt.2/rw.2, kuningan, karet kuningan, kota jakarta selatan",ChIJT8CQPFb1aS4RK8qucus35Ww,1421.2911759303265
indomaret,4.3,3,-6.2167127,106.8127242,"qrm7+835, rt.5/rw.2, bendungan hilir, central jakarta city",ChIJTQh2UKv2aS4RKQet6SZxwrg,656.0851152074301
indomaret cikajang. f4o3,3.8,33,-6.2394178,106.8107532,"1, jl. cikajang no.1, rt.1/rw.5, petogogan, kota jakarta selatan",ChIJC8mjQGfxaS4RkOquMhj4bMM,2099.993456196338
indomaret menara kuningan,5,2,-6.2186328,106.8300399,"6, jl. denpasar no.7, rt.6/rw.7, kuningan, karet kuningan, kota jakarta selatan",ChIJX77vnO3zaS4RglK4CERSUh4,1542.2978670452585
indomaret guru mughni,4.1,41,-6.2269641,106.8213717,"jalan guru mughni no. c4, karet semanggi, setiabudi, rt.5/rw.2, karet semanggi, rt.5/rw.2, karet semanggi, kota jakarta selatan",ChIJ4T8PLOPzaS4RQDVcYaC-IGg,832.4134461056851
indomaret dr satrio 289,4.6,13,-6.2177327,106.8196168,"jalan professor doktor satrio no.289, karet kuningan, setiabudi rt.1/rw.1, kuningan, rt.1/rw.1, kuningan, karet kuningan, south jakarta city",ChIJf1IrAD3zaS4RP2uQZVJc8jY,541.6097440478568
indomaret plus,4,88,-6.2212663,106.8270455,"jl. karet pedurenan no.68a, rt.9/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJFwAAAPnzaS4RSejras5dRMU,1180.9289567848139
indomaret point mrt istora mandiri,3.7,6,-6.2225424,106.8086237,"istora mrt station, jl. jenderal sudirman, rt.1/rw.3, gelora, central jakarta city",ChIJQc2OjQzxaS4RfqiyqqO_NCw,865.2865853013968
indomaret point,3.3,3,-6.2331067,106.8230684,"patra jasa, jl. gatot subroto, rt.6/rw.3, kuningan, kuningan tim., kota jakarta selatan",ChIJpbNXVUrzaS4Rt_lHfKPzCKM,1500.4644538496154
indomaret dan fotocopi,5,1,-6.2393471,106.8107088,"qr66+777, rt.1/rw.5, petogogan, south jakarta city",ChIJeSJcQGfxaS4RjSDS5V3D1ZY,2093.943418452382
indomaret itc kuningan,0,0,-6.2235581,106.8259947,"jl. prof. dr. satrio no.18, rt.11/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJDW3h1JDzaS4R8CQ1sNCxq94,1092.0522792688364
indomaret pedurenan,4.4,99,-6.2222333,106.8261754,"jl. pedurenan masjid iii no.50, rt.8/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJjyTKfPnzaS4RmgahJeqJgd8,1088.8843742599763
indomaret birah senayan,4.1,168,-6.2353007,106.8152731,"no.13, jl. birah i no.1, rt.5/rw.6, rw. bar., kota jakarta selatan",ChIJkYWOBl_xaS4RmTTy6oeqFXc,1553.2359589566297
indomaret plus,0,0,-6.208247399999999,106.8327765,"qrrm+p42, rt.8/rw.2, guntur, south jakarta city",ChIJZU13Dof1aS4RXIGm2TLCTWY,2328.6413520880724
indomaret permata kuningan,3,7,-6.2123971,106.8336757,"jalan kuningan mulia kav. 9c, kel. guntur, kec. setiabudi, rt.6/rw.1, menteng atas, rt.6/rw.1, menteng atas, kota jakarta selatan",ChIJw___Pw70aS4RWR0PfuJ3EbQ,2158.473092082727
indomaret (tokx),0,0,-6.206626099999999,106.8267823,"jl. setia budi viii no.10, rt.2/rw.3, kuningan, setia budi, kota jakarta selatan",ChIJq1gLE__1aS4RWeHN-mgTXGM,2003.9822550628965
indomaret ciputat raya 2a -b,0,0,-6.239546799999999,106.8263501,"jl. kapten tendean no.34, rt.9/rw.2, kuningan bar., kota jakarta selatan",ChIJR3Z58xPzaS4Rv46cCQ_1uvk,2302.6101282033214
indomaret point,4.1,27,-6.2196818,106.8020245,"gelora bung karno sports complex, jl. lkr. gelora no.1, rt.1/rw.3, gelora, central jakarta city",ChIJIfE3F33xaS4RJbkMNxv6FZs,1596.0940636306982
indomaret convenience store point,4,25,-6.2048824,106.8226389,"wisma indosemen lantai gf/annex kav. 70-71, jl. jenderal sudirman, rt.3/rw.3, kuningan, setia budi, kota jakarta selatan",ChIJJ5m3hBz0aS4RBJ9_gwBC4gk,1960.6550372434178
indomaret bek murad fz7m,4.2,36,-6.216343999999999,106.8201923,"jl. bek murad no.36, rw.1, kuningan, karet kuningan, kota jakarta selatan",ChIJCzDmJsD1aS4RcZY18yQacU8,701.4628880653238
indomaret plaza festival,3.4,10,-6.2212209,106.8328964,"qrhm+g56, rt.2/rw.5, karet kuningan, south jakarta city",ChIJMUTCa23zaS4RHTh8p6ntkmM,1827.7073514699937
indomaret ruko sudirman park,4.6,31,-6.205504599999999,106.817375,"ruko sudirman park blok b no. 3, rt.12/rw.11, karet tengsin, central jakarta city",ChIJtbBKIBn3aS4RDILdRYO1-O4,1768.1652428900618
indomaret direktorat jenderal pajak,4.6,7,-6.2255721,106.8163936,"kompleks kantor pusat djp basement 1, jend. gatot subroto kav 40-42, senayan, kebayoran baru, rt.7/rw.1, senayan, kota jakarta selatan",ChIJdfevp1fxaS4RnmGonsjjpmU,466.79824340916264
indomaret point wisma budi,3.8,5,-6.2141795,106.831199,"jl. hr rasuna said no.kav c5-6, rt.3/rw.1, 10, karet, kota jakarta selatan",ChIJS4y29Aj0aS4Rhsigp-JY_H4,1824.7329063112506
indomaret karbela,4,35,-6.216086199999999,106.8232321,"jl. flamboyan no.1, rt.9/rw.3, kuningan, karet, kota jakarta selatan",ChIJQ7XctwD0aS4RfpVYI5dO7Tk,960.3838885117658
indomaret the peak - tapq,0,0,-6.2105197,106.8242588,"qrqf+rj4, the peak jalan setiabudi raya, rt.2/rw.2, kuningan, setia budi, kota jakarta selatan",ChIJ_1BcKv_1aS4Rlooh3g26uJc,1489.4997111731766
indomaret spbu penjernihan,4.6,5,-6.202390299999999,106.8063925,"spbu, jl. penjernihan 1 no.7, rt6/rw6, area, jl. pejompongan raya, rw.8, bendungan hilir, central jakarta city",ChIJu0w9qAv3aS4RkVPqISVW4q0,2381.318493212022
indomaret menara imperium (t7xu),4.6,15,-6.2101278,106.8312488,"menara imperium, jl. h. r. rasuna said no.1, rt.1/rw.6, guntur, kota jakarta selatan",ChIJHYztEg_0aS4RoD35swJ40H4,2066.7835900546775
indomaret,4.3,115,-6.2249707,106.807775,"plaza bapindo kav 54-55 no 54-56, jl. jenderal sudirman, rt.5/rw.3, senayan, kota jakarta selatan",ChIJo4N061HxaS4RLUD76ouW53E,1030.0919883003717
indomaret point stasiun palmerah,2.3,3,-6.2076075,106.7974452,"qqrw+xx4, rt.1/rw.3, gelora, central jakarta city",ChIJzzu5us73aS4ROHqUfE6SxYY,2591.5943901146793
indomaret,4,7,-6.223765999999999,106.826793,"jl. prof. dr. satrio no.63, rt.11/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJq-xEWLDzaS4RO4DqvG3IFd0,1183.2309179110962
