nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret,0,0,-6.214337,106.8312134,"wisma budi, jl. h. r. rasuna said no.3, rt.3/rw.1, karet, kota jakarta selatan",ChIJVwsQapH1aS4RRn0qO3oi72c,1051.604205172186
indomaret dr. saharjo,4.2,16,-6.2160036,106.8440714,"jl. dr. saharjo no.109, rt.2/rw.10, manggarai sel., kota jakarta selatan",ChIJk___P4nzaS4R-mx5t36xeEE,508.08899463297394
indomaret soepomo,4.1,16,-6.2325019,106.8444327,"qr9v+2q4, jalan dr. soepomo, rt.1/rw.3, menteng dalam, kota jakarta selatan",ChIJw4Qe95TzaS4R4TukR0p9hZk,1681.1251105693996
indomaret setiabudi 17 ttap,4.7,9,-6.2104472,106.8230337,"jl. setiabudi raya no.17, rt.2/rw.2, kuningan, karet kuningan, kota jakarta selatan",ChIJT8CQPFb1aS4RK8qucus35Ww,2053.465986286134
indomaret tebet,4.7,26,-6.2242003,106.8525338,"jl. kh abdullah syafei no.2, rt.12/rw.5, bukit duri, kota jakarta selatan",ChIJndinnI_zaS4RsBdPM7-_7mo,1548.7656636952393
indomaret menteng wadas,3,2,-6.2106207,106.8419454,"jl. menteng wadas timur no.17, rt.1/rw.7, ps. manggis, kota jakarta selatan",ChIJVxLzin71aS4R5ngDmYA-lEM,854.8106726704804
indomaret,4.4,75,-6.216285699999999,106.843786,"qrmv+fgp, rt.1/rw.7, menteng atas, south jakarta city",ChIJE27Ce3X0aS4RwPqn75uJU88,466.0366519160591
indomaret menteng wadas 2,3.8,8,-6.2113933,106.8415987,"jl. menteng wadas timur no.11, rt.8/rw.1, ps. manggis, kota jakarta selatan",ChIJt6qq6gz0aS4Rc32yPpqE5bc,762.09383278064
indomaret menara kuningan,5,2,-6.2186328,106.8300399,"6, jl. denpasar no.7, rt.6/rw.7, kuningan, karet kuningan, kota jakarta selatan",ChIJX77vnO3zaS4RglK4CERSUh4,1098.7360517933014
indomaret abdullah syafei 45c,4.7,6,-6.2258963,106.8575556,"jalan kh. abdullah syafei no.45 1 2, rt.4/rw.1, manggarai sel., kota jakarta selatan",ChIJ63NDeWPzaS4RHVCnhEWtXTU,2131.4550568530867
