nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret,0,0,-6.214337,106.8312134,"wisma budi, jl. h. r. rasuna said no.3, rt.3/rw.1, karet, kota jakarta selatan",ChIJVwsQapH1aS4RRn0qO3oi72c,1289.040506339031
indomaret dr. saharjo,4.2,16,-6.2160036,106.8440714,"jl. dr. saharjo no.109, rt.2/rw.10, manggarai sel., kota jakarta selatan",ChIJk___P4nzaS4R-mx5t36xeEE,822.3725430493881
indomaret tebet,4.7,26,-6.2242003,106.8525338,"jl. kh abdullah syafei no.2, rt.12/rw.5, bukit duri, kota jakarta selatan",ChIJndinnI_zaS4RsBdPM7-_7mo,2075.9196198802856
indomaret menteng wadas,3,2,-6.2106207,106.8419454,"jl. menteng wadas timur no.17, rt.1/rw.7, ps. manggis, kota jakarta selatan",ChIJVxLzin71aS4R5ngDmYA-lEM,180.9398723781085
indomaret,4.4,75,-6.216285699999999,106.843786,"qrmv+fgp, rt.1/rw.7, menteng atas, south jakarta city",ChIJE27Ce3X0aS4RwPqn75uJU88,842.341048308432
indomaret menteng wadas 2,3.8,8,-6.2113933,106.8415987,"jl. menteng wadas timur no.11, rt.8/rw.1, ps. manggis, kota jakarta selatan",ChIJt6qq6gz0aS4Rc32yPpqE5bc,262.35955980713163
indomaret menara kuningan,5,2,-6.2186328,106.8300399,"6, jl. denpasar no.7, rt.6/rw.7, kuningan, karet kuningan, kota jakarta selatan",ChIJX77vnO3zaS4RglK4CERSUh4,1663.5335143218595
indomaret abdullah syafei 45c,4.7,6,-6.2258963,106.8575556,"jalan kh. abdullah syafei no.45 1 2, rt.4/rw.1, manggarai sel., kota jakarta selatan",ChIJ63NDeWPzaS4RHVCnhEWtXTU,2575.5006880682754
indomaret guntur t 42,4.4,208,-6.2086144,106.8368663,"jl. guntur no.40, rt.8/rw.1, guntur, kota jakarta selatan",ChIJU8fWq6_1aS4RLiY3lLYzs2o,523.4578451559192
indomaret stasiun tebet,5,1,-6.2258363,106.8576173,"lapangan ros selatan no.45c, rt.4/rw.1, tebet tim., kota jakarta selatan",ChIJ111irRfzaS4RZQVb6NYgSuU,2575.3370433292957
indomaret al barkah,4.6,18,-6.2204901,106.8472328,"jl. albarkah no.20, rt.7/rw.3, manggarai sel., kota jakarta selatan",ChIJk___P4nzaS4RKHnkXKOuy64,1418.7416433965961
indomaret plus,4,88,-6.2212663,106.8270455,"jl. karet pedurenan no.68a, rt.9/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJFwAAAPnzaS4RSejras5dRMU,2105.342309439206
indomaret kenari mas,4.6,14,-6.191741899999999,106.8484414,"plaza kenari mas lantai 3a jl. kramat raya no.101, paseban, senen, rt.11/rw.3, paseban, central jakarta city",ChIJ_f__P0P0aS4RwCzZ2DPOu0Q,2066.867748053453
indomaret abdullah syafei,3.6,8,-6.2240566,106.8527215,"jl. abdullah syafe'i no.1 bukit duri, tebet, rt.12/rw.1, south manggarai, south jakarta city",ChIJw3pmkY7zaS4RzEJnuWOCvuI,2075.203208458485
indomaret menteng atas,3.8,22,-6.214204,106.8409467,"jl. menteng atas no.rt. 03/06, rt.3/rw.6, menteng atas, kota jakarta selatan",ChIJb2LXKQv0aS4RMsA0_7UBZqw,579.1739628485655
indomaret itc kuningan,0,0,-6.2235581,106.8259947,"jl. prof. dr. satrio no.18, rt.11/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJDW3h1JDzaS4R8CQ1sNCxq94,2361.664657365712
indomaret convenience store,4.3,73,-6.2258324,106.858882,"jl. bukit duri tanjakan no. 1 rt 12/ rw 02 rt.3, rt.1/rw.9, bukit duri, kota jakarta selatan",ChIJy6qqaoTzaS4RC_J-x2TbxZU,2673.176414521372
indomaret pedurenan,4.4,99,-6.2222333,106.8261754,"jl. pedurenan masjid iii no.50, rt.8/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJjyTKfPnzaS4RmgahJeqJgd8,2248.312134039895
indomaret plus,0,0,-6.208247399999999,106.8327765,"qrrm+p42, rt.8/rw.2, guntur, south jakarta city",ChIJZU13Dof1aS4RXIGm2TLCTWY,977.3942915332871
indomaret minangkabau dalam,4.2,195,-6.215694699999999,106.8422542,"jl. minangkabau dalam no.1, rt.4/rw.14, menteng atas, kota jakarta selatan",ChIJt9agVXX0aS4RMX9VQephLU0,744.3574736940831
indomaret apartemen salemba residence,0,0,-6.1950768,106.8560632,"rv34+xc8, rt.5/rw.8, paseban, central jakarta city",ChIJcSGmzSn1aS4RJUzV3mJzXWw,2229.5523275583428
indomaret wisma staco,5,2,-6.2246197,106.8401752,"wisma staco, jl. raya casablanca no.4, rt.4/rw.12, menteng dalam, kota jakarta selatan",ChIJTYdPFlzzaS4R4JoaMHSAiPY,1740.0351896974128
indomaret permata kuningan,3,7,-6.2123971,106.8336757,"jalan kuningan mulia kav. 9c, kel. guntur, kec. setiabudi, rt.6/rw.1, menteng atas, rt.6/rw.1, menteng atas, kota jakarta selatan",ChIJw___Pw70aS4RWR0PfuJ3EbQ,950.7119601179086
indomaret - manggarai tb98,3.9,17,-6.2093992,106.8477239,"jl. dr. saharjo no.11d, rt.2/rw.5, manggarai, kota jakarta selatan",ChIJC_j2enH0aS4RLYqRmKfTNwU,680.0683216293327
indomaret casablanca,3.7,22,-6.2250076,106.8428196,"jalan casablanca, rt. 07 / rw. 11, menteng dalam, tebet, rt.7/rw.11, menteng dalam, kota jakarta selatan",ChIJVaFRO43zaS4R9wZv9oxkGeI,1781.4507769367017
indomaret setiabudi 17 ttap,4.7,9,-6.2104472,106.8230337,"jl. setiabudi raya no.17, rt.2/rw.2, kuningan, karet kuningan, kota jakarta selatan",ChIJT8CQPFb1aS4RK8qucus35Ww,2056.480134479427
indomaret apartemen casablanca,1,1,-6.2232986,106.8453453,"jl. raya casablanca no.14, rw.5, menteng dalam, kota jakarta selatan",ChIJV4P3VhjzaS4RnuDMhqW9W2w,1639.7866325975267
indomaret (tokx),0,0,-6.206626099999999,106.8267823,"jl. setia budi viii no.10, rt.2/rw.3, kuningan, setia budi, kota jakarta selatan",ChIJq1gLE__1aS4RWeHN-mgTXGM,1657.8542997478469
indomaret point stasiun manggarai,3.9,21,-6.2091042,106.8495212,"stasiun kereta api manggarai kebon manggis, rt.15/rw.4, manggarai, kota jakarta selatan",ChIJ4zoAOE7yaS4RTmrqJf3bbYg,877.5677317700847
indomaret plaza festival,3.4,10,-6.2212209,106.8328964,"qrhm+g56, rt.2/rw.5, karet kuningan, south jakarta city",ChIJMUTCa23zaS4RHTh8p6ntkmM,1660.8397020560096
indomaret pal batu 36,4.3,70,-6.2247397,106.8447512,"jl. pal batu raya no.36, rt.13/rw.4, menteng dalam, kota jakarta selatan",ChIJtX8wqY3zaS4RTpmMPQzAFbg,1781.1813186596617
indomaret bukit duri tanjakan 106,0,0,-6.224636500000001,106.8590463,"3, jl. ismail no.13-18, rt.3/rw.9, bukit duri, kota jakarta selatan",ChIJ18ZbnBjzaS4RX9R3AMc2iP0,2595.4906781172726
indomaret point wisma budi,3.8,5,-6.2141795,106.831199,"jl. hr rasuna said no.kav c5-6, rt.3/rw.1, 10, karet, kota jakarta selatan",ChIJS4y29Aj0aS4Rhsigp-JY_H4,1282.5482295068139
indomaret stasiun tebet,0,0,-6.227752,106.8563415,"dalam 3, 4, jl. tebet raya no.69, rt.4/rw.1, tebet tim., kota jakarta selatan",ChIJfS5DnODzaS4RByux-xL7Cy4,2644.552013766913
