nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
indomaret,0,0,-6.214337,106.8312134,"wisma budi, jl. h. r. rasuna said no.3, rt.3/rw.1, karet, kota jakarta selatan",ChIJVwsQapH1aS4RRn0qO3oi72c,2072.653803812542
indomaret dr. saharjo,4.2,16,-6.2160036,106.8440714,"jl. dr. saharjo no.109, rt.2/rw.10, manggarai sel., kota jakarta selatan",ChIJk___P4nzaS4R-mx5t36xeEE,1709.3320102134762
indomaret soepomo,4.1,16,-6.2325019,106.8444327,"qr9v+2q4, jalan dr. soepomo, rt.1/rw.3, menteng dalam, kota jakarta selatan",ChIJw4Qe95TzaS4R4TukR0p9hZk,528.2257949016881
indomaret tebet,4.7,26,-6.2242003,106.8525338,"jl. kh abdullah syafei no.2, rt.12/rw.5, bukit duri, kota jakarta selatan",ChIJndinnI_zaS4RsBdPM7-_7mo,1572.720756706659
indomaret,4.4,75,-6.216285699999999,106.843786,"qrmv+fgp, rt.1/rw.7, menteng atas, south jakarta city",ChIJE27Ce3X0aS4RwPqn75uJU88,1670.8542489449694
indomaret tebet barat raya,4.4,15,-6.2383118,106.850335,"jl. tebet barat ix no.20, rt.5/rw.4, tebet bar., kota jakarta selatan",ChIJBxrDu73zaS4R_jKixhfyWEE,1417.0355299168737
indomaret menara kuningan,5,2,-6.2186328,106.8300399,"6, jl. denpasar no.7, rt.6/rw.7, kuningan, karet kuningan, kota jakarta selatan",ChIJX77vnO3zaS4RglK4CERSUh4,1743.6892461539717
indomaret abdullah syafei 45c,4.7,6,-6.2258963,106.8575556,"jalan kh. abdullah syafei no.45 1 2, rt.4/rw.1, manggarai sel., kota jakarta selatan",ChIJ63NDeWPzaS4RHVCnhEWtXTU,2020.4372924444456
indomaret,2.3,3,-6.248328,106.8240323,"jl. mampang prapatan vii no.1, rw.3, tegal parang, kota jakarta selatan",ChIJJXUTrNDzaS4RJSFdr933enM,2624.726326763345
indomaret tebet raya,4.3,37,-6.230342299999999,106.8514366,"jl. tebet raya no.30 a, rt.2/rw.2, tebet bar., kota jakarta selatan",ChIJV7cl6pDzaS4RnpIsEEg4Wik,1269.4764722532602
indomaret stasiun tebet,0,0,-6.227752,106.8563415,"dalam 3, 4, jl. tebet raya no.69, rt.4/rw.1, tebet tim., kota jakarta selatan",ChIJfS5DnODzaS4RByux-xL7Cy4,1842.460539668075
indomaret al barkah,4.6,18,-6.2204901,106.8472328,"jl. albarkah no.20, rt.7/rw.3, manggarai sel., kota jakarta selatan",ChIJk___P4nzaS4RKHnkXKOuy64,1402.176334669025
indomaret supomo 2,3.9,40,-6.239277899999999,106.8456902,"jl. prof. dr. soepomo no.02, rt.14/rw.6, tebet bar., kota jakarta selatan",ChIJXRviXL7zaS4RE8cUq9rXJQc,1133.437911622009
indomaret plus,4,88,-6.2212663,106.8270455,"jl. karet pedurenan no.68a, rt.9/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJFwAAAPnzaS4RSejras5dRMU,1779.877282011958
indomaret pangadegan utara,4.4,142,-6.2459671,106.8555993,"no., jl. pengadegan utara no.12a, rt.6/rw.7, cikoko, kota jakarta selatan",ChIJrevYYKXzaS4RywexQtwJGqY,2413.1206647687063
indomaret abdullah syafei,3.6,8,-6.2240566,106.8527215,"jl. abdullah syafe'i no.1 bukit duri, tebet, rt.12/rw.1, south manggarai, south jakarta city",ChIJw3pmkY7zaS4RzEJnuWOCvuI,1598.542078452242
indomaret menteng atas,3.8,22,-6.214204,106.8409467,"jl. menteng atas no.rt. 03/06, rt.3/rw.6, menteng atas, kota jakarta selatan",ChIJb2LXKQv0aS4RMsA0_7UBZqw,1851.1853375898274
indomaret tebet timur dalam raya,4.4,11,-6.236383699999999,106.8568272,"jl. tebet timur dalam raya no.29, rt.11/rw.7, tebet tim., kota jakarta selatan",ChIJzddog5jzaS4RM7Gl9dS3Gbs,1964.0636407186814
indomaret point,3.3,3,-6.2331067,106.8230684,"patra jasa, jl. gatot subroto, rt.6/rw.3, kuningan, kuningan tim., kota jakarta selatan",ChIJpbNXVUrzaS4Rt_lHfKPzCKM,1884.5994339153438
indomaret itc kuningan,0,0,-6.2235581,106.8259947,"jl. prof. dr. satrio no.18, rt.11/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJDW3h1JDzaS4R8CQ1sNCxq94,1742.5426002183897
indomaret pedurenan,4.4,99,-6.2222333,106.8261754,"jl. pedurenan masjid iii no.50, rt.8/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJjyTKfPnzaS4RmgahJeqJgd8,1798.5807583641233
indomaret tegal parang 2. ts86,3.9,33,-6.2441983,106.8324248,"jl. tegal parang utara no.35, rt.7/rw.4, mampang prpt., kota jakarta selatan",ChIJF1D19sTzaS4Rw9CnBydlgJM,1704.7110661408121
indomaret mampang 8. t5wi,3.9,17,-6.2477205,106.8306366,"jalan mampang prapatan viii, rt.03 / rw.02, tegal parang, mampang prapatan, rt.3/rw.2, tegal parang, kota jakarta selatan",ChIJ_xUj9s_zaS4RuolU_sbnxqY,2143.086689138551
indomaret mt haryono,4.3,3,-6.2422974,106.8551682,"menara mt. haryono, jl. mt. haryono kav 23, rt.12/rw.5, tebet timur, tebet, rt.10/rw.9, tebet tim., kota jakarta selatan",ChIJHQAAwJnzaS4RX1MjemHCBZM,2110.205143629332
indomaret minangkabau dalam,4.2,195,-6.215694699999999,106.8422542,"jl. minangkabau dalam no.1, rt.4/rw.14, menteng atas, kota jakarta selatan",ChIJt9agVXX0aS4RMX9VQephLU0,1701.1961209833407
indomaret wisma staco,5,2,-6.2246197,106.8401752,"wisma staco, jl. raya casablanca no.4, rt.4/rw.12, menteng dalam, kota jakarta selatan",ChIJTYdPFlzzaS4R4JoaMHSAiPY,690.2111242758036
indomaret casablanca,3.7,22,-6.2250076,106.8428196,"jalan casablanca, rt. 07 / rw. 11, menteng dalam, tebet, rt.7/rw.11, menteng dalam, kota jakarta selatan",ChIJVaFRO43zaS4R9wZv9oxkGeI,719.6860345884115
indomaret tegal parang. t986,4.1,9,-6.2464648,106.8322217,"qr3j+cw7, jl. tegal parang, rt.7/rw.5, tegal parang, kota jakarta selatan",ChIJezNcc8XzaS4RsQx_12LcMCA,1938.3246339436193
indomaret apartemen casablanca,1,1,-6.2232986,106.8453453,"jl. raya casablanca no.14, rw.5, menteng dalam, kota jakarta selatan",ChIJV4P3VhjzaS4RnuDMhqW9W2w,1026.7158691202555
indomaret ciputat raya 2a -b,0,0,-6.239546799999999,106.8263501,"jl. kapten tendean no.34, rt.9/rw.2, kuningan bar., kota jakarta selatan",ChIJR3Z58xPzaS4Rv46cCQ_1uvk,1790.2260063443357
indomaret tebet barat in tk29,4.2,149,-6.2383462,106.847226,"jl. tebet barat dalam ivd no.88, rw.6, tebet bar., kota jakarta selatan",ChIJ7ahV373zaS4Rm9rs7VrGTVg,1159.488550744509
indomaret,0,0,-6.2467067,106.8549365,"rw.7, pengadegan, kota jakarta selatan",ChIJZ0DyfMnzaS4RJ9jFt8abwmQ,2420.5333542351595
indomaret plaza festival,3.4,10,-6.2212209,106.8328964,"qrhm+g56, rt.2/rw.5, karet kuningan, south jakarta city",ChIJMUTCa23zaS4RHTh8p6ntkmM,1322.9215130433709
indomaret lapangan tembak 3,4,1,-6.2402503,106.8557039,"jl. lapangan tembak no. 08 rt. 02 rw. 10, rt.1/rw.8, east tebet, south jakarta city",ChIJE3_-BaPzaS4Rs0YHJv9N4H0,2031.3820205186032
indomaret pal batu 36,4.3,70,-6.2247397,106.8447512,"jl. pal batu raya no.36, rt.13/rw.4, menteng dalam, kota jakarta selatan",ChIJtX8wqY3zaS4RTpmMPQzAFbg,858.9693288115645
