place_id,nama_kelurahan,nama_kecamatan,nama_kota
ChIJY8eo0erxaS4R661fqNiVJsw,Cilandak Barat,Cilandak,Kota Jakarta Selatan
ChIJf1MDyO3xaS4ReY13GALEP7U,Cilandak Timur,Pasar Minggu,Kota Jakarta Selatan
ChIJQfRfkSjuaS4RAiYQMIXjONI,Lebak Bulus,Cilandak,Kota Jakarta Selatan
ChIJvyXGa5PxaS4RGwSTqw4eyNI,Cipete Selatan,Cilandak,Kota Jakarta Selatan
ChIJozpfomPvaS4RLUTcDjCMduQ,Ragunan,Pasar Minggu,Kota Jakarta Selatan
ChIJ07uYzrfxaS4RVVcyUC4vxQI,Cilandak Barat,Cilandak,Kota Jakarta Selatan
ChIJ8VidGwHuaS4RJsdTuMOoQrA,Ragunan,Pasar Minggu,Kota Jakarta Selatan
ChIJeZ_0Qy_uaS4RxNoVOQP_Nyc,Lebak Bulus,Cilandak,Kota Jakarta Selatan
ChIJ38bENAvvaS4R1LdbC5p-uDE,Pondok Labu,Cilandak,Kota Jakarta Selatan
ChIJk3cbNCPuaS4RrWMFJhBGcY0,Pondok Labu,Cilandak,Kota Jakarta Selatan
ChIJCx-hv97xaS4R-d86cMw_-Vs,Cilandak Barat,Cilandak,Kota Jakarta Selatan
ChIJx7rEgOnvaS4REZVEtk4z2X4,Lebak Bulus,Cilandak,Kota Jakarta Selatan
ChIJh6MqthnxaS4RX-VZKA02g-s,Cilandak Barat,Cilandak,Kota Jakarta Selatan
ChIJqZkyc27xaS4R5CzWGNuI-sc,Cilandak Barat,Cilandak,Kota Jakarta Selatan
ChIJTYWeG7_xaS4RP-aI5kJQ4Rw,Cilandak Barat,Cilandak,Kota Jakarta Selatan
ChIJny3gdfzxaS4RUrQCDUZDSHE,Cilandak Timur,Pasar Minggu,Kota Jakarta Selatan
ChIJgwgjsBnuaS4ROK7tEhrHbHM,Pondok Labu,Cilandak,Kota Jakarta Selatan
ChIJa8XPd0DvaS4RSIXi_ygrEaA,Ragunan,Pasar Minggu,South Jakarta City
ChIJg1z4LdjxaS4RtLCmQRpbnE0,Cilandak Barat,Cilandak,Kota Jakarta Selatan
ChIJERDDt8jxaS4RaCqImp2dRvo,Pondok Pinang,Kebayoran Lama,South Jakarta City
ChIJXcA3nYnxaS4RsNTOqAWbAAw,Cilandak Timur,Pasar Minggu,Kota Jakarta Selatan
ChIJHUbBKDvuaS4RTSYAiwoXKDw,Lebak Bulus,Cilandak,Kota Jakarta Selatan
