place_id,nama_kelurahan,nama_kecamatan,nama_kota
ChIJaxj8TyDuaS4RmJ8rDkpB2GA,Cilandak Barat,Cilandak,Kota Jakarta Selatan
ChIJvy_4mvnxaS4RjjbhIFaTp4Y,Cilandak Timur,Pasar Minggu,Kota Jakarta Selatan
ChIJPz4W5BPvaS4RoUnKBAiaL3o,Pondok Labu,Cilandak,South Jakarta City
ChIJKZqyypTxaS4RkjwUtyXrkBY,Cilandak Barat,Cilandak,Kota Jakarta Selatan
ChIJzVqDlcTxaS4Rwlnqrz5hXbo,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
ChIJ7aqqqinuaS4RKy68g0RuyMk,Lebak Bulus,Cilandak,Kota Jakarta Selatan
ChIJLWcbOM_xaS4RIMEFJuZjRvY,Pondok Pinang,Kebayoran Lama,Kota Jakarta Selatan
ChIJZW196Q7xaS4R95E7nWT6Da4,Jati Padang,Cilandak,Kota Jakarta Selatan
ChIJd-fx6q3xaS4RLtxCS_G0RvY,Pondok Pinang,Kebayoran Lama,Kota Jakarta Selatan
ChIJn2i-wMjxaS4RporVNR8Svs0,Pondok Pinang,Kebayoran Lama,Kota Jakarta Selatan
ChIJj-UaO5zxaS4RHGBB4QPZ-0Y,Cilandak Barat,Cilandak,Kota Jakarta Selatan
ChIJE1VVVbbxaS4R4pD7bmqkkgI,Pondok Pinang,Kebayoran Lama,Kota Jakarta Selatan
ChIJPd3qm93xaS4Ry_DGnmEAInk,Cilandak Barat,Cilandak,Kota Jakarta Selatan
ChIJSShBVZDxaS4Rte30BlBPAO4,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
ChIJ-WTA4iHuaS4RhhDcoecn57U,Pondok Labu,Cilandak,Kota Jakarta Selatan
ChIJE1VVVbbxaS4R-dLB7PhRuak,Pondok Pinang,Kebayoran Lama,South Jakarta City
ChIJsbv9uN7xaS4RK2vE-f9VboA,Cilandak Barat,Cilandak,Kota Jakarta Selatan
ChIJm56pCbrxaS4RgzDUcFCWSR0,Pondok Pinang,Kebayoran Lama,Kota Jakarta Selatan
ChIJJesreyjuaS4RF1nrMU1l0JE,Lebak Bulus,Cilandak,Kota Jakarta Selatan
ChIJv01rArvxaS4RuUFeXimA3zk,Cilandak Barat,Cilandak,Kota Jakarta Selatan
ChIJXTAa0H_vaS4R5_VN2xv2sJA,Pondok Labu,Cilandak,Kota Jakarta Selatan
ChIJXQQSNpTxaS4RsGiRh1Rrct0,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
ChIJF35byhHxaS4RhU4r6frWhIo,Cilandak Barat,Cilandak,Kota Jakarta Selatan
ChIJrTZnpp_xaS4RW53IaKnPsIc,West Cilandak,Cilandak,South Jakarta City
ChIJd96Hv-DxaS4RHJwKA-4iFZI,Cilandak Barat,Cilandak,Kota Jakarta Selatan
ChIJ-6Meqf_xaS4R99u9vNNVFjg,Ragunan,Pasar Minggu,Kota Jakarta Selatan
ChIJwcwxNEXvaS4RiKmoGQ6V0pU,Jagakarsa,Cilandak,Kota Jakarta Selatan
ChIJraDzUtLvaS4RD7IR82uJtEo,Lebak Bulus,Cilandak,Kota Jakarta Selatan
ChIJAQAAAOfxaS4R6wrqsJtf5pk,West Cilandak,Cilandak,South Jakarta City
ChIJBwBd3S_uaS4RMBfxWKiy408,Lebak Bulus,Cilandak,Kota Jakarta Selatan
ChIJJ3rNnQjuaS4RWjDJ-zFTzR0,Ragunan,Pasar Minggu,Kota Jakarta Selatan
ChIJs6y5G5HxaS4RurVX3sajfVU,Cipete Selatan,Cilandak,Kota Jakarta Selatan
ChIJDaAAxvjxaS4RX-J08P1H7ug,Cilandak Barat,Cilandak,Kota Jakarta Selatan
ChIJCTLyivjxaS4Rre-W6oaY4qE,Cilandak Timur,Pasar Minggu,Kota Jakarta Selatan
ChIJEaTZ42DxaS4R044D9l8J_vQ,Lebak Bulus,Cilandak,Kota Jakarta Selatan
ChIJteuioxnuaS4R3u6TiMK2DHc,Pondok Labu,Cilandak,Kota Jakarta Selatan
ChIJ5cZCSA_xaS4RWfbV5rM0sBg,Lebak Bulus,Cilandak,South Jakarta City
ChIJuZWfRT3uaS4RPJR0-gix6to,Pondok Labu,Cilandak,Kota Jakarta Selatan
ChIJbd1pUOfxaS4Rt-kFPuyDtsk,Cilandak Barat,Cilandak,Kota Jakarta Selatan
ChIJWagF6TzuaS4RChibXwRnJgA,Pondok Labu,Cilandak,Kota Jakarta Selatan
ChIJF9Syud7xaS4RCaXavhh53AA,Lebak Bulus,Jakarta,South Jakarta City
ChIJMRDIwMHxaS4RGxUodpMMNq8,Cilandak Barat,Cilandak,Kota Jakarta Selatan
ChIJ6yLv7KvxaS4RlTGBTyv0phM,Cilandak Barat,Cilandak,Kota Jakarta Selatan
ChIJsVZkdYnxaS4RtDwdFb5B2t0,Bangka,Mampang Prapatan,Kota Jakarta Selatan
ChIJN7p70X7xaS4R6VpOujMI_Wo,Bangka,Mampang Prapatan,Kota Jakarta Selatan
ChIJsZgWTnXxaS4R_vrbAMPG_9c,Gandaria Selatan,Cilandak,Kota Jakarta Selatan
ChIJwX02iFLxaS4RMQgSCQVBeVQ,Pulo,Kebayoran Baru,Kota Jakarta Selatan
ChIJCZIzrZ_xaS4RiJX_wvOeaH4,Gandaria Utara,Kebayoran Baru,Kota Jakarta Selatan
