nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,store,nama_kelurahan,nama_kecamatan,nama_kota
indomaret,0.0,0,-6.214337,106.8312134,"wisma budi, jl. h. r. rasuna said no.3, rt.3/rw.1, karet, kota jakarta selatan",ChIJVwsQapH1aS4RRn0qO3oi72c,Indomaret,Karet,Setiabudi,Kota Jakarta Selatan
indomaret dr. saharjo,4.2,16,-6.2160036,106.8440714,"jl. dr. saharjo no.109, rt.2/rw.10, manggarai sel., kota jakarta selatan",ChIJk___P4nzaS4R-mx5t36xeEE,Indomaret,Manggarai Selatan,Tebet,Kota Jakarta Selatan
indomaret soepomo,4.1,16,-6.2325019,106.8444327,"qr9v+2q4, jalan dr. soepomo, rt.1/rw.3, menteng dalam, kota jakarta selatan",ChIJw4Qe95TzaS4R4TukR0p9hZk,Indomaret,Menteng Dalam,Tebet,Kota Jakarta Selatan
indomaret tebet,4.7,26,-6.2242003,106.8525338,"jl. kh abdullah syafei no.2, rt.12/rw.5, bukit duri, kota jakarta selatan",ChIJndinnI_zaS4RsBdPM7-_7mo,Indomaret,Bukit Duri,Tebet,Kota Jakarta Selatan
indomaret menteng wadas,3.0,2,-6.2106207,106.8419454,"jl. menteng wadas timur no.17, rt.1/rw.7, ps. manggis, kota jakarta selatan",ChIJVxLzin71aS4R5ngDmYA-lEM,Indomaret,Pasar Manggis,Setiabudi,Kota Jakarta Selatan
indomaret,4.4,75,-6.216285699999999,106.843786,"qrmv+fgp, rt.1/rw.7, menteng atas, kota jakarta selatan",ChIJE27Ce3X0aS4RwPqn75uJU88,Indomaret,Menteng Atas,Setiabudi,Kota Jakarta Selatan
indomaret menteng wadas 2,3.8,8,-6.2113933,106.8415987,"jl. menteng wadas timur no.11, rt.8/rw.1, ps. manggis, kota jakarta selatan",ChIJt6qq6gz0aS4Rc32yPpqE5bc,Indomaret,Pasar Manggis,Setiabudi,Kota Jakarta Selatan
indomaret tebet barat raya,4.4,15,-6.2383118,106.850335,"jl. tebet barat ix no.20, rt.5/rw.4, tebet bar., kota jakarta selatan",ChIJBxrDu73zaS4R_jKixhfyWEE,Indomaret,Tebet Barat,Tebet,Kota Jakarta Selatan
indomaret abdullah syafei 45c,4.7,6,-6.2258963,106.8575556,"jalan kh. abdullah syafei no.45 1 2, rt.4/rw.1, manggarai sel., kota jakarta selatan",ChIJ63NDeWPzaS4RHVCnhEWtXTU,Indomaret,Manggarai Selatan,Tebet,Kota Jakarta Selatan
indomaret guntur t 42,4.4,208,-6.2086144,106.8368663,"jl. guntur no.40, rt.8/rw.1, guntur, kota jakarta selatan",ChIJU8fWq6_1aS4RLiY3lLYzs2o,Indomaret,Guntur,Setiabudi,Kota Jakarta Selatan
indomaret tebet raya,4.3,37,-6.230342299999999,106.8514366,"jl. tebet raya no.30 a, rt.2/rw.2, tebet bar., kota jakarta selatan",ChIJV7cl6pDzaS4RnpIsEEg4Wik,Indomaret,Tebet Barat,Tebet,Kota Jakarta Selatan
indomaret al barkah,4.6,18,-6.2204901,106.8472328,"jl. albarkah no.20, rt.7/rw.3, manggarai sel., kota jakarta selatan",ChIJk___P4nzaS4RKHnkXKOuy64,Indomaret,Manggarai Selatan,Tebet,Kota Jakarta Selatan
indomaret abdullah syafei,3.6,8,-6.2240566,106.8527215,"jl. abdullah syafe'i no.1 bukit duri, tebet, rt.12/rw.1, south manggarai, kota jakarta selatan",ChIJw3pmkY7zaS4RzEJnuWOCvuI,Indomaret,South Manggarai,Tebet,Kota Jakarta Selatan
indomaret menteng atas,3.8,22,-6.214204,106.8409467,"jl. menteng atas no.rt. 03/06, rt.3/rw.6, menteng atas, kota jakarta selatan",ChIJb2LXKQv0aS4RMsA0_7UBZqw,Indomaret,Menteng Atas,Setiabudi,Kota Jakarta Selatan
indomaret tebet timur dalam raya,4.4,11,-6.236383699999999,106.8568272,"jl. tebet timur dalam raya no.29, rt.11/rw.7, tebet tim., kota jakarta selatan",ChIJzddog5jzaS4RM7Gl9dS3Gbs,Indomaret,Tebet Timur,Tebet,Kota Jakarta Selatan
indomaret convenience store,4.3,73,-6.2258324,106.858882,"jl. bukit duri tanjakan no. 1 rt 12/ rw 02 rt.3, rt.1/rw.9, bukit duri, kota jakarta selatan",ChIJy6qqaoTzaS4RC_J-x2TbxZU,Indomaret,Bukit Duri,Tebet,Kota Jakarta Selatan
indomaret plus,0.0,0,-6.208247399999999,106.8327765,"qrrm+p42, rt.8/rw.2, guntur, kota jakarta selatan",ChIJZU13Dof1aS4RXIGm2TLCTWY,Indomaret,Guntur,Setiabudi,Kota Jakarta Selatan
indomaret minangkabau dalam,4.2,195,-6.215694699999999,106.8422542,"jl. minangkabau dalam no.1, rt.4/rw.14, menteng atas, kota jakarta selatan",ChIJt9agVXX0aS4RMX9VQephLU0,Indomaret,Menteng Atas,Setiabudi,Kota Jakarta Selatan
indomaret kampung melayu besar,4.2,9,-6.2252467,106.8628154,"jl. kampung melayu besar no.18 rt. 10 / rw. 02, kebon baru, tebet, rt.1/rw.1, kb. baru, kota jakarta selatan",ChIJD391JYPzaS4RQJHI5zLfWfg,Indomaret,Kebon Baru,Tebet,Kota Jakarta Selatan
indomaret wisma staco,5.0,2,-6.2246197,106.8401752,"wisma staco, jl. raya casablanca no.4, rt.4/rw.12, menteng dalam, kota jakarta selatan",ChIJTYdPFlzzaS4R4JoaMHSAiPY,Indomaret,Menteng Dalam,Tebet,Kota Jakarta Selatan
indomaret permata kuningan,3.0,7,-6.2123971,106.8336757,"jalan kuningan mulia kav. 9c, kel. guntur, kec. setiabudi, rt.6/rw.1, menteng atas, rt.6/rw.1, menteng atas, kota jakarta selatan",ChIJw___Pw70aS4RWR0PfuJ3EbQ,Indomaret,Menteng Atas,Setiabudi,Kota Jakarta Selatan
indomaret - manggarai tb98,3.9,17,-6.2093992,106.8477239,"jl. dr. saharjo no.11d, rt.2/rw.5, manggarai, kota jakarta selatan",ChIJC_j2enH0aS4RLYqRmKfTNwU,Indomaret,Manggarai,Tebet,Kota Jakarta Selatan
indomaret casablanca,3.7,22,-6.2250076,106.8428196,"jalan casablanca, rt. 07 / rw. 11, menteng dalam, tebet, rt.7/rw.11, menteng dalam, kota jakarta selatan",ChIJVaFRO43zaS4R9wZv9oxkGeI,Indomaret,Menteng Dalam,Tebet,Kota Jakarta Selatan
indomaret tebet barat in tk29,4.2,149,-6.2383462,106.847226,"jl. tebet barat dalam ivd no.88, rw.6, tebet bar., kota jakarta selatan",ChIJ7ahV373zaS4Rm9rs7VrGTVg,Indomaret,Tebet Barat,Tebet,Kota Jakarta Selatan
indomaret point stasiun manggarai,3.9,21,-6.2091042,106.8495212,"stasiun kereta api manggarai kebon manggis, rt.15/rw.4, manggarai, kota jakarta selatan",ChIJ4zoAOE7yaS4RTmrqJf3bbYg,Indomaret,Manggarai,Tebet,Kota Jakarta Selatan
indomaret plaza festival,3.4,10,-6.2212209,106.8328964,"qrhm+g56, rt.2/rw.5, karet kuningan, kota jakarta selatan",ChIJMUTCa23zaS4RHTh8p6ntkmM,Indomaret,Karet Kuningan,Setiabudi,Kota Jakarta Selatan
indomaret pal batu 36,4.3,70,-6.2247397,106.8447512,"jl. pal batu raya no.36, rt.13/rw.4, menteng dalam, kota jakarta selatan",ChIJtX8wqY3zaS4RTpmMPQzAFbg,Indomaret,Menteng Dalam,Tebet,Kota Jakarta Selatan
indomaret plus rasamala,4.1,61,-6.2336278,106.8395619,"jl. rasamala raya no.26, rt.7/rw.9, menteng dalam, kota jakarta selatan",ChIJtaqqauvzaS4RnSCep_ghRMM,Indomaret,Menteng Dalam,Tebet,Kota Jakarta Selatan
indomaret menara kuningan,5.0,2,-6.2186328,106.8300399,"6, jl. denpasar no.7, rt.6/rw.7, kuningan, karet kuningan, kota jakarta selatan",ChIJX77vnO3zaS4RglK4CERSUh4,Indomaret,Karet Kuningan,Setiabudi,Kota Jakarta Selatan
indomaret bukit duri tanjakan 106,0.0,0,-6.224636500000001,106.8590463,"3, jl. ismail no.13-18, rt.3/rw.9, bukit duri, kota jakarta selatan",ChIJ18ZbnBjzaS4RX9R3AMc2iP0,Indomaret,Bukit Duri,Tebet,Kota Jakarta Selatan
indomaret,4.2,421,-6.229205299999999,106.8474494,"jl. prof supomo no 321 blok bz persil no 19, rt.13/rw.2, tebet barat, rt.13/rw.2, tebet bar., kota jakarta selatan",ChIJxf__P5bzaS4RZ7KfkYohoDc,Indomaret,Tebet Barat,Tebet,Kota Jakarta Selatan
indomaret gudang peluru,4.8,13,-6.2255444,106.8622325,"jl. gudang peluru raya no.b1, rt.1/rw.1, kebon baru, kota jakarta selatan",ChIJM_MGcAHzaS4RaWCJ-tf_NBA,Indomaret,Kebon Baru,Tebet,Kota Jakarta Selatan
indomaret asem baris,4.1,23,-6.2389963,106.8602569,"jl. asem baris raya no.1, rt.6/rw.13, kb. baru, kota jakarta selatan",ChIJuZeA4KHzaS4RO8kOMnZzjnw,Indomaret,Kebon Baru,Tebet,Kota Jakarta Selatan
indomaret supomo 2,3.9,40,-6.239277899999999,106.8456902,"jl. prof. dr. soepomo no.02, rt.14/rw.6, tebet bar., kota jakarta selatan",ChIJXRviXL7zaS4RE8cUq9rXJQc,Indomaret,Tebet Barat,Tebet,Kota Jakarta Selatan
indomaret casablanca mansion fl12,4.0,4,-6.223185200000001,106.8461687,"qrgw+qf6, apartemen casablanca mansion jalan casablanca setia budi, rt.14/rw.5, menteng dalam, kota jakarta selatan",ChIJuRjcO4zzaS4RUa5WFynptng,Indomaret,Menteng Dalam,Tebet,Kota Jakarta Selatan
indomaret,5.0,1,-6.2256068,106.8622342,"qvf6+qv5, rt.12/rw.9, bukit duri, kota jakarta selatan",ChIJn03pAwTzaS4R0bJEXJlngZc,Indomaret,Bukit Duri,Tebet,Kota Jakarta Selatan
indomaret menara imperium (t7xu),4.6,15,-6.2101278,106.8312488,"menara imperium, jl. h. r. rasuna said no.1, rt.1/rw.6, guntur, kota jakarta selatan",ChIJHYztEg_0aS4RoD35swJ40H4,Indomaret,Guntur,Setiabudi,Kota Jakarta Selatan
indomaret kp melayu jembatan,4.3,8,-6.2261166,106.8638063,"jl. kp. melayu besar 1 no.225, rt.3/rw.1, kb. baru, kota jakarta selatan",ChIJZ4s-S53zaS4Rqs7o2XJV4Lc,Indomaret,Kebon Baru,Tebet,Kota Jakarta Selatan
indomaret pengadegan timur,4.3,57,-6.248453899999999,106.8587205,"jl. pengadegan timur raya no.2, rt.3/rw.2, pengadegan, kota jakarta selatan",ChIJqUxFMa_zaS4Rb6WsdUlLWrQ,Indomaret,Pengadegan,Pancoran,Kota Jakarta Selatan
indomaret pangadegan utara,4.4,142,-6.2459671,106.8555993,"no., jl. pengadegan utara no.12a, rt.6/rw.7, cikoko, kota jakarta selatan",ChIJrevYYKXzaS4RywexQtwJGqY,Indomaret,Cikoko,Pancoran,Kota Jakarta Selatan
indomaret pancoran 7,4.1,31,-6.2497874,106.8365148,"jl. pancoran barat vii, rt. 013 / rw. 006, pancoran, mampang prapatan, rt.12/rw.6, pancoran, kota jakarta selatan",ChIJY3w000zyaS4RJpAudy3L5V4,Indomaret,Pancoran,Pancoran,Kota Jakarta Selatan
indomaret mt haryono,4.3,3,-6.2422974,106.8551682,"menara mt. haryono, jl. mt. haryono kav 23, rt.12/rw.5, tebet timur, tebet, rt.10/rw.9, tebet tim., kota jakarta selatan",ChIJHQAAwJnzaS4RX1MjemHCBZM,Indomaret,Tebet Timur,Tebet,Kota Jakarta Selatan
indomaret,0.0,0,-6.2467067,106.8549365,"rw.7, pengadegan, kota jakarta selatan",ChIJZ0DyfMnzaS4RJ9jFt8abwmQ,Indomaret,Pengadegan,Pancoran,Kota Jakarta Selatan
indomaret signature park,4.3,3,-6.242484,106.854727,"mt haryono st no.10, rw.9, east tebet, kota jakarta selatan",ChIJ71RBBiPzaS4RzLWpLbPWU80,Indomaret,Tebet Timur,Pancoran,Kota Jakarta Selatan
indomaret of pengadegan,3.9,65,-6.2516495,106.849876,"jl. pengadegan selatan viii no.5b, rt.9/rw.5, pengadegan, kota jakarta selatan",ChIJPRf2ebHzaS4R2AqgbPWyqrI,Indomaret,Pengadegan,Pancoran,Kota Jakarta Selatan
indomaret - spbu pancoran tjrt,3.1,10,-6.246947,106.8424352,"qr3r+6x7, rt.1/rw.4, pancoran, kota jakarta selatan",ChIJpzdhkdPzaS4R8PAP1nFVLYE,Indomaret,Pancoran,Pancoran,Kota Jakarta Selatan
indomaret pancoran barat 7 tfpc,4.8,8,-6.251975799999999,106.8368081,"jl. pancoran barat vii no.9a, rt.8/rw.1, duren tiga, kota jakarta selatan",ChIJEYrs5dDzaS4RJRZWtIRczmM,Indomaret,Duren Tiga,Pancoran,Kota Jakarta Selatan
indomaret tower 1,0.0,0,-6.2514995,106.861901,"pvx6+cq3, jl. pengadegan timur i, rt.7/rw.1, pengadegan, kota jakarta selatan",ChIJGYiD7b_zaS4RVrXT4JRudmo,Indomaret,Pengadegan,Pancoran,Kota Jakarta Selatan
indomaret,4.4,56,-6.2113771,106.8413589,"jl. menteng wadas timur no.3, rw.7, ps. manggis, kota jakarta selatan",ChIJ8wnNTnP0aS4Rt4yRAq93XYE,Indomaret,Pasar Manggis,Setiabudi,Kota Jakarta Selatan
indomaret apartemen casablanca,1.0,1,-6.2232986,106.8453453,"jl. raya casablanca no.14, rw.5, menteng dalam, kota jakarta selatan",ChIJV4P3VhjzaS4RnuDMhqW9W2w,Indomaret,Menteng Dalam,Tebet,Kota Jakarta Selatan
